year,log_return,compounded_return_pct,months,losing_months,min_monthly_return_pct,min_monthly_orders,orders_sum,max_drawdown_pct
2025,1.524087615677475,359.0952944375251,12,0,5.575755909827906,11,156,-29.40311707059141
2026,1.2825764439683385,260.5918213916581,6,0,11.565887551519282,11,72,-29.252496952297058
