cost_per_side,round_trip_cost,extra_delay_bars,hard_pass,return_2025_pct,return_2026_pct,min_required_year_return_pct,min_monthly_return_pct,losing_eval_months,min_monthly_orders,total_return_pct,max_drawdown_pct,exposure_pct,turnover,orders,strong_trend_reverse_active_bars,strong_trend_reverse_big_active_bars,weak_trend_order_events,weak_trend_big_order_events,adverse_shock_cut_events,guard_reason_counts
0.001,0.002,0,True,359.0952944375251,260.5918213916581,260.5918213916581,5.575755909827906,0,11,1555.4600841356685,-29.40311707059141,27.353971962616825,816.8,228,1,1,94,0,1,"{'post_lock_flat': 37311, 'main': 12440, 'strong_conflict_small_trend': 1037, 'post_lock_runner': 487, 'weak_new_order_small': 83, 'adverse_shock_cut': 1, 'shock_cooldown_small': 1}"
0.001,0.002,1,True,268.14268909691947,286.10349671406306,268.14268909691947,1.970797341049324,0,11,1321.4117955003892,-33.51202492292508,27.570093457943923,804.8000000000001,228,1,1,94,0,1,"{'post_lock_flat': 37200, 'main': 12552, 'strong_conflict_small_trend': 1038, 'post_lock_runner': 485, 'weak_new_order_small': 83, 'adverse_shock_cut': 1, 'shock_cooldown_small': 1}"
0.001,0.002,2,True,273.2394866619567,271.4063652785698,271.4063652785698,4.485444845991315,0,11,1286.235211195567,-33.44708586754266,27.385124610591898,848.4000000000001,228,1,1,95,0,3,"{'post_lock_flat': 37295, 'main': 12454, 'strong_conflict_small_trend': 1039, 'post_lock_runner': 483, 'weak_new_order_small': 83, 'adverse_shock_cut': 3, 'shock_cooldown_small': 3}"
0.0015,0.003,0,True,332.975480524237,212.0792711707548,212.0792711707548,2.930604171036433,0,11,1251.226723968106,-31.421025582351113,27.78816199376947,864.4000000000001,230,1,1,95,0,1,"{'post_lock_flat': 37088, 'main': 12662, 'strong_conflict_small_trend': 1037, 'post_lock_runner': 487, 'weak_new_order_small': 84, 'adverse_shock_cut': 1, 'shock_cooldown_small': 1}"
0.0015,0.003,1,True,332.50279649553346,243.8513640194903,243.8513640194903,2.202567110114373,0,11,1387.166765172325,-35.412486321084145,27.544781931464176,828.8000000000001,228,1,1,94,0,1,"{'post_lock_flat': 37213, 'main': 12539, 'strong_conflict_small_trend': 1038, 'post_lock_runner': 485, 'weak_new_order_small': 83, 'adverse_shock_cut': 1, 'shock_cooldown_small': 1}"
0.0015,0.003,2,True,298.8782287252201,232.38201429114778,232.38201429114778,1.3841207851513548,0,11,1225.7994912057327,-35.95988455036684,28.05685358255452,942.0,232,1,1,96,0,3,"{'post_lock_flat': 36950, 'main': 12798, 'strong_conflict_small_trend': 1039, 'post_lock_runner': 483, 'weak_new_order_small': 84, 'adverse_shock_cut': 3, 'shock_cooldown_small': 3}"
0.002,0.004,0,True,248.7771595521464,206.88269018392168,206.88269018392168,2.885136755082307,0,11,970.3367299806963,-41.084754089150785,28.83566978193147,958.0,234,1,1,96,0,1,"{'post_lock_flat': 36550, 'main': 13199, 'strong_conflict_small_trend': 1037, 'post_lock_runner': 487, 'weak_new_order_small': 85, 'adverse_shock_cut': 1, 'shock_cooldown_small': 1}"
0.002,0.004,1,True,237.95103043245044,206.79690823300817,206.79690823300817,0.2853393237929769,0,11,936.8233127083525,-40.87264826052931,28.62733644859813,938.4000000000001,234,1,1,96,0,1,"{'post_lock_flat': 36657, 'main': 13093, 'strong_conflict_small_trend': 1038, 'post_lock_runner': 485, 'weak_new_order_small': 85, 'adverse_shock_cut': 1, 'shock_cooldown_small': 1}"
0.002,0.004,2,True,217.6653582062925,181.74656443023568,181.74656443023568,1.8092326142478798,0,11,795.0112331312308,-37.97672666991856,28.218457943925234,942.0,232,1,1,95,0,3,"{'post_lock_flat': 36867, 'main': 12881, 'strong_conflict_small_trend': 1039, 'post_lock_runner': 483, 'weak_new_order_small': 84, 'adverse_shock_cut': 3, 'shock_cooldown_small': 3}"
