selector_id,family_filter,selected_candidate_count,hard_pass_complete_years,total_eval_return_pct,return_2023_pct,return_2024_pct,return_2025_pct,return_2026_ytd_pct,min_complete_year_return_pct,losing_eval_months,min_monthly_return_pct,min_monthly_orders,orders,turnover,cost_log,max_drawdown_pct
funding_mean_only,funding_mean,2,False,-45.561024203558716,-22.824525657392257,-42.048525903410514,9.70467319011654,10.953504201297992,-42.048525903410514,20,-29.05219153320334,0,371,371.0,0.371,-66.71889075818942
funding_level_only,funding_level,1,False,-46.83764432900058,-16.844951179189426,-34.179597857764676,-2.674480713344607,-0.20050749862750017,-34.179597857764676,23,-27.108756559982837,0,408,408.0,0.40800000000000003,-57.55145665107917
all_funding,all,2,False,-36.328052533085476,0.6763397585460407,-28.355062427512213,-12.989225555799678,1.4523643943458175,-28.355062427512213,24,-17.22073053051578,2,518,523.0,0.523,-48.57102793563251
funding_change_only,funding_change,1,False,-32.9163506899034,9.503407343796688,-28.355062427512213,-12.989225555799678,-1.7278394750475323,-28.355062427512213,24,-17.22073053051578,2,541,546.0,0.546,-44.061855141499365
funding_zscore_only,funding_zscore,2,False,-32.26911235091765,12.211284336828587,-12.40252009626941,-19.07968017107382,-14.846788571353587,-19.07968017107382,25,-14.023628855697723,0,534,536.0,0.536,-50.49092305909102
