timestamp,month,base_log_return,log_return,turnover,risk_scale,risk_triggered,drawdown_pct
2025-05-30 16:00:00+00:00,2025-05,0.0,0.0,0.0,1.0,False,0.0
2025-05-30 16:15:00+00:00,2025-05,-0.0,-0.0,0.0,1.0,False,0.0
2025-05-30 16:30:00+00:00,2025-05,0.0,0.0,0.0,1.0,False,0.0
2025-05-30 16:45:00+00:00,2025-05,-0.0,-0.0,0.0,1.0,False,0.0
2025-05-30 17:00:00+00:00,2025-05,0.0,0.0,0.0,1.0,False,0.0
2025-05-30 17:15:00+00:00,2025-05,-0.0,-0.0,0.0,1.0,False,0.0
2025-05-30 17:30:00+00:00,2025-05,0.0,0.0,0.0,1.0,False,0.0
2025-05-30 17:45:00+00:00,2025-05,0.0,0.0,0.0,1.0,False,0.0
2025-05-30 18:00:00+00:00,2025-05,0.0,0.0,0.0,1.0,False,0.0
2025-05-30 18:15:00+00:00,2025-05,0.0,0.0,0.0,1.0,False,0.0
2025-05-30 18:30:00+00:00,2025-05,-0.0,-0.0,0.0,1.0,False,0.0
2025-05-30 18:45:00+00:00,2025-05,0.0,0.0,0.0,1.0,False,0.0
2025-05-30 19:00:00+00:00,2025-05,-0.0,-0.0,0.0,1.0,False,0.0
2025-05-30 19:15:00+00:00,2025-05,0.0,0.0,0.0,1.0,False,0.0
2025-05-30 19:30:00+00:00,2025-05,-0.0,-0.0,0.0,1.0,False,0.0
2025-05-30 19:45:00+00:00,2025-05,0.0,0.0,0.0,1.0,False,0.0
2025-05-30 20:00:00+00:00,2025-05,-0.0,-0.0,0.0,1.0,False,0.0
2025-05-30 20:15:00+00:00,2025-05,-0.0,-0.0,0.0,1.0,False,0.0
2025-05-30 20:30:00+00:00,2025-05,0.0,0.0,0.0,1.0,False,0.0
2025-05-30 20:45:00+00:00,2025-05,-0.0,-0.0,0.0,1.0,False,0.0
2025-05-30 21:00:00+00:00,2025-05,0.0,0.0,0.0,1.0,False,0.0
2025-05-30 21:15:00+00:00,2025-05,0.0,0.0,0.0,1.0,False,0.0
2025-05-30 21:30:00+00:00,2025-05,-0.0,-0.0,0.0,1.0,False,0.0
2025-05-30 21:45:00+00:00,2025-05,0.0,0.0,0.0,1.0,False,0.0
2025-05-30 22:00:00+00:00,2025-05,0.0,0.0,0.0,1.0,False,0.0
2025-05-30 22:15:00+00:00,2025-05,-0.0,-0.0,0.0,1.0,False,0.0
2025-05-30 22:30:00+00:00,2025-05,-0.0,-0.0,0.0,1.0,False,0.0
2025-05-30 22:45:00+00:00,2025-05,-0.0,-0.0,0.0,1.0,False,0.0
2025-05-30 23:00:00+00:00,2025-05,0.0,0.0,0.0,1.0,False,0.0
2025-05-30 23:15:00+00:00,2025-05,-0.0,-0.0,0.0,1.0,False,0.0
2025-05-30 23:30:00+00:00,2025-05,0.0,0.0,0.0,1.0,False,0.0
2025-05-30 23:45:00+00:00,2025-05,0.0,0.0,0.0,1.0,False,0.0
2025-05-31 00:00:00+00:00,2025-05,0.0,0.0,0.0,1.0,False,0.0
2025-05-31 00:15:00+00:00,2025-05,-0.0,-0.0,0.0,1.0,False,0.0
2025-05-31 00:30:00+00:00,2025-05,0.0,0.0,0.0,1.0,False,0.0
2025-05-31 00:45:00+00:00,2025-05,-0.0,-0.0,0.0,1.0,False,0.0
2025-05-31 01:00:00+00:00,2025-05,0.0,0.0,0.0,1.0,False,0.0
2025-05-31 01:15:00+00:00,2025-05,-0.0,-0.0,0.0,1.0,False,0.0
2025-05-31 01:30:00+00:00,2025-05,-0.0,-0.0,0.0,1.0,False,0.0
2025-05-31 01:45:00+00:00,2025-05,-0.0,-0.0,0.0,1.0,False,0.0
2025-05-31 02:00:00+00:00,2025-05,0.0,0.0,0.0,1.0,False,0.0
2025-05-31 02:15:00+00:00,2025-05,-0.0,-0.0,0.0,1.0,False,0.0
2025-05-31 02:30:00+00:00,2025-05,0.0,0.0,0.0,1.0,False,0.0
2025-05-31 02:45:00+00:00,2025-05,-0.0,-0.0,0.0,1.0,False,0.0
2025-05-31 03:00:00+00:00,2025-05,0.0,0.0,0.0,1.0,False,0.0
2025-05-31 03:15:00+00:00,2025-05,0.0,0.0,0.0,1.0,False,0.0
2025-05-31 03:30:00+00:00,2025-05,0.0,0.0,0.0,1.0,False,0.0
2025-05-31 03:45:00+00:00,2025-05,0.0,0.0,0.0,1.0,False,0.0
2025-05-31 04:00:00+00:00,2025-05,-0.0,-0.0,0.0,1.0,False,0.0
2025-05-31 04:15:00+00:00,2025-05,0.0,0.0,0.0,1.0,False,0.0
2025-05-31 04:30:00+00:00,2025-05,0.0,0.0,0.0,1.0,False,0.0
2025-05-31 04:45:00+00:00,2025-05,0.0,0.0,0.0,1.0,False,0.0
2025-05-31 05:00:00+00:00,2025-05,-0.0,-0.0,0.0,1.0,False,0.0
2025-05-31 05:15:00+00:00,2025-05,0.0,0.0,0.0,1.0,False,0.0
2025-05-31 05:30:00+00:00,2025-05,0.0,0.0,0.0,1.0,False,0.0
2025-05-31 05:45:00+00:00,2025-05,-0.0,-0.0,0.0,1.0,False,0.0
2025-05-31 06:00:00+00:00,2025-05,0.0,0.0,0.0,1.0,False,0.0
2025-05-31 06:15:00+00:00,2025-05,0.0,0.0,0.0,1.0,False,0.0
