month,log_return,turnover,max_drawdown_pct,return_pct
2025-06,0.0,0.0,0.0,0.0
2025-07,-0.2727589675998805,50.0,-31.56900412910597,-23.87237422395151
2025-08,0.08716479891159176,78.0,-49.982917016142714,9.107647311822586
2025-09,0.41778954279459896,54.0,-17.665690641166986,51.86010402377157
2025-10,0.8888089939458621,72.0,-27.90030563105479,143.22311235572457
2025-11,0.05564474791004381,80.0,-45.453378956788185,5.722203667778314
2025-12,-0.2839929551052616,54.0,-60.89762150041273,-24.722805211334908
2026-01,0.2002402360386842,70.0,-65.30592707935568,22.169621836887575
2026-02,0.19394526445197896,52.0,-56.55057932187697,21.40298305495063
2026-03,0.055047988158301565,66.0,-52.19292144211178,5.659131733031719
2026-04,-0.23352407384488627,34.0,-47.928880243269376,-20.826146467987027
2026-05,0.7073847036252426,72.0,-52.6106315378833,102.86787186430777
