month,log_return,turnover,max_drawdown_pct,scaled_bars,return_pct
2025-06,0.0,0.0,0.0,0,0.0
2025-07,-0.25238713886999475,28.0,-26.587345932960048,2205,-22.30561053428125
2025-08,0.08443385857403399,46.0,-38.18246014868459,2434,8.810087330854511
2025-09,0.41778954279459896,54.0,-17.227182544518616,0,51.86010402377157
2025-10,0.6891486458521411,64.0,-30.043966919511533,597,99.20188975755889
2025-11,0.1860262228571648,64.0,-36.875320265971126,929,20.445384418463664
2025-12,-0.1419964775526308,27.0,-46.55379798106469,2976,-13.237568735849104
2026-01,0.1001201180193421,35.0,-49.656558038650765,2976,10.530367699057063
2026-02,0.09697263222598948,26.0,-43.66124358473704,2688,10.183021856795449
2026-03,0.027523994079150783,33.0,-40.90355396507622,2976,2.790627847596938
2026-04,-0.11676203692244314,17.0,-38.32435219044358,2880,-11.02030932172613
2026-05,0.31577699413742083,42.0,-41.16229535740643,2550,37.13244081419056
