candidate_id,family,rule,leverage,body_bps,min_range_bps,hard_pass_complete_years,non_positive_months,total_eval_return_pct,return_2023_pct,return_2024_pct,return_2025_pct,return_2026_ytd_pct,min_complete_year_return_pct,losing_eval_months,min_monthly_return_pct,min_monthly_orders,orders,turnover,cost_log,worst_selected_month_drawdown_pct,selected_candidate_count,wick_ratio,natr_window,natr_min_bps,natr_max_bps
body_structure_body_reversal_lev2p0_body_bps10_min_range_bps50,body_structure,body_reversal,2.0,10.0,50.0,False,"['2023-01', '2023-02', '2023-03', '2023-04', '2023-05', '2023-06', '2023-07', '2023-08', '2023-09', '2023-10', '2023-11', '2023-12', '2024-01', '2024-02', '2024-03', '2024-04', '2024-05', '2024-06', '2024-07', '2024-08', '2024-09', '2024-10', '2024-11', '2024-12', '2025-01', '2025-02', '2025-03', '2025-04', '2025-05', '2025-06', '2025-07', '2025-08', '2025-09', '2025-10', '2025-11', '2025-12', '2026-01', '2026-02', '2026-03', '2026-04', '2026-05']",-100.0,-99.99950452535805,-99.99999978967273,-99.99987609749859,-99.84990202918632,-99.99999978967273,41,-93.42537514443457,129,22343,53172.0,53.172000000000004,-100.0,1,,,,
range_structure_range_reversal_lev1p0_min_range_bps25,range_structure,range_reversal,1.0,,25.0,False,"['2023-01', '2023-02', '2023-03', '2023-04', '2023-05', '2023-06', '2023-07', '2023-08', '2023-09', '2023-10', '2023-11', '2023-12', '2024-01', '2024-02', '2024-03', '2024-04', '2024-05', '2024-06', '2024-07', '2024-08', '2024-09', '2024-10', '2024-11', '2024-12', '2025-01', '2025-02', '2025-03', '2025-04', '2025-05', '2025-06', '2025-07', '2025-08', '2025-09', '2025-10', '2025-11', '2025-12', '2026-01', '2026-02', '2026-03', '2026-04', '2026-05']",-100.0,-99.99999959234421,-99.99999999967241,-99.9999999038751,-99.98774805229824,-99.99999999967241,41,-93.55432573871231,694,53306,76656.0,76.656,-100.0,1,,,,
wick_structure_wick_reversal_lev1p0_wick_ratio0p4_min_range_bps0,wick_structure,wick_reversal,1.0,,0.0,False,"['2023-01', '2023-02', '2023-03', '2023-04', '2023-05', '2023-06', '2023-07', '2023-08', '2023-09', '2023-10', '2023-11', '2023-12', '2024-01', '2024-02', '2024-03', '2024-04', '2024-05', '2024-06', '2024-07', '2024-08', '2024-09', '2024-10', '2024-11', '2024-12', '2025-01', '2025-02', '2025-03', '2025-04', '2025-05', '2025-06', '2025-07', '2025-08', '2025-09', '2025-10', '2025-11', '2025-12', '2026-01', '2026-02', '2026-03', '2026-04', '2026-05']",-100.0,-99.99999999988849,-99.9999999999542,-99.99999999944109,-99.9980003527734,-99.9999999999542,41,-93.67620923892778,1650,73947,87235.0,87.235,-100.0,1,0.4,,,
volatility_structure_high_vol_body_reversal_lev1p0_natr_window14_natr_min_bps25_body_bps5,volatility_structure,high_vol_body_reversal,1.0,5.0,,False,"['2023-01', '2023-02', '2023-03', '2023-04', '2023-05', '2023-06', '2023-07', '2023-08', '2023-09', '2023-10', '2023-11', '2023-12', '2024-01', '2024-02', '2024-03', '2024-04', '2024-05', '2024-06', '2024-07', '2024-08', '2024-09', '2024-10', '2024-11', '2024-12', '2025-01', '2025-02', '2025-03', '2025-04', '2025-05', '2025-06', '2025-07', '2025-08', '2025-09', '2025-10', '2025-11', '2025-12', '2026-01', '2026-02', '2026-03', '2026-04', '2026-05']",-100.0,-99.9999976777899,-99.99999999913926,-99.99999923066407,-99.97585660513518,-99.99999999913926,41,-93.72589757305778,455,46618,71402.0,71.402,-100.0,1,,14.0,25.0,
volatility_structure_high_vol_body_momentum_lev2p0_natr_window60_natr_min_bps50_body_bps5,volatility_structure,high_vol_body_momentum,2.0,5.0,,False,"['2023-01', '2023-02', '2023-03', '2023-04', '2023-05', '2023-06', '2023-07', '2023-08', '2023-09', '2023-10', '2023-11', '2023-12', '2024-01', '2024-02', '2024-03', '2024-04', '2024-05', '2024-06', '2024-07', '2024-08', '2024-09', '2024-10', '2024-11', '2024-12', '2025-01', '2025-02', '2025-03', '2025-04', '2025-05', '2025-06', '2025-07', '2025-08', '2025-09', '2025-10', '2025-11', '2025-12', '2026-01', '2026-02', '2026-03', '2026-04', '2026-05']",-99.99999999998329,-99.6280399340382,-99.99988890806371,-99.85422888200512,-97.22635728891257,-99.99988890806371,41,-93.80833852709934,0,8694,28108.0,28.108,-100.0,1,,60.0,50.0,
volatility_structure_high_vol_body_momentum_lev2p0_natr_window192_natr_min_bps50_body_bps5,volatility_structure,high_vol_body_momentum,2.0,5.0,,False,"['2023-01', '2023-02', '2023-03', '2023-04', '2023-05', '2023-06', '2023-07', '2023-08', '2023-09', '2023-10', '2023-11', '2023-12', '2024-01', '2024-02', '2024-03', '2024-04', '2024-05', '2024-06', '2024-07', '2024-08', '2024-09', '2024-10', '2024-11', '2024-12', '2025-01', '2025-02', '2025-03', '2025-04', '2025-05', '2025-06', '2025-07', '2025-08', '2025-09', '2025-10', '2025-11', '2025-12', '2026-01', '2026-02', '2026-03', '2026-04', '2026-05']",-99.99999999959782,-98.09570270526706,-99.99955093498326,-99.80220328307185,-97.62231720459565,-99.99955093498326,41,-93.82363329012546,0,7665,24780.0,24.78,-100.0,1,,192.0,50.0,
body_structure_body_reversal_lev2p0_body_bps5_min_range_bps50,body_structure,body_reversal,2.0,5.0,50.0,False,"['2023-01', '2023-02', '2023-03', '2023-04', '2023-05', '2023-06', '2023-07', '2023-08', '2023-09', '2023-10', '2023-11', '2023-12', '2024-01', '2024-02', '2024-03', '2024-04', '2024-05', '2024-06', '2024-07', '2024-08', '2024-09', '2024-10', '2024-11', '2024-12', '2025-01', '2025-02', '2025-03', '2025-04', '2025-05', '2025-06', '2025-07', '2025-08', '2025-09', '2025-10', '2025-11', '2025-12', '2026-01', '2026-02', '2026-03', '2026-04', '2026-05']",-100.0,-99.99970795701894,-99.99999990961706,-99.9999156682131,-99.88450976604503,-99.99999990961706,41,-94.18182202182285,128,22669,54904.0,54.904,-100.0,1,,,,
body_structure_body_momentum_lev2p0_body_bps10_min_range_bps50,body_structure,body_momentum,2.0,10.0,50.0,False,"['2023-01', '2023-02', '2023-03', '2023-04', '2023-05', '2023-06', '2023-07', '2023-08', '2023-09', '2023-10', '2023-11', '2023-12', '2024-01', '2024-02', '2024-03', '2024-04', '2024-05', '2024-06', '2024-07', '2024-08', '2024-09', '2024-10', '2024-11', '2024-12', '2025-01', '2025-02', '2025-03', '2025-04', '2025-05', '2025-06', '2025-07', '2025-08', '2025-09', '2025-10', '2025-11', '2025-12', '2026-01', '2026-02', '2026-03', '2026-04', '2026-05']",-100.0,-99.99962012383723,-99.99999993818122,-99.9997663401301,-99.93852917264697,-99.99999993818122,41,-94.2158417078497,129,22343,53172.0,53.172000000000004,-100.0,1,,,,
range_structure_range_reversal_lev2p0_min_range_bps50,range_structure,range_reversal,2.0,,50.0,False,"['2023-01', '2023-02', '2023-03', '2023-04', '2023-05', '2023-06', '2023-07', '2023-08', '2023-09', '2023-10', '2023-11', '2023-12', '2024-01', '2024-02', '2024-03', '2024-04', '2024-05', '2024-06', '2024-07', '2024-08', '2024-09', '2024-10', '2024-11', '2024-12', '2025-01', '2025-02', '2025-03', '2025-04', '2025-05', '2025-06', '2025-07', '2025-08', '2025-09', '2025-10', '2025-11', '2025-12', '2026-01', '2026-02', '2026-03', '2026-04', '2026-05']",-100.0,-99.999791137223,-99.99999992566,-99.99994147705249,-99.89726259651619,-99.99999992566,41,-94.30952803081372,128,22746,56096.0,56.096000000000004,-100.0,1,,,,
body_structure_body_momentum_lev2p0_body_bps5_min_range_bps50,body_structure,body_momentum,2.0,5.0,50.0,False,"['2023-01', '2023-02', '2023-03', '2023-04', '2023-05', '2023-06', '2023-07', '2023-08', '2023-09', '2023-10', '2023-11', '2023-12', '2024-01', '2024-02', '2024-03', '2024-04', '2024-05', '2024-06', '2024-07', '2024-08', '2024-09', '2024-10', '2024-11', '2024-12', '2025-01', '2025-02', '2025-03', '2025-04', '2025-05', '2025-06', '2025-07', '2025-08', '2025-09', '2025-10', '2025-11', '2025-12', '2026-01', '2026-02', '2026-03', '2026-04', '2026-05']",-100.0,-99.99977220171988,-99.99999995769875,-99.99986643308007,-99.93815291558869,-99.99999995769875,41,-94.3403999825897,128,22669,54904.0,54.904,-100.0,1,,,,
