action,hype_target,btc_target,hold_bars,trade_log_return,trade_return_pct,trade_max_drawdown_pct,event_timestamp,month,event_index
hype_momentum,4.0,0.0,96,0.20067187782160978,22.22236673290816,-17.36714434669896,2025-08-26 17:45:00+00:00,2025-08,11303
hype_momentum,-4.0,0.0,192,0.4336478165421648,54.28753972289713,-15.426364611496012,2025-08-27 19:45:00+00:00,2025-08,11407
hype_momentum,4.0,0.0,192,0.36797730097745474,44.48092428440835,-18.873415398775272,2025-09-08 03:30:00+00:00,2025-09,12494
hype_reversal,4.0,0.0,64,0.20597260278728785,22.871954004356265,-6.090706486075048,2025-09-11 11:15:00+00:00,2025-09,12813
hype_momentum,-4.0,0.0,192,0.17543040010031097,19.17590394550681,-8.523969777963158,2025-09-13 17:00:00+00:00,2025-09,13028
hype_momentum,4.0,0.0,16,0.1231456960462216,13.10491983397708,-3.4732364854596742,2025-09-17 21:45:00+00:00,2025-09,13431
hype_momentum,-4.0,0.0,192,0.20610875834009107,22.88868484215014,-8.606053468492568,2025-09-19 04:00:00+00:00,2025-09,13552
hype_momentum,-4.0,0.0,192,0.31429087506036624,36.9287970347461,-24.989898461113402,2025-09-21 10:45:00+00:00,2025-09,13771
hype_momentum,-4.0,0.0,192,0.3668212439993557,44.31399261354021,-22.609186587033758,2025-09-23 18:00:00+00:00,2025-09,13992
hype_reversal,4.0,0.0,192,0.2871316594633194,33.25996512813061,-24.854175249679678,2025-09-25 18:15:00+00:00,2025-09,14185
hype_reversal,4.0,0.0,64,0.3774989292186844,45.86318819177253,-6.396697362951764,2025-09-28 12:00:00+00:00,2025-09,14448
btc_momentum,0.0,4.0,192,0.1489343402850538,16.059678225335915,-6.699581133321219,2025-09-29 11:30:00+00:00,2025-09,14542
hype_momentum,4.0,0.0,96,0.1564377308668774,16.933794639172504,-11.117958103049986,2025-10-01 11:45:00+00:00,2025-10,14735
hype_momentum,-4.0,0.0,192,0.23928794694309344,27.034427567543972,-15.565580392717916,2025-10-05 11:00:00+00:00,2025-10,15116
hype_reversal,4.0,0.0,96,0.14810626234022709,15.963611546352396,-7.140807460564358,2025-10-07 19:00:00+00:00,2025-10,15340
btc_momentum,0.0,-4.0,192,0.26671289304713647,30.56655268613604,-17.471043228786808,2025-10-09 16:45:00+00:00,2025-10,15523
hype_momentum,-4.0,0.0,16,0.26014605303465727,29.711952107406603,-6.712983769142678,2025-10-11 17:00:00+00:00,2025-10,15716
hype_reversal,4.0,0.0,192,0.5865162407604524,79.77146885098144,-25.442172434818666,2025-10-11 21:45:00+00:00,2025-10,15735
hype_reversal,-4.0,0.0,192,0.5297638537183751,69.85311594379458,-29.69350924321078,2025-10-13 22:00:00+00:00,2025-10,15928
hype_momentum,-4.0,0.0,192,0.17800836703039696,19.4835318416406,-22.131032709356568,2025-10-15 22:45:00+00:00,2025-10,16123
hype_momentum,4.0,0.0,192,0.30820687177014505,36.098250867760925,-15.657063984242491,2025-10-18 08:30:00+00:00,2025-10,16354
hype_momentum,-4.0,0.0,96,0.14130803385379553,15.177938038840777,-26.122120974479234,2025-10-21 04:30:00+00:00,2025-10,16626
hype_momentum,4.0,0.0,96,0.35117286054044694,42.07328933428984,-14.528342166322105,2025-10-23 00:45:00+00:00,2025-10,16803
hype_momentum,4.0,0.0,96,0.3756907257050278,45.599676175845794,-10.550275475613347,2025-10-25 18:15:00+00:00,2025-10,17065
pair_rv_reversal,-4.0,2.0,96,0.05555514251695948,5.712730812576705,-15.603211796018124,2025-10-26 18:30:00+00:00,2025-10,17162
hype_reversal,-4.0,0.0,32,0.12310709454732327,13.100553898805067,-14.951174816851742,2025-10-27 22:15:00+00:00,2025-10,17273
hype_reversal,-4.0,0.0,192,0.23009432023397908,25.871872697552224,-25.394879666359216,2025-10-28 13:15:00+00:00,2025-10,17333
hype_momentum,-4.0,0.0,192,0.22371617905281563,25.071598965146038,-24.430442328943837,2025-10-30 13:30:00+00:00,2025-10,17526
btc_momentum,0.0,-4.0,192,0.2126932826570708,23.700518210904708,-11.625071472248427,2025-11-03 03:45:00+00:00,2025-11,17871
hype_reversal,-4.0,0.0,192,0.21318500913404081,23.761359988454455,-20.554415967830664,2025-11-05 04:30:00+00:00,2025-11,18066
hype_momentum,4.0,0.0,64,0.1738032525014274,18.982144839638913,-22.10727168689013,2025-11-07 07:45:00+00:00,2025-11,18271
hype_reversal,-4.0,0.0,96,0.22220711851032238,24.883000689060264,-10.5161024917394,2025-11-08 01:30:00+00:00,2025-11,18342
hype_reversal,-4.0,0.0,192,0.25445512277217086,28.975866925084603,-11.683476952616756,2025-11-09 18:45:00+00:00,2025-11,18507
btc_momentum,0.0,-4.0,192,0.20815747621480185,23.140707160550278,-10.500522037442384,2025-11-12 15:45:00+00:00,2025-11,18783
btc_reversal,0.0,-4.0,192,0.10390334026239556,10.949320641015436,-9.298925013457392,2025-11-14 16:15:00+00:00,2025-11,18977
pair_rv_reversal,4.0,-2.0,64,0.3443892017729249,41.11277420631589,-12.652144394146303,2025-11-17 15:45:00+00:00,2025-11,19263
hype_reversal,-4.0,0.0,96,0.1969557688104498,21.769017962959893,-9.042180414822809,2025-11-18 14:15:00+00:00,2025-11,19353
hype_momentum,-4.0,0.0,192,0.694452135405925,100.26116133400902,-27.372953231440334,2025-11-20 16:30:00+00:00,2025-11,19554
hype_momentum,-4.0,0.0,16,0.20128129611306556,22.296873979553734,-7.57368564006069,2025-11-22 16:45:00+00:00,2025-11,19747
hype_reversal,3.0,0.0,192,0.25884119050587584,29.542806221630592,-25.332141962881337,2025-11-22 21:00:00+00:00,2025-11,19764
hype_reversal,-4.0,0.0,32,0.279932311292084,32.30402544210986,-5.975792361233035,2025-11-24 23:15:00+00:00,2025-11,19965
hype_reversal,-4.0,0.0,16,0.22602832097738892,25.36111682689959,-5.784374517955781,2025-11-25 09:45:00+00:00,2025-11,20007
hype_momentum,4.0,0.0,96,0.24514918418909373,27.781192832249335,-18.571977823159248,2025-11-25 23:00:00+00:00,2025-11,20060
hype_reversal,-4.0,0.0,192,0.3443444026179838,41.1064526148821,-18.615891482613577,2025-11-28 11:15:00+00:00,2025-11,20301
hype_momentum,-4.0,0.0,64,0.3331962392042152,39.54211079306149,-12.620475653253937,2025-11-30 23:00:00+00:00,2025-11,20540
hype_reversal,4.0,0.0,192,0.5475941740256489,72.9088124749775,-14.385760526682978,2025-12-01 15:15:00+00:00,2025-12,20605
hype_momentum,-4.0,0.0,192,0.26409543355791804,30.225246895732916,-10.693984145581936,2025-12-04 20:15:00+00:00,2025-12,20913
hype_momentum,-4.0,0.0,192,0.24583490971252608,27.868845707061098,-27.078814926116102,2025-12-07 09:00:00+00:00,2025-12,21156
hype_reversal,4.0,0.0,96,0.2296462326791448,25.81548371243749,-17.668599577346257,2025-12-09 10:30:00+00:00,2025-12,21354
hype_momentum,4.0,0.0,96,0.2147349656464912,23.95333345118513,-16.59054303544506,2025-12-11 17:15:00+00:00,2025-12,21573
hype_reversal,4.0,0.0,64,0.11314779560501145,11.979742185647169,-11.434748607059152,2025-12-12 21:00:00+00:00,2025-12,21684
hype_reversal,-4.0,0.0,32,0.05580206195122723,5.738836563139782,-5.732963972748606,2025-12-13 13:15:00+00:00,2025-12,21749
hype_momentum,-4.0,0.0,64,0.20538392282117074,22.79964303273465,-6.427851798165152,2025-12-15 15:15:00+00:00,2025-12,21949
hype_momentum,-4.0,0.0,192,0.33768547026827683,40.169955787782065,-20.31511020003317,2025-12-16 07:30:00+00:00,2025-12,22014
hype_momentum,-4.0,0.0,64,0.2541261966465824,28.933450369221635,-17.83514713884862,2025-12-18 07:45:00+00:00,2025-12,22207
hype_reversal,4.0,0.0,96,0.40037668368661106,49.23867495193961,-13.805014925238678,2025-12-19 01:15:00+00:00,2025-12,22277
hype_reversal,4.0,0.0,192,0.13963386499364613,14.985272044305198,-15.83254868451739,2025-12-20 23:15:00+00:00,2025-12,22461
pair_rv_reversal,-4.0,2.0,192,0.0693606928224608,7.182273820364804,-12.521925107923582,2025-12-26 23:45:00+00:00,2025-12,23039
btc_momentum,0.0,4.0,16,0.08828320867452327,9.229742633359606,-0.7317343628241213,2025-12-29 01:00:00+00:00,2025-12,23236
pair_rv_reversal,-4.0,2.0,32,0.1476839824378401,15.914652781666883,-5.240706283969521,2025-12-30 06:15:00+00:00,2025-12,23353
btc_momentum,0.0,4.0,192,0.08124977553386492,8.464177971494102,-5.210960395353437,2026-01-01 15:30:00+00:00,2026-01,23582
hype_momentum,4.0,0.0,192,0.14430361377924267,15.52348004884525,-17.798643969554462,2026-01-04 15:45:00+00:00,2026-01,23871
hype_reversal,-4.0,0.0,192,0.37278742290267786,45.177569276555786,-7.80080502062418,2026-01-06 23:45:00+00:00,2026-01,24095
hype_reversal,4.0,0.0,192,0.11006468787881009,11.635028245500667,-12.375540637101313,2026-01-10 02:30:00+00:00,2026-01,24394
hype_reversal,4.0,0.0,192,0.33077163710749347,39.204186530136,-10.546673083162428,2026-01-12 11:00:00+00:00,2026-01,24620
hype_reversal,4.0,0.0,32,0.06600203055667822,6.822888626308998,-5.730920116406358,2026-01-15 03:45:00+00:00,2026-01,24879
