month,log_return,turnover,max_drawdown_pct,return_pct
2025-06,4.1796130945707715,132.0,-26.19817085831513,6434.056770238155
2025-07,2.35158954980499,76.0,-19.113412057474466,950.2250313840118
2025-08,3.582526607703175,136.0,-28.637568746663376,3496.42938119986
2025-09,2.4685250332074817,76.0,-31.94397256122524,1080.5021988839894
2025-10,4.035131941869001,132.0,-29.693509243210915,5555.03811090878
2025-11,3.8472053138789892,138.0,-28.43637734711939,4586.191571341474
2025-12,3.41544224674107,132.0,-27.0788149261151,2943.0404199267996
2026-01,4.588487626443678,108.0,-29.601898988104836,9734.558237542384
2026-02,4.765664239750941,128.0,-24.428152848166075,11640.90791697576
2026-03,2.2709648356619545,96.0,-27.734776573211285,868.8744351929046
2026-04,1.0053488913517012,68.0,-17.94100845204748,173.286057793735
2026-05,4.815770232186474,108.0,-29.263979407049067,12244.185459273263
