confirm_bars,feature_set,max_depth,min_samples_leaf,hold_bars,leverage,trained_months,return_2025_pct,return_2026_pct,min_target_year_return_pct,max_drawdown_pct,losing_months,min_monthly_return_pct,trade_count,turnover,hard_pass_relaxed
2,market_only,4,3,96,2.0,11,144.160634511369,151.70664554063333,144.160634511369,-65.30592707935568,4,-24.722805211334908,173,682.0,False
2,market_only,4,5,96,2.0,11,117.87429634008339,100.78391197333718,100.78391197333718,-55.928889467425634,5,-24.18470918616905,173,686.0,False
1,event_micro_plus_time,3,3,96,2.0,11,88.55856275983899,368.94896510403663,88.55856275983899,-47.8269636379091,4,-27.735763209798336,173,686.0,False
1,event_micro_plus_time,3,3,32,2.0,11,68.2557168572928,126.42321792275344,68.2557168572928,-46.5733576872012,4,-26.21528649052889,215,858.0,False
2,market_only,4,3,96,1.0,11,56.25640291244676,58.65265378827842,56.25640291244676,-41.098325218509856,4,-13.237568735849104,173,341.0,False
1,event_micro_plus_time,4,3,96,2.0,11,53.50677322978923,143.1847588477891,53.50677322978923,-67.86991161356909,7,-30.01520641554115,173,682.0,False
1,event_micro,3,3,32,2.0,11,43.8544635711446,137.9226431881357,43.8544635711446,-46.5733576872012,4,-26.21528649052889,215,858.0,False
2,market_only,4,5,96,1.0,11,47.605655833400704,41.6982399232034,41.6982399232034,-33.61392425171197,5,-12.928023558764357,173,343.0,False
1,event_micro_plus_time,3,3,96,1.0,11,37.316627820464255,116.55229509382639,37.316627820464255,-27.769095006298794,4,-14.991625830038569,173,343.0,False
1,event_micro,5,3,96,2.0,11,35.83312342869471,120.51827178240573,35.83312342869471,-59.80449330595452,4,-32.00490637697237,173,682.0,False
0,event_micro,5,5,96,2.0,11,34.747726283584356,173.8627876793803,34.747726283584356,-59.049405436172464,4,-36.83347939877506,171,674.0,False
4,market_only,5,3,32,2.0,11,34.47115377322876,79.89427049998568,34.47115377322876,-55.520746393975614,5,-18.434948193232636,214,850.0,False
4,market_only,4,5,64,2.0,11,43.02665742772061,34.00721384750367,34.00721384750367,-59.00267630092115,6,-34.563614801130704,190,754.0,False
1,event_micro_plus_time,6,3,96,2.0,11,33.44310251859932,76.41502726714096,33.44310251859932,-73.40354611929644,6,-32.00490637697237,173,682.0,False
2,market_only,5,3,96,2.0,11,49.159289014931716,32.117820169351496,32.117820169351496,-70.63699584451471,6,-33.10842723487018,173,690.0,False
0,event_micro,4,5,96,2.0,11,30.75381559649799,186.91808302312484,30.75381559649799,-64.7290268604835,4,-36.83347939877506,171,674.0,False
0,event_micro_plus_time,4,8,96,2.0,11,44.91598175519687,29.724002559832364,29.724002559832364,-70.09671572681816,6,-45.18357684967658,171,674.0,False
1,event_micro_plus_time,3,3,32,1.0,11,29.71342137855002,50.47365813415763,29.71342137855002,-26.90646929255721,4,-14.101971204531639,215,429.0,False
4,market_only,5,5,64,2.0,11,52.243514987063875,28.61779361588428,28.61779361588428,-61.423230530135385,6,-40.569384409975704,190,754.0,False
0,event_micro,4,8,96,2.0,11,26.522300194095692,57.191295235544516,26.522300194095692,-65.35172681233314,5,-45.18357684967658,171,674.0,False
1,event_micro_plus_time,2,3,96,2.0,11,38.17403440059517,25.434219971270977,25.434219971270977,-65.64799934241435,6,-36.02783338889021,173,686.0,False
2,market_only,4,3,96,0.5,11,25.002561138740976,25.95739509384847,25.002561138740976,-23.252573475399096,4,-6.85364673582175,173,170.5,False
1,event_micro_plus_time,3,3,64,2.0,11,24.60015706709504,260.74667181843824,24.60015706709504,-58.002257430717584,6,-36.031620083189054,195,774.0,False
1,event_micro_plus_time,4,3,96,1.0,11,23.897850356569638,55.9438228490597,23.897850356569638,-43.31659115188033,7,-16.343085411629687,173,341.0,False
2,market_only,4,5,64,2.0,11,20.819754730511654,55.336388080498566,20.819754730511654,-63.45799353769881,7,-48.056863054258805,198,786.0,False
1,event_micro,3,3,32,1.0,11,19.939344491765752,54.2474126811,19.939344491765752,-26.906469292557222,4,-14.101971204531639,215,429.0,False
2,market_only,4,5,96,0.5,11,21.493068046453057,19.037069824153274,19.037069824153274,-18.522349231038802,5,-6.687634023546673,173,171.5,False
4,market_only,4,3,64,2.0,11,23.288199021204626,18.178524520441286,18.178524520441286,-58.627474315671336,5,-34.563614801130704,190,754.0,False
4,market_only,4,5,96,2.0,11,71.4058328413476,17.538571372502076,17.538571372502076,-53.35101306644718,4,-47.12854063295173,168,666.0,False
1,event_micro_plus_time,3,3,96,0.5,11,17.18217774920565,47.15715921892023,17.18217774920565,-15.011233098896405,4,-7.800014007614164,173,171.5,False
1,event_micro,5,3,96,1.0,11,16.547468195879176,48.498576350888214,16.547468195879176,-36.60007358518034,4,-17.54086246932507,173,341.0,False
0,event_micro,5,5,96,1.0,11,16.080888299316687,65.48800188514583,16.080888299316687,-36.00734841887896,4,-20.522631774054734,171,337.0,False
1,event_micro,6,3,96,2.0,11,15.988569593818625,165.34426815528417,15.988569593818625,-65.15823681061586,5,-32.00490637697237,173,682.0,False
4,market_only,5,3,32,1.0,11,15.961697889099892,34.12466980387525,15.961697889099892,-33.30723157191301,5,-9.686627896657873,214,425.0,False
4,market_only,4,5,64,1.0,11,19.59375294208332,15.761484893510103,15.761484893510103,-35.97084749969055,6,-19.10724062138237,190,377.0,False
1,event_micro_plus_time,6,3,96,1.0,11,15.517575510655224,32.82131879602046,15.517575510655224,-48.428250096876134,6,-17.54086246932507,173,341.0,False
2,market_only,5,3,96,1.0,11,22.130786051237592,14.942516141483297,14.942516141483297,-45.812359199273786,6,-18.212731574449915,173,345.0,False
0,event_micro,4,5,96,1.0,11,14.347634691976907,69.38656470426596,14.347634691976907,-40.6106296215253,4,-20.522631774054734,171,337.0,False
0,event_micro_plus_time,4,8,96,1.0,11,20.38105405552688,13.896445317592043,13.896445317592043,-45.31610449759286,6,-25.961886065133033,171,337.0,False
1,event_micro_plus_time,3,3,32,0.5,11,13.891800134403898,22.667704851015145,13.891800134403898,-14.505245361225372,4,-7.318810540936427,215,214.5,False
4,market_only,5,5,64,1.0,11,23.38699890469169,13.409785122750439,13.409785122750439,-37.88979997628038,6,-22.90874524952633,190,377.0,False
4,market_only,6,5,64,2.0,11,28.995318360912847,13.03000887712047,13.03000887712047,-76.40900150662281,7,-45.58272802115285,190,754.0,False
1,event_micro_plus_time,2,5,96,2.0,11,12.806290574329559,15.654003047516628,12.806290574329559,-65.64799934241414,7,-36.02783338889021,173,686.0,False
0,event_micro,4,8,96,1.0,11,12.482132000640744,25.37595273238984,12.482132000640744,-41.13721618232208,5,-25.961886065133033,171,337.0,False
0,event_micro_plus_time,5,5,96,2.0,11,12.395684883143087,47.685418533639364,12.395684883143087,-66.93032860890453,6,-36.804574803308256,171,674.0,False
1,event_micro_plus_time,2,3,96,1.0,11,17.547451865446728,11.997419600306403,11.997419600306403,-41.38942018919652,6,-20.01739775981918,173,343.0,False
1,event_micro_plus_time,3,3,64,1.0,11,11.62444045418325,89.93332298952659,11.62444045418325,-35.19433468493484,6,-20.01976499358673,195,387.0,False
1,event_micro_plus_time,4,3,96,0.5,11,11.30941126273628,24.87746908432269,11.30941126273628,-24.711615206514313,7,-8.535846044272455,173,170.5,False
2,market_only,5,5,64,2.0,11,229.06918703532796,11.303951509668519,11.303951509668519,-73.89750155161533,7,-43.18018838674057,198,790.0,False
0,event_micro,6,5,96,2.0,11,36.516722456276106,10.028348437489676,10.028348437489676,-83.04429555370604,6,-53.11984660413259,171,674.0,False
2,market_only,4,5,64,1.0,11,9.91803979807484,24.63401946519199,9.91803979807484,-39.550015333086144,7,-27.928412709486416,198,393.0,False
4,market_only,4,3,32,2.0,11,93.59101418364672,9.626766787330787,9.626766787330787,-55.520746393975614,7,-18.434948193232636,214,850.0,False
1,event_micro,3,3,32,0.5,11,9.516822676594195,24.19638186400601,9.516822676594195,-14.505245361225372,4,-7.318810540936427,215,214.5,False
4,market_only,4,3,96,2.0,11,123.07267763482402,9.491311254810109,9.491311254810109,-56.54482874497402,4,-47.12854063295173,168,666.0,False
4,market_only,5,3,64,2.0,11,66.87829673735106,9.225702731369779,9.225702731369779,-62.51169627821251,6,-40.939031327037426,190,754.0,False
0,event_micro_plus_time,4,5,96,2.0,11,9.06428672587516,131.70082932370804,9.06428672587516,-74.62457056957585,5,-37.40845007434936,171,674.0,False
4,market_only,4,3,64,1.0,11,11.03521919697581,8.709946426461501,8.709946426461501,-35.678521717603005,5,-19.10724062138237,190,377.0,False
4,market_only,4,5,96,1.0,11,30.922050412200463,8.41520713096575,8.41520713096575,-31.69993635906858,4,-27.287236768880618,168,333.0,False
1,event_micro,5,3,96,0.5,11,7.957152702300929,21.85999193783339,7.957152702300929,-20.37592925828292,4,-9.192986212146081,173,170.5,False
0,event_micro,5,5,96,0.5,11,7.740841048934022,28.642140018403705,7.740841048934022,-20.00459289364105,4,-10.849919671407326,171,168.5,False
1,event_micro,6,3,96,1.0,11,7.697989579108966,62.89391276388574,7.697989579108966,-40.97308818057297,5,-17.54086246932507,173,341.0,False
4,market_only,5,3,32,0.5,11,7.685513366051189,15.812205662389168,7.685513366051189,-18.334359472243776,5,-4.966652114459247,214,212.5,False
2,market_only,5,3,64,2.0,11,29.05741854093438,7.642613569038703,7.642613569038703,-70.21064862894471,9,-26.027213947251926,198,790.0,False
4,market_only,4,5,64,0.5,11,9.358928735647055,7.59251130701899,7.59251130701899,-19.98178176170787,6,-10.059597855792513,190,188.5,False
1,event_micro_plus_time,6,3,96,0.5,11,7.479102857557951,15.248131783565345,7.479102857557951,-28.186526401291612,6,-9.192986212146081,173,170.5,False
2,market_only,5,3,96,0.5,11,10.51279837703758,7.211247610259308,7.211247610259308,-26.38774504151756,6,-9.563686261795212,173,172.5,False
0,event_micro,4,5,96,0.5,11,6.93345346147618,30.148593808871382,6.93345346147618,-22.935500794156393,4,-10.849919671407326,171,168.5,False
0,event_micro_plus_time,4,8,96,0.5,11,9.71830023087621,6.722277579515734,6.722277579515734,-26.0514398365951,6,-13.954596906710371,171,168.5,False
4,market_only,5,5,64,0.5,11,11.07970062288235,6.4940304067558685,6.4940304067558685,-21.18997524190236,6,-12.198374302935788,190,188.5,False
4,market_only,6,5,64,1.0,11,13.576105920617309,6.315572178830164,6.315572178830164,-51.42943433170952,7,-26.231936463773742,190,377.0,False
1,event_micro_plus_time,2,5,96,1.0,11,6.210305796720861,7.542551135593123,6.210305796720861,-41.389420189196336,7,-20.01739775981918,173,343.0,False
0,event_micro,4,8,96,0.5,11,6.057593787828663,11.971403819184934,6.057593787828663,-23.27791464142941,5,-13.954596906710371,171,168.5,False
0,event_micro_plus_time,5,5,96,1.0,11,6.016831155785396,21.52588964234714,6.016831155785396,-42.49376434585944,6,-20.504449686355564,171,337.0,False
1,event_micro_plus_time,2,3,96,0.5,11,8.419302647382288,5.828833311298687,5.828833311298687,-23.44245314091924,6,-10.56700707223266,173,171.5,False
4,market_only,6,3,64,2.0,11,31.542538404259048,5.674273365536542,5.674273365536542,-75.38455758582167,7,-41.934456977331735,190,754.0,False
1,event_micro_plus_time,3,3,64,0.5,11,5.652468241013309,37.81629910483251,5.652468241013309,-19.498033989805464,6,-10.568330549847571,195,193.5,False
2,market_only,5,5,64,1.0,11,81.40264249324703,5.500687917031377,5.500687917031377,-48.90939572838794,7,-24.621082779560023,198,395.0,False
4,market_only,5,5,32,2.0,11,5.294172986931889,56.234912153511615,5.294172986931889,-54.48789076425567,6,-16.522497370314593,214,850.0,False
0,event_micro,6,5,96,1.0,11,16.84037078693139,4.894398533710875,4.894398533710875,-58.82269502955061,6,-31.53091690706863,171,337.0,False
2,market_only,4,5,64,0.5,11,4.841804542880146,11.639607427289,4.841804542880146,-22.250411790856507,7,-15.105013522285315,198,196.5,False
2,event_micro_plus_time,3,5,32,2.0,11,4.721366641858515,12.444307703690537,4.721366641858515,-59.672149140095854,6,-18.587120605121786,211,842.0,False
4,market_only,4,3,32,1.0,11,39.13698795922193,4.702801675662327,4.702801675662327,-33.30723157191301,7,-9.686627896657873,214,425.0,False
4,market_only,4,3,96,1.0,11,49.356177520323556,4.638095956878963,4.638095956878963,-34.07946355267883,4,-27.287236768880618,168,333.0,False
4,market_only,5,3,64,1.0,11,29.18138284495606,4.511101195695844,4.511101195695844,-38.77230714636759,6,-23.148865543205822,190,377.0,False
0,event_micro_plus_time,4,5,96,1.0,11,4.433848308809885,52.21722285067089,4.433848308809885,-49.62596955729654,5,-20.885178426763396,171,337.0,False
4,market_only,4,3,64,0.5,11,5.373250494124826,4.26406208586998,4.26406208586998,-19.799327756933994,5,-10.059597855792513,190,188.5,False
4,market_only,4,5,96,0.5,11,14.421173919952635,4.122623445131146,4.122623445131146,-17.35614745128865,4,-14.728220828272043,168,166.5,False
