year,log_return,compounded_return_pct,months,losing_months,min_monthly_return_pct,min_monthly_orders,orders_sum,max_drawdown_pct
2025,0.20181366079637628,22.36199784942585,12,7,-7.196561917408073,11,150,-31.81855162011863
2026,0.41088054630451043,50.814519228107514,6,3,-6.1489999925315,12,72,-32.47059522406398
