year,log_return,compounded_return_pct,months,losing_months,min_monthly_return_pct,orders_min,orders_sum,max_drawdown_pct
2024,-0.2094248420267665,-18.894940593871024,12,5,-14.298699741502684,10,176,-38.57616328238805
2025,0.11283438868907875,11.944652458970562,12,6,-2.8594707827567345,4,104,-40.098319028845154
2026,0.01694649519200385,1.7090901615963272,6,3,-3.274302171865273,2,56,-38.1010940326312
