variant_id,min_lock_orders,quota_min_orders_kept_at,hard_pass,return_2025_pct,return_2026_pct,min_required_year_return_pct,min_monthly_return_pct,losing_eval_months,min_monthly_orders,total_return_pct,max_drawdown_pct,exposure_pct,turnover,orders,strong_trend_reverse_active_bars,strong_trend_reverse_big_active_bars,weak_trend_order_events,weak_trend_big_order_events,adverse_shock_cut_events,guard_reason_counts
lock_after_10_orders,10.0,10,True,359.0952944375251,260.5918213916581,260.5918213916581,5.575755909827906,0,11,1555.4600841356685,-29.40311707059141,27.353971962616825,816.8,228,1,1,94,0,1,"{'post_lock_flat': 37311, 'main': 12440, 'strong_conflict_small_trend': 1037, 'post_lock_runner': 487, 'weak_new_order_small': 83, 'adverse_shock_cut': 1, 'shock_cooldown_small': 1}"
lock_after_20_orders,20.0,10,False,-84.39284563940781,460.6208639125422,-84.39284563940781,-87.98113844227868,3,19,-12.503036391483969,-95.45665796461982,56.224688473520246,3522.8,547,2,2,245,0,69,"{'main': 27259, 'post_lock_flat': 22339, 'strong_conflict_small_trend': 1037, 'post_lock_runner': 357, 'weak_new_order_small': 160, 'strong_conflict_flat': 75, 'adverse_shock_cut': 69, 'shock_cooldown_small': 64}"
lock_after_30_orders,30.0,10,False,-99.72833049972436,77.32683792623689,-99.72833049972436,-92.00826432349771,6,19,-99.51825706555123,-99.92091527822333,70.07593457943925,5538.200000000001,793,3,3,330,0,122,"{'main': 34594, 'post_lock_flat': 14850, 'strong_conflict_small_trend': 1037, 'strong_conflict_flat': 400, 'weak_new_order_small': 203, 'adverse_shock_cut': 122, 'shock_cooldown_small': 119, 'post_lock_runner': 35}"
lock_after_50_orders,50.0,10,False,-99.80878574805891,134.76832938411368,-99.80878574805891,-92.00826432349771,8,18,-99.55108949517357,-99.94433631342807,83.89018691588785,6994.2,975,4,4,394,0,164,"{'main': 41642, 'post_lock_flat': 7553, 'strong_conflict_small_trend': 1037, 'strong_conflict_flat': 560, 'weak_new_order_small': 232, 'adverse_shock_cut': 164, 'shock_cooldown_small': 163, 'post_lock_runner': 9}"
lock_after_100_orders,100.0,10,False,-99.95311708208622,-11.189394142791064,-99.95311708208622,-91.97823226461286,12,18,-99.95836299655723,-99.99238262733175,97.68302180685359,8995.599999999999,1195,6,6,507,0,229,"{'main': 48615, 'strong_conflict_small_trend': 1037, 'strong_conflict_flat': 688, 'post_lock_flat': 287, 'weak_new_order_small': 276, 'adverse_shock_cut': 229, 'shock_cooldown_small': 228}"
no_monthly_lock,,10,False,-99.96673223690371,-11.189394142791064,-99.96673223690371,-91.97823226461286,13,18,-99.97045469803903,-99.99459477010775,98.2165109034268,9043.599999999999,1201,7,7,506,0,230,"{'main': 48889, 'strong_conflict_small_trend': 1037, 'strong_conflict_flat': 700, 'weak_new_order_small': 275, 'adverse_shock_cut': 230, 'shock_cooldown_small': 229}"
