kind,period,url,ok,http_status,rows,content_length,error
monthly,2025-01,https://data.binance.vision/data/futures/um/monthly/klines/BTCUSDT/3m/BTCUSDT-3m-2025-01.zip,True,200,14880,682893.0,
monthly,2025-02,https://data.binance.vision/data/futures/um/monthly/klines/BTCUSDT/3m/BTCUSDT-3m-2025-02.zip,True,200,13440,611068.0,
monthly,2025-03,https://data.binance.vision/data/futures/um/monthly/klines/BTCUSDT/3m/BTCUSDT-3m-2025-03.zip,True,200,14880,682103.0,
monthly,2025-04,https://data.binance.vision/data/futures/um/monthly/klines/BTCUSDT/3m/BTCUSDT-3m-2025-04.zip,True,200,14400,657029.0,
monthly,2025-05,https://data.binance.vision/data/futures/um/monthly/klines/BTCUSDT/3m/BTCUSDT-3m-2025-05.zip,True,200,14880,679178.0,
monthly,2025-06,https://data.binance.vision/data/futures/um/monthly/klines/BTCUSDT/3m/BTCUSDT-3m-2025-06.zip,True,200,14400,650798.0,
monthly,2025-07,https://data.binance.vision/data/futures/um/monthly/klines/BTCUSDT/3m/BTCUSDT-3m-2025-07.zip,True,200,14880,670609.0,
monthly,2025-08,https://data.binance.vision/data/futures/um/monthly/klines/BTCUSDT/3m/BTCUSDT-3m-2025-08.zip,True,200,14880,670431.0,
monthly,2025-09,https://data.binance.vision/data/futures/um/monthly/klines/BTCUSDT/3m/BTCUSDT-3m-2025-09.zip,True,200,14400,641220.0,
monthly,2025-10,https://data.binance.vision/data/futures/um/monthly/klines/BTCUSDT/3m/BTCUSDT-3m-2025-10.zip,True,200,14880,682558.0,
monthly,2025-11,https://data.binance.vision/data/futures/um/monthly/klines/BTCUSDT/3m/BTCUSDT-3m-2025-11.zip,True,200,14400,659835.0,
monthly,2025-12,https://data.binance.vision/data/futures/um/monthly/klines/BTCUSDT/3m/BTCUSDT-3m-2025-12.zip,True,200,14880,667682.0,
monthly,2026-01,https://data.binance.vision/data/futures/um/monthly/klines/BTCUSDT/3m/BTCUSDT-3m-2026-01.zip,True,200,14880,664187.0,
monthly,2026-02,https://data.binance.vision/data/futures/um/monthly/klines/BTCUSDT/3m/BTCUSDT-3m-2026-02.zip,True,200,13440,618618.0,
monthly,2026-03,https://data.binance.vision/data/futures/um/monthly/klines/BTCUSDT/3m/BTCUSDT-3m-2026-03.zip,True,200,14880,679734.0,
monthly,2026-04,https://data.binance.vision/data/futures/um/monthly/klines/BTCUSDT/3m/BTCUSDT-3m-2026-04.zip,True,200,14400,646354.0,
monthly,2026-05,https://data.binance.vision/data/futures/um/monthly/klines/BTCUSDT/3m/BTCUSDT-3m-2026-05.zip,True,200,14880,661227.0,
daily,2026-06-01,https://data.binance.vision/data/futures/um/daily/klines/BTCUSDT/3m/BTCUSDT-3m-2026-06-01.zip,True,200,480,22680.0,
daily,2026-06-02,https://data.binance.vision/data/futures/um/daily/klines/BTCUSDT/3m/BTCUSDT-3m-2026-06-02.zip,True,200,480,23180.0,
daily,2026-06-03,https://data.binance.vision/data/futures/um/daily/klines/BTCUSDT/3m/BTCUSDT-3m-2026-06-03.zip,True,200,480,23117.0,
daily,2026-06-04,https://data.binance.vision/data/futures/um/daily/klines/BTCUSDT/3m/BTCUSDT-3m-2026-06-04.zip,True,200,480,23482.0,
daily,2026-06-05,https://data.binance.vision/data/futures/um/daily/klines/BTCUSDT/3m/BTCUSDT-3m-2026-06-05.zip,True,200,480,23653.0,
daily,2026-06-06,https://data.binance.vision/data/futures/um/daily/klines/BTCUSDT/3m/BTCUSDT-3m-2026-06-06.zip,True,200,480,22704.0,
daily,2026-06-07,https://data.binance.vision/data/futures/um/daily/klines/BTCUSDT/3m/BTCUSDT-3m-2026-06-07.zip,True,200,480,22823.0,
daily,2026-06-08,https://data.binance.vision/data/futures/um/daily/klines/BTCUSDT/3m/BTCUSDT-3m-2026-06-08.zip,True,200,480,22882.0,
daily,2026-06-09,https://data.binance.vision/data/futures/um/daily/klines/BTCUSDT/3m/BTCUSDT-3m-2026-06-09.zip,True,200,480,22808.0,
daily,2026-06-10,https://data.binance.vision/data/futures/um/daily/klines/BTCUSDT/3m/BTCUSDT-3m-2026-06-10.zip,True,200,480,22754.0,
daily,2026-06-11,https://data.binance.vision/data/futures/um/daily/klines/BTCUSDT/3m/BTCUSDT-3m-2026-06-11.zip,True,200,480,22591.0,
daily,2026-06-12,https://data.binance.vision/data/futures/um/daily/klines/BTCUSDT/3m/BTCUSDT-3m-2026-06-12.zip,True,200,480,22355.0,
daily,2026-06-13,https://data.binance.vision/data/futures/um/daily/klines/BTCUSDT/3m/BTCUSDT-3m-2026-06-13.zip,True,200,480,21748.0,
daily,2026-06-14,https://data.binance.vision/data/futures/um/daily/klines/BTCUSDT/3m/BTCUSDT-3m-2026-06-14.zip,True,200,480,22021.0,
daily,2026-06-15,https://data.binance.vision/data/futures/um/daily/klines/BTCUSDT/3m/BTCUSDT-3m-2026-06-15.zip,True,200,480,22453.0,
daily,2026-06-16,https://data.binance.vision/data/futures/um/daily/klines/BTCUSDT/3m/BTCUSDT-3m-2026-06-16.zip,True,200,480,22311.0,
daily,2026-06-17,https://data.binance.vision/data/futures/um/daily/klines/BTCUSDT/3m/BTCUSDT-3m-2026-06-17.zip,True,200,480,22563.0,
daily,2026-06-18,https://data.binance.vision/data/futures/um/daily/klines/BTCUSDT/3m/BTCUSDT-3m-2026-06-18.zip,True,200,480,22620.0,
daily,2026-06-19,https://data.binance.vision/data/futures/um/daily/klines/BTCUSDT/3m/BTCUSDT-3m-2026-06-19.zip,True,200,480,22077.0,
daily,2026-06-20,https://data.binance.vision/data/futures/um/daily/klines/BTCUSDT/3m/BTCUSDT-3m-2026-06-20.zip,True,200,480,21837.0,
daily,2026-06-21,https://data.binance.vision/data/futures/um/daily/klines/BTCUSDT/3m/BTCUSDT-3m-2026-06-21.zip,True,200,480,21749.0,
daily,2026-06-22,https://data.binance.vision/data/futures/um/daily/klines/BTCUSDT/3m/BTCUSDT-3m-2026-06-22.zip,True,200,480,22526.0,
daily,2026-06-23,https://data.binance.vision/data/futures/um/daily/klines/BTCUSDT/3m/BTCUSDT-3m-2026-06-23.zip,True,200,480,22411.0,
daily,2026-06-24,https://data.binance.vision/data/futures/um/daily/klines/BTCUSDT/3m/BTCUSDT-3m-2026-06-24.zip,True,200,480,22737.0,
daily,2026-06-25,https://data.binance.vision/data/futures/um/daily/klines/BTCUSDT/3m/BTCUSDT-3m-2026-06-25.zip,True,200,480,22821.0,
daily,2026-06-26,https://data.binance.vision/data/futures/um/daily/klines/BTCUSDT/3m/BTCUSDT-3m-2026-06-26.zip,True,200,480,23036.0,
daily,2026-06-27,https://data.binance.vision/data/futures/um/daily/klines/BTCUSDT/3m/BTCUSDT-3m-2026-06-27.zip,True,200,480,21810.0,
daily,2026-06-28,https://data.binance.vision/data/futures/um/daily/klines/BTCUSDT/3m/BTCUSDT-3m-2026-06-28.zip,False,404,0,,HTTP Error 404: Not Found
