oracle_id,family_filter,leaky_oracle,requires_monthly_orders_ge_10_at_selection,months_without_order_floor_candidate,hard_pass_2025_to_latest,hard_pass_complete_years,non_positive_months,total_eval_return_pct,return_2025_pct,return_2026_ytd_pct,target_years,min_target_year_return_pct,min_complete_year_return_pct,losing_eval_months,min_monthly_return_pct,min_monthly_orders,orders,turnover,cost_log,worst_selected_month_drawdown_pct,selected_candidate_count
monthly_oracle_best_return,all,True,False,0,False,False,"['2025-01', '2025-02', '2025-03', '2025-05', '2025-06', '2025-09', '2026-04']",2829.7219223487846,586.5111314559897,326.7551956710845,"['2025', '2026_ytd']",326.7551956710845,326.7551956710845,7,0.0,0,225,1500.0,1.5,-99.97403868926025,7
monthly_oracle_best_return_order10,all,True,True,0,False,False,"['2025-01', '2025-02', '2025-03', '2025-04', '2025-05', '2025-06', '2025-07', '2025-09', '2026-03', '2026-04', '2026-05']",395.0175234142869,51.33035589860986,227.1105261563945,"['2025', '2026_ytd']",51.33035589860986,51.33035589860986,11,-3.670483106869471,10,562,1980.0,1.98,-99.97403868926025,10
trend_order10,trend,True,True,0,False,False,"['2025-01', '2025-02', '2025-03', '2025-04', '2025-05', '2025-06', '2025-07', '2025-09', '2026-03', '2026-04', '2026-05']",221.91925893684984,16.289232321623114,176.82636862414935,"['2025', '2026_ytd']",16.289232321623114,16.289232321623114,11,-11.596827255261166,21,893,2664.0,2.664,-99.97403868926025,10
mean_reversion_order10,mean_reversion,True,True,0,False,False,"['2025-01', '2025-02', '2025-03', '2025-04', '2025-05', '2025-06', '2025-07', '2025-08', '2025-09', '2025-10', '2025-11', '2025-12', '2026-02', '2026-03', '2026-04', '2026-05']",-26.69533565076615,-22.05142092304864,-5.957664376579608,"['2025', '2026_ytd']",-22.05142092304864,-22.05142092304864,16,-6.490180410584411,10,530,596.0,0.596,-72.30322929420682,5
breakout_order10,breakout,True,True,0,False,False,"['2025-01', '2025-02', '2025-03', '2025-04', '2025-05', '2025-06', '2025-07', '2025-08', '2025-09', '2025-11', '2025-12', '2026-02', '2026-03', '2026-04', '2026-05', '2026-06']",-34.732452109862336,-14.065496825242118,-24.049659358117815,"['2025', '2026_ytd']",-24.049659358117815,-24.049659358117815,16,-12.83414661304908,10,650,748.0,0.7480000000000001,-99.9839198223717,8
momentum_order10,momentum,True,True,0,False,False,"['2025-01', '2025-02', '2025-03', '2025-04', '2025-05', '2025-06', '2025-07', '2025-08', '2025-09', '2025-11', '2025-12', '2026-01', '2026-02', '2026-03', '2026-04', '2026-05']",-64.20072500761296,-50.481439889075205,-27.705339347116865,"['2025', '2026_ytd']",-50.481439889075205,-50.481439889075205,16,-21.896387479796907,16,2183,3352.0,3.3520000000000003,-99.99999999999977,6
volume_order10,volume,True,True,0,False,False,"['2025-01', '2025-02', '2025-03', '2025-04', '2025-05', '2025-06', '2025-07', '2025-08', '2025-09', '2025-10', '2025-11', '2025-12', '2026-01', '2026-02', '2026-03', '2026-04', '2026-05', '2026-06']",-99.99816012684141,-99.89052534865104,-98.31936148148797,"['2025', '2026_ytd']",-99.89052534865104,-99.89052534865104,18,-61.42054189924862,248,10825,11570.0,11.570000000000002,-99.99869615767592,4
