candidate,month,market_regime,shock_month,market_return_pct,market_max_drawdown_pct,market_max_runup_pct,strategy_return_pct,strategy_orders,strategy_drawdown_pct
2C,2025-01,up,True,9.343573509684798,-11.414456273571194,20.184888975118476,6.808006080310158,12,-17.55076110748066
2C,2025-02,down,True,-17.737226277372255,-23.623069756937575,9.881722887462118,10.795358787798182,13,-6.766700206675303
2C,2025-03,sideways,True,-2.3314746713411383,-18.767838290147655,15.16188600912114,41.7004514581075,11,-28.832514363126094
2C,2025-04,up,True,14.176974425597955,-14.880678216534948,27.86745816378742,6.857761994672207,16,-29.40311707059141
2C,2025-05,up,True,10.953837467470983,-7.774639525703709,19.537457222434785,17.665419517307136,12,-17.78343826438946
2C,2025-06,sideways,False,2.547125996504751,-10.957286748134676,10.46576372448409,9.405567332454945,12,-18.152758837682757
2C,2025-07,up,True,7.848616904756356,-6.449473009919582,16.643231958043494,5.575755909827906,14,-7.525493122970284
2C,2025-08,down,False,-6.1084632050971805,-13.59219629927595,10.970352257215543,9.528515109034807,12,-9.722674102696939
2C,2025-09,up,False,5.616280588877887,-7.708805624188086,9.794398273523486,6.1584306755040785,12,-10.192151979435927
2C,2025-10,sideways,True,-3.9797332295629873,-17.47384630038259,11.577606918825767,11.950122939871921,16,-16.468621952538975
2C,2025-11,down,True,-17.462670200127928,-27.194377815006277,14.824746879947014,22.146298692623635,14,-10.856216691394206
2C,2025-12,sideways,False,-1.4394567527340696,-10.370154164566026,12.269945960760476,18.56625752733738,12,-11.25111849935163
2C,2026-01,down,True,-10.25962031811185,-20.75292502510092,11.513774989089232,11.565887551519282,13,-20.989094466236892
2C,2026-02,down,True,-15.59621112201125,-24.092437123136012,18.727024158168494,29.612022055949573,11,-24.42711463198597
2C,2026-03,sideways,True,2.030548686221101,-13.583680610909898,16.391074525655892,23.563737138798956,12,-29.252496952297058
2C,2026-04,up,True,12.20606810999827,-5.565193566105176,20.412872607729994,20.895891056278117,12,-11.22949787301546
2C,2026-05,sideways,False,-3.631741396251942,-12.128431930109029,8.150090754314254,14.259335126106066,12,-9.50269055650087
2C,2026-06,down,True,-13.91810424279225,-19.716743921193626,13.297077459864992,46.09820947192284,12,-21.13058144879908
4,2025-01,up,True,9.343573509684798,-11.414456273571194,20.184888975118476,5.304664192690978,10,-16.125220693771304
4,2025-02,down,True,-17.737226277372255,-23.623069756937575,9.881722887462118,10.871228641650532,11,-8.543925391330887
4,2025-03,sideways,True,-2.3314746713411383,-18.767838290147655,15.16188600912114,24.481677410000113,11,-18.08237608417609
4,2025-04,up,True,14.176974425597955,-14.880678216534948,27.86745816378742,7.594268311904329,24,-28.715648663214466
4,2025-05,up,True,10.953837467470983,-7.774639525703709,19.537457222434785,19.650057784700103,12,-15.334094576983937
4,2025-06,sideways,False,2.547125996504751,-10.957286748134676,10.46576372448409,7.22868753869248,12,-14.22435361035177
4,2025-07,up,True,7.848616904756356,-6.449473009919582,16.643231958043494,4.558896263438661,12,-8.465845888048907
4,2025-08,down,False,-6.1084632050971805,-13.59219629927595,10.970352257215543,8.517732674974642,10,-10.655659507889027
4,2025-09,up,False,5.616280588877887,-7.708805624188086,9.794398273523486,7.631721640058253,10,-10.265955397175997
4,2025-10,sideways,True,-3.9797332295629873,-17.47384630038259,11.577606918825767,10.7326730244786,22,-14.036380061138122
4,2025-11,down,True,-17.462670200127928,-27.194377815006277,14.824746879947014,24.920187727438183,12,-10.666984633442434
4,2025-12,sideways,False,-1.4394567527340696,-10.370154164566026,12.269945960760476,15.275394894276118,10,-10.881615738731599
4,2026-01,down,True,-10.25962031811185,-20.75292502510092,11.513774989089232,10.511652322786635,11,-23.016095802693982
4,2026-02,down,True,-15.59621112201125,-24.092437123136012,18.727024158168494,30.460926641189022,11,-23.932143811447514
4,2026-03,sideways,True,2.030548686221101,-13.583680610909898,16.391074525655892,20.148797985625876,10,-28.78913036963924
4,2026-04,up,True,12.20606810999827,-5.565193566105176,20.412872607729994,18.471896921988183,18,-13.117512857822256
4,2026-05,sideways,False,-3.631741396251942,-12.128431930109029,8.150090754314254,15.884114318412546,10,-8.86075161833536
4,2026-06,down,True,-13.91810424279225,-19.716743921193626,13.297077459864992,52.70698024781606,10,-22.366307330293424
