scenario_id,candidate,cost_per_side,round_trip_cost,extra_delay_bars,hard_pass,return_2025_pct,return_2026_pct,min_required_year_return_pct,min_monthly_return_pct,losing_eval_months,min_monthly_orders,total_return_pct,max_drawdown_pct,exposure_pct,turnover,orders
2C_cost0.0010_delay0,2C,0.001,0.002,0,True,359.0952944375251,260.5918213916581,260.5918213916581,5.575755909827906,0,11,1555.4600841356685,-29.40311707059141,27.353971962616825,816.8,228
2C_cost0.0010_delay1,2C,0.001,0.002,1,True,268.14268909691947,286.10349671406306,268.14268909691947,1.970797341049324,0,11,1321.4117955003892,-33.51202492292508,27.570093457943923,804.8000000000001,228
2C_cost0.0010_delay2,2C,0.001,0.002,2,True,273.2394866619567,271.4063652785698,271.4063652785698,4.485444845991315,0,11,1286.235211195567,-33.44708586754266,27.385124610591898,848.4000000000001,228
2C_cost0.0010_delay3,2C,0.001,0.002,3,False,326.25454232401785,227.45534167148585,227.45534167148585,-1.1190669239208306,1,11,1295.7932679573432,-32.34059369095191,27.42601246105919,849.2,228
2C_cost0.0015_delay0,2C,0.0015,0.003,0,True,332.975480524237,212.0792711707548,212.0792711707548,2.930604171036433,0,11,1251.226723968106,-31.421025582351113,27.78816199376947,864.4000000000001,230
2C_cost0.0015_delay1,2C,0.0015,0.003,1,True,332.50279649553346,243.8513640194903,243.8513640194903,2.202567110114373,0,11,1387.166765172325,-35.412486321084145,27.544781931464176,828.8000000000001,228
2C_cost0.0015_delay2,2C,0.0015,0.003,2,True,298.8782287252201,232.38201429114778,232.38201429114778,1.3841207851513548,0,11,1225.7994912057327,-35.95988455036684,28.05685358255452,942.0,232
2C_cost0.0015_delay3,2C,0.0015,0.003,3,True,259.790733848895,200.04258188976772,200.04258188976772,5.027508401056768,0,11,979.5254072403617,-34.27453873535501,28.00233644859813,893.0,230
2C_cost0.0020_delay0,2C,0.002,0.004,0,True,248.7771595521464,206.88269018392168,206.88269018392168,2.885136755082307,0,11,970.3367299806963,-41.084754089150785,28.83566978193147,958.0,234
2C_cost0.0020_delay1,2C,0.002,0.004,1,True,237.95103043245044,206.79690823300817,206.79690823300817,0.2853393237929769,0,11,936.8233127083525,-40.87264826052931,28.62733644859813,938.4000000000001,234
2C_cost0.0020_delay2,2C,0.002,0.004,2,True,217.6653582062925,181.74656443023568,181.74656443023568,1.8092326142478798,0,11,795.0112331312308,-37.97672666991856,28.218457943925234,942.0,232
2C_cost0.0020_delay3,2C,0.002,0.004,3,True,261.00348687145475,169.2569557731445,169.2569557731445,1.2757742392401017,0,11,872.0269989849826,-36.15320479286178,27.996495327102807,916.8000000000001,228
2C_cost0.0025_delay0,2C,0.0025,0.005,0,False,212.11967617696516,173.6783245327158,173.6783245327158,-0.7290966022250767,1,11,754.2039002980554,-42.940196550528,28.765576323987542,942.2,234
2C_cost0.0025_delay1,2C,0.0025,0.005,1,True,223.57320854456736,171.93924863981408,171.93924863981408,0.7823361045603328,0,11,779.9225521158359,-42.734770659410735,28.77725856697819,950.4000000000001,234
2C_cost0.0025_delay2,2C,0.0025,0.005,2,False,226.8289090952534,136.53828266480775,136.53828266480775,-2.77842458419042,1,11,673.0754888260368,-39.93005153771898,28.80841121495327,989.6000000000001,234
2C_cost0.0025_delay3,2C,0.0025,0.005,3,True,191.62250527929467,146.88002624472594,146.88002624472594,3.9323814039492255,0,11,619.9577175690512,-59.67934992809643,30.570482866043612,1106.8,248
4_cost0.0010_delay0,4,0.001,0.002,0,True,290.6896967934816,263.1667661661156,263.1667661661156,4.558896263438661,0,10,1318.8551375890918,-28.78913036963924,29.345794392523366,781.8,226
4_cost0.0010_delay1,4,0.001,0.002,1,True,299.60760379318083,276.5423281186815,276.5423281186815,4.27157133268552,0,10,1404.6917746621232,-32.073843367093424,29.39057632398754,794.0,228
4_cost0.0010_delay2,4,0.001,0.002,2,True,378.097528098871,273.3059898124417,273.3059898124417,3.9785548258994607,0,10,1684.7667095383176,-32.35387106439775,29.39057632398754,769.8,226
4_cost0.0010_delay3,4,0.001,0.002,3,False,306.8710464193532,223.8588069225755,223.8588069225755,-0.08025448316342221,1,10,1217.687716647121,-36.20313950096708,30.025311526479754,892.4,234
4_cost0.0015_delay0,4,0.0015,0.003,0,True,285.13322273895835,221.25994621826354,221.25994621826354,1.0038793802501278,0,10,1137.2787842398375,-30.753207452624487,29.410046728971963,797.8,228
4_cost0.0015_delay1,4,0.0015,0.003,1,True,224.1717494583209,226.73801848308756,224.1717494583209,2.464606207111175,0,10,959.1923506620734,-34.01541307885706,29.413940809968846,794.0,228
