candidate_id,family,rule,leverage,lookback,threshold_bps,hard_pass_original_2025_2026_ytd,hard_pass_complete_years,non_positive_months,total_eval_return_pct,return_2023_pct,return_2024_pct,return_2025_pct,return_2026_ytd_pct,min_complete_year_return_pct,min_target_year_return_pct,losing_eval_months,min_monthly_return_pct,min_monthly_orders,orders,turnover,cost_log,worst_selected_month_drawdown_pct,selected_candidate_count,symbol
single_symbol_symbol_momentum_lev1p0_symbolLINKUSDT_lookback1536_threshold_bps20,single_symbol,symbol_momentum,1.0,1536,20,False,False,"['2023-03', '2023-04', '2023-06', '2023-11', '2023-12', '2024-01', '2024-02', '2024-03', '2024-04', '2024-07', '2024-10', '2024-12', '2025-03', '2025-06', '2025-12', '2026-02', '2026-03', '2026-04']",-55.17860935739507,27.049793233837693,-65.57171804164274,10.101767574839293,-6.931712640507815,-65.57171804164274,-6.931712640507815,18,-37.51381881654352,2,986,1180.0,1.18,-99.14748670013638,1,LINKUSDT
single_symbol_symbol_momentum_lev2p0_symbolLINKUSDT_lookback1536_threshold_bps20,single_symbol,symbol_momentum,2.0,1536,20,False,False,"['2023-03', '2023-04', '2023-06', '2023-11', '2023-12', '2024-01', '2024-02', '2024-03', '2024-04', '2024-07', '2024-10', '2024-12', '2025-03', '2025-06', '2025-12', '2026-02', '2026-03', '2026-04']",-79.91042940863007,61.41649960760909,-88.14693401395853,21.223992231039325,-13.382938879709883,-88.14693401395853,-13.382938879709883,18,-60.954771611082506,2,986,2360.0,2.36,-99.99273221073555,1,LINKUSDT
single_symbol_symbol_momentum_lev4p0_symbolLINKUSDT_lookback1536_threshold_bps20,single_symbol,symbol_momentum,4.0,1536,20,False,False,"['2023-03', '2023-04', '2023-06', '2023-11', '2023-12', '2024-01', '2024-02', '2024-03', '2024-04', '2024-07', '2024-10', '2024-12', '2025-03', '2025-06', '2025-12', '2026-02', '2026-03', '2026-04']",-95.96409153454366,160.55286345573262,-98.59504826730546,46.95256292431085,-24.97484722883926,-98.59504826730546,-24.97484722883926,18,-84.75470140057271,2,986,4720.0,4.72,-99.99999947179239,1,LINKUSDT
single_symbol_symbol_momentum_lev1p0_symbolLINKUSDT_lookback1536_threshold_bps50,single_symbol,symbol_momentum,1.0,1536,50,False,False,"['2023-03', '2023-04', '2023-06', '2023-11', '2023-12', '2024-01', '2024-02', '2024-03', '2024-04', '2024-07', '2024-10', '2024-12', '2025-03', '2025-06', '2025-12', '2026-02', '2026-03', '2026-04', '2026-05']",-59.371624943595,24.048335933794164,-65.32625947683614,5.97132323551719,-10.864755921635139,-65.32625947683614,-10.864755921635139,19,-44.46972402639751,1,1118,1174.0,1.1740000000000002,-99.197799630865,1,LINKUSDT
single_symbol_symbol_momentum_lev2p0_symbolLINKUSDT_lookback1536_threshold_bps50,single_symbol,symbol_momentum,2.0,1536,50,False,False,"['2023-03', '2023-04', '2023-06', '2023-11', '2023-12', '2024-01', '2024-02', '2024-03', '2024-04', '2024-07', '2024-10', '2024-12', '2025-03', '2025-06', '2025-12', '2026-02', '2026-03', '2026-04', '2026-05']",-83.49335140276088,53.8798964794345,-87.97731718132304,12.299213482864646,-20.549082630903225,-87.97731718132304,-20.549082630903225,19,-69.16388450295545,1,1118,2348.0,2.3480000000000003,-99.9935647456776,1,LINKUSDT
single_symbol_symbol_momentum_lev4p0_symbolLINKUSDT_lookback1536_threshold_bps50,single_symbol,symbol_momentum,4.0,1536,50,False,False,"['2023-03', '2023-04', '2023-06', '2023-11', '2023-12', '2024-01', '2024-02', '2024-03', '2024-04', '2024-07', '2024-10', '2024-12', '2025-03', '2025-06', '2025-12', '2026-02', '2026-03', '2026-04', '2026-05']",-97.27530552087264,136.79022540521473,-98.5545509784149,26.111133488700112,-36.87551729208957,-98.5545509784149,-36.87551729208957,19,-90.4913398105293,1,1118,4696.0,4.696000000000001,-99.99999958587502,1,LINKUSDT
single_symbol_symbol_momentum_lev1p0_symbolBTCUSDT_lookback1536_threshold_bps100,single_symbol,symbol_momentum,1.0,1536,100,False,False,"['2023-02', '2023-04', '2023-05', '2023-09', '2023-12', '2024-01', '2024-03', '2024-07', '2024-08', '2024-12', '2025-03', '2025-05', '2025-06', '2025-07', '2025-08', '2025-09', '2025-10', '2025-12', '2026-02', '2026-03']",-52.3579174928961,20.512453474211647,-21.17118110015185,-46.85449828776225,-5.635796641849334,-46.85449828776225,-46.85449828776225,20,-21.885143243867276,1,1157,1160.0,1.1600000000000001,-83.03789796441599,1,BTCUSDT
single_symbol_symbol_momentum_lev1p0_symbolBTCUSDT_lookback1536_threshold_bps50,single_symbol,symbol_momentum,1.0,1536,50,False,False,"['2023-02', '2023-04', '2023-05', '2023-11', '2023-12', '2024-01', '2024-03', '2024-07', '2024-08', '2024-12', '2025-03', '2025-05', '2025-06', '2025-07', '2025-08', '2025-09', '2025-10', '2025-12', '2026-02', '2026-03']",-45.77526826810728,26.607882527838832,-14.077741324336468,-49.89431480059583,-0.5181217835161678,-49.89431480059583,-49.89431480059583,20,-22.55334200758502,1,1105,1114.0,1.114,-78.63563460818183,1,BTCUSDT
single_symbol_symbol_momentum_lev1p0_symbolDOGEUSDT_lookback1536_threshold_bps50,single_symbol,symbol_momentum,1.0,1536,50,False,False,"['2023-02', '2023-03', '2023-05', '2023-06', '2023-09', '2023-11', '2023-12', '2024-01', '2024-05', '2024-07', '2024-08', '2025-01', '2025-03', '2025-04', '2025-07', '2025-08', '2025-09', '2025-10', '2026-02', '2026-03']",2.2229606929367707,-45.56543245365201,116.09177516226099,-15.583371832507753,2.9455172004092978,-45.56543245365201,-15.583371832507753,20,-23.35842601106961,2,1089,1164.0,1.164,-97.26306159441732,1,DOGEUSDT
single_symbol_symbol_momentum_lev1p0_symbolDOGEUSDT_lookback1536_threshold_bps20,single_symbol,symbol_momentum,1.0,1536,20,False,False,"['2023-02', '2023-03', '2023-05', '2023-06', '2023-09', '2023-11', '2023-12', '2024-01', '2024-05', '2024-07', '2024-08', '2025-01', '2025-03', '2025-04', '2025-07', '2025-08', '2025-09', '2025-10', '2026-02', '2026-03']",-8.656526283474486,-45.27079738828975,104.74337286534481,-14.422667407326706,-4.744556413760503,-45.27079738828975,-14.422667407326706,20,-26.752099687195873,2,957,1190.0,1.19,-96.9278622851022,1,DOGEUSDT
single_symbol_symbol_momentum_lev2p0_symbolBTCUSDT_lookback1536_threshold_bps100,single_symbol,symbol_momentum,2.0,1536,100,False,False,"['2023-02', '2023-04', '2023-05', '2023-09', '2023-12', '2024-01', '2024-03', '2024-07', '2024-08', '2024-12', '2025-03', '2025-05', '2025-06', '2025-07', '2025-08', '2025-09', '2025-10', '2025-12', '2026-02', '2026-03']",-77.30231974386305,45.232514423740255,-37.860173108549425,-71.75555647754534,-10.953971245815863,-71.75555647754534,-71.75555647754534,20,-38.98069153968867,1,1157,2320.0,2.3200000000000003,-97.12287094534436,1,BTCUSDT
single_symbol_symbol_momentum_lev2p0_symbolBTCUSDT_lookback1536_threshold_bps50,single_symbol,symbol_momentum,2.0,1536,50,False,False,"['2023-02', '2023-04', '2023-05', '2023-11', '2023-12', '2024-01', '2024-03', '2024-07', '2024-08', '2024-12', '2025-03', '2025-05', '2025-06', '2025-07', '2025-08', '2025-09', '2025-10', '2025-12', '2026-02', '2026-03']",-70.59678468604267,60.295559181830406,-26.17365464072362,-74.89420310698209,-1.0335590652067905,-74.89420310698209,-74.89420310698209,20,-40.02015165805904,1,1105,2228.0,2.228,-95.43563891404882,1,BTCUSDT
single_symbol_symbol_momentum_lev2p0_symbolDOGEUSDT_lookback1536_threshold_bps50,single_symbol,symbol_momentum,2.0,1536,50,False,False,"['2023-02', '2023-03', '2023-05', '2023-06', '2023-09', '2023-11', '2023-12', '2024-01', '2024-05', '2024-07', '2024-08', '2025-01', '2025-03', '2025-04', '2025-07', '2025-08', '2025-09', '2025-10', '2026-02', '2026-03']",4.495336928296956,-70.3687785604208,366.95655292777155,-28.738328888313546,5.977795116597662,-70.3687785604208,-28.738328888313546,20,-41.260691364993086,2,1089,2328.0,2.328,-99.92509168164047,1,DOGEUSDT
single_symbol_symbol_momentum_lev2p0_symbolDOGEUSDT_lookback1536_threshold_bps20,single_symbol,symbol_momentum,2.0,1536,20,False,False,"['2023-02', '2023-03', '2023-05', '2023-06', '2023-09', '2023-11', '2023-12', '2024-01', '2024-05', '2024-07', '2024-08', '2025-01', '2025-03', '2025-04', '2025-07', '2025-08', '2025-09', '2025-10', '2026-02', '2026-03']",-16.563698093984115,-70.04714381486367,319.1984873227762,-26.765201463229758,-9.264004671887449,-70.04714381486367,-26.765201463229758,20,-46.347450997655095,2,957,2380.0,2.38,-99.90561969860703,1,DOGEUSDT
single_symbol_symbol_momentum_lev4p0_symbolBTCUSDT_lookback1536_threshold_bps100,single_symbol,symbol_momentum,4.0,1536,100,False,False,"['2023-02', '2023-04', '2023-05', '2023-09', '2023-12', '2024-01', '2024-03', '2024-07', '2024-08', '2024-12', '2025-03', '2025-05', '2025-06', '2025-07', '2025-08', '2025-09', '2025-10', '2025-12', '2026-02', '2026-03']",-94.84815310990172,110.9248324584192,-61.386419139005554,-92.02251410106868,-20.70804763109012,-92.02251410106868,-92.02251410106868,20,-62.76643995025377,1,1157,4640.0,4.640000000000001,-99.91722128402857,1,BTCUSDT
single_symbol_symbol_momentum_lev4p0_symbolBTCUSDT_lookback1536_threshold_bps50,single_symbol,symbol_momentum,4.0,1536,50,False,False,"['2023-02', '2023-04', '2023-05', '2023-11', '2023-12', '2024-01', '2024-03', '2024-07', '2024-08', '2024-12', '2025-03', '2025-05', '2025-06', '2025-07', '2025-08', '2025-09', '2025-10', '2025-12', '2026-02', '2026-03']",-91.35450929201066,156.94666293415693,-45.49670730892852,-93.69698962366533,-2.056435687000868,-93.69698962366533,-93.69698962366533,20,-64.02417792877763,1,1105,4456.0,4.456,-99.79166607877055,1,BTCUSDT
