selector_id,month,log_return,cost_log,turnover,orders,exposure_pct,max_drawdown_pct,return_pct
all_multisymbol,2023-01,0.0822616340847346,0.001,1.0,1,0.03360215053763441,-5.253238612620137,8.573983922113836
all_multisymbol,2023-02,-0.04097757805757527,0.014,14.0,14,0.5208333333333333,-10.903709453134248,-4.014934857743613
all_multisymbol,2023-03,0.12997557336589435,0.002,2.0,2,0.06720430107526883,-10.212879937306251,13.880056592013744
all_multisymbol,2023-04,-0.16080339176828073,0.034,34.0,34,1.1805555555555556,-18.586272490198752,-14.85405414097325
all_multisymbol,2023-05,-0.020524344524852016,0.021,21.0,21,0.7056451612903225,-18.44702193271105,-2.0315153777878514
all_multisymbol,2023-06,0.03796139670782666,0.021,21.0,21,0.7291666666666666,-23.57637885798156,3.869113520718148
all_multisymbol,2023-07,0.0054491365914836835,0.022,22.0,22,0.739247311827957,-16.941562820979982,0.546401014000697
all_multisymbol,2023-08,0.09711887617743095,0.006,6.0,6,0.20161290322580644,-14.98180338921189,10.199136635609296
all_multisymbol,2023-09,-0.03156909953718408,0.028,28.0,28,0.9722222222222222,-10.914199668661539,-3.1075998059597265
all_multisymbol,2023-10,0.19141641906863682,0.008,8.0,8,0.2688172043010753,-10.667669275272452,21.096361544329124
all_multisymbol,2023-11,-0.029016370681025444,0.042,42.0,42,1.4583333333333333,-9.022238827157047,-2.8599438152309142
all_multisymbol,2023-12,-0.09818627035477195,0.089,89.0,88,2.956989247311828,-16.651395885570352,-9.351996233117388
all_multisymbol,2024-01,-0.10194765555720342,0.056,56.0,56,1.881720430107527,-24.978642856519283,-9.692317851526688
all_multisymbol,2024-02,0.15925719371418698,0.001,1.0,1,0.035919540229885055,-27.00548407961909,17.263950340909197
all_multisymbol,2024-03,-0.24698991988212826,0.07200000000000001,72.0,72,2.4193548387096775,-32.243866284370846,-21.885143243867276
all_multisymbol,2024-04,0.03327284789726043,0.02,20.0,19,0.6597222222222222,-34.89508611238826,3.383257980798793
all_multisymbol,2024-05,0.03349784459897508,0.002,2.0,2,0.06720430107526883,-28.919190671636454,3.406521489865244
all_multisymbol,2024-06,0.058526148935893384,0.002,2.0,2,0.06944444444444445,-26.86117920029909,6.027271033524295
all_multisymbol,2024-07,-0.012170892675914199,0.005,5.0,5,0.16801075268817203,-24.35745674565316,-1.2097126929922708
all_multisymbol,2024-08,-0.08456527240857156,0.053,53.0,53,1.7809139784946237,-29.206388080259572,-8.10883261589328
all_multisymbol,2024-09,0.07170320840115281,0.006,6.0,6,0.20833333333333334,-29.11575294662598,7.433644271200124
all_multisymbol,2024-10,0.03433934299446603,0.002,2.0,2,0.06720430107526883,-26.498468927502085,3.4935745341438063
all_multisymbol,2024-11,0.06152343808021671,0.002,2.0,2,0.06944444444444445,-22.445478841011337,6.345542159017881
all_multisymbol,2024-12,-0.24433781800331927,0.082,82.0,81,2.721774193548387,-36.56967830796178,-21.677699726420574
all_multisymbol,2025-01,0.0024399163802884616,0.012,12.0,12,0.4032258064516129,-37.11465319045444,0.24428953986190827
all_multisymbol,2025-02,0.05545601744860082,0.046,46.0,46,1.711309523809524,-38.27795862958586,5.702252550246345
all_multisymbol,2025-03,-0.17761725357470012,0.056,56.0,56,1.881720430107527,-42.27894729676051,-16.273717847877034
all_multisymbol,2025-04,0.08466067304993556,0.024,24.0,24,0.8333333333333334,-42.71015546501163,8.834769832853828
all_multisymbol,2025-05,-0.008155386262036126,0.021,21.0,21,0.7056451612903225,-37.617856098458994,-0.8122221318375811
all_multisymbol,2025-06,-0.1451560477158766,0.079,79.0,79,2.7430555555555554,-45.74211117418605,-13.511268111079755
all_multisymbol,2025-07,-0.046540095249935756,0.04,40.0,40,1.3440860215053763,-48.317677493577136,-4.547371216738294
all_multisymbol,2025-08,-0.11828484783758221,0.07200000000000001,72.0,72,2.4193548387096775,-56.7911086538616,-11.155705448402154
all_multisymbol,2025-09,-0.13221238424085238,0.034,34.0,34,1.1805555555555556,-59.770813699851,-12.384510617440814
all_multisymbol,2025-10,-0.07768465211688029,0.034,34.0,34,1.14247311827957,-62.616845828405054,-7.474384188654026
all_multisymbol,2025-11,0.0412045044115743,0.002,2.0,2,0.06944444444444445,-63.243655380062094,4.206519068495451
all_multisymbol,2025-12,-0.11024716289862739,0.052000000000000005,52.0,52,1.747311827956989,-65.16055780894976,-10.43872543042662
all_multisymbol,2026-01,0.049254950956747194,0.02,20.0,20,0.6720430107526881,-67.97259549588262,5.048813955830189
all_multisymbol,2026-02,-0.06338539077003727,0.036000000000000004,36.0,36,1.3392857142857142,-65.93879336106971,-6.141831673938947
all_multisymbol,2026-03,-0.09325915923080806,0.044,44.0,44,1.478494623655914,-69.49259267228072,-8.904261331368124
all_multisymbol,2026-04,0.017855459647842888,0.004,4.0,4,0.1388888888888889,-69.0822449294904,1.8015821389806952
all_multisymbol,2026-05,0.03152575292996227,0.012,12.0,12,0.4032258064516129,-68.92591981636853,3.202795299701422
single_symbol_only,2023-01,0.0822616340847346,0.001,1.0,1,0.03360215053763441,-5.253238612620137,8.573983922113836
single_symbol_only,2023-02,-0.04097757805757527,0.014,14.0,14,0.5208333333333333,-10.903709453134248,-4.014934857743613
single_symbol_only,2023-03,0.12997557336589435,0.002,2.0,2,0.06720430107526883,-10.212879937306251,13.880056592013744
single_symbol_only,2023-04,-0.16080339176828073,0.034,34.0,34,1.1805555555555556,-18.586272490198752,-14.85405414097325
