symbol,ok_months,first_ok_month,last_ok_month,missing_months_after_first_ok,first_timestamp,last_timestamp,valid_15m_rows,download_size_mb
BTCUSDT,77,2020-01,2026-05,[],2020-01-01T00:00:00+00:00,2026-05-31T23:45:00+00:00,224928,10.462
ETHUSDT,77,2020-01,2026-05,[],2020-01-01T00:00:00+00:00,2026-05-31T23:45:00+00:00,224928,10.447
SOLUSDT,69,2020-09,2026-05,[],2020-09-14T07:00:00+00:00,2026-05-31T23:45:00+00:00,199748,8.073
BNBUSDT,76,2020-02,2026-05,[],2020-02-10T08:00:00+00:00,2026-05-31T23:45:00+00:00,221056,9.242
DOGEUSDT,71,2020-07,2026-05,[],2020-07-10T09:00:00+00:00,2026-05-31T23:45:00+00:00,206556,8.994
XRPUSDT,77,2020-01,2026-05,[],2020-01-06T08:15:00+00:00,2026-05-31T23:45:00+00:00,223935,9.511
ADAUSDT,77,2020-01,2026-05,[],2020-01-31T08:00:00+00:00,2026-05-31T23:45:00+00:00,222016,8.968
AVAXUSDT,69,2020-09,2026-05,[],2020-09-23T07:00:00+00:00,2026-05-31T23:45:00+00:00,199364,7.584
LINKUSDT,77,2020-01,2026-05,[],2020-01-17T08:00:00+00:00,2026-05-31T23:45:00+00:00,223360,9.442
