symbol,month,url,ok,http_status,content_length,error,rows
BTCUSDT,2023-03,https://data.binance.vision/data/futures/um/monthly/klines/BTCUSDT/15m/BTCUSDT-15m-2023-03.zip,True,200.0,144941.0,,2976
BTCUSDT,2023-04,https://data.binance.vision/data/futures/um/monthly/klines/BTCUSDT/15m/BTCUSDT-15m-2023-04.zip,True,200.0,138552.0,,2880
BTCUSDT,2023-05,https://data.binance.vision/data/futures/um/monthly/klines/BTCUSDT/15m/BTCUSDT-15m-2023-05.zip,True,200.0,142660.0,,2976
BTCUSDT,2023-06,https://data.binance.vision/data/futures/um/monthly/klines/BTCUSDT/15m/BTCUSDT-15m-2023-06.zip,True,200.0,138330.0,,2880
BTCUSDT,2023-07,https://data.binance.vision/data/futures/um/monthly/klines/BTCUSDT/15m/BTCUSDT-15m-2023-07.zip,True,200.0,140229.0,,2976
BTCUSDT,2023-08,https://data.binance.vision/data/futures/um/monthly/klines/BTCUSDT/15m/BTCUSDT-15m-2023-08.zip,True,200.0,138936.0,,2976
BTCUSDT,2023-09,https://data.binance.vision/data/futures/um/monthly/klines/BTCUSDT/15m/BTCUSDT-15m-2023-09.zip,True,200.0,134048.0,,2880
BTCUSDT,2023-10,https://data.binance.vision/data/futures/um/monthly/klines/BTCUSDT/15m/BTCUSDT-15m-2023-10.zip,True,200.0,140804.0,,2976
BTCUSDT,2023-11,https://data.binance.vision/data/futures/um/monthly/klines/BTCUSDT/15m/BTCUSDT-15m-2023-11.zip,True,200.0,136797.0,,2880
BTCUSDT,2023-12,https://data.binance.vision/data/futures/um/monthly/klines/BTCUSDT/15m/BTCUSDT-15m-2023-12.zip,True,200.0,143554.0,,2976
BTCUSDT,2024-01,https://data.binance.vision/data/futures/um/monthly/klines/BTCUSDT/15m/BTCUSDT-15m-2024-01.zip,True,200.0,145000.0,,2976
BTCUSDT,2024-02,https://data.binance.vision/data/futures/um/monthly/klines/BTCUSDT/15m/BTCUSDT-15m-2024-02.zip,True,200.0,135641.0,,2784
BTCUSDT,2024-03,https://data.binance.vision/data/futures/um/monthly/klines/BTCUSDT/15m/BTCUSDT-15m-2024-03.zip,True,200.0,147580.0,,2976
BTCUSDT,2024-04,https://data.binance.vision/data/futures/um/monthly/klines/BTCUSDT/15m/BTCUSDT-15m-2024-04.zip,True,200.0,141412.0,,2880
BTCUSDT,2024-05,https://data.binance.vision/data/futures/um/monthly/klines/BTCUSDT/15m/BTCUSDT-15m-2024-05.zip,True,200.0,144408.0,,2976
BTCUSDT,2024-06,https://data.binance.vision/data/futures/um/monthly/klines/BTCUSDT/15m/BTCUSDT-15m-2024-06.zip,True,200.0,137470.0,,2880
BTCUSDT,2024-07,https://data.binance.vision/data/futures/um/monthly/klines/BTCUSDT/15m/BTCUSDT-15m-2024-07.zip,True,200.0,145340.0,,2976
BTCUSDT,2024-08,https://data.binance.vision/data/futures/um/monthly/klines/BTCUSDT/15m/BTCUSDT-15m-2024-08.zip,True,200.0,145551.0,,2976
BTCUSDT,2024-09,https://data.binance.vision/data/futures/um/monthly/klines/BTCUSDT/15m/BTCUSDT-15m-2024-09.zip,True,200.0,139696.0,,2880
BTCUSDT,2024-10,https://data.binance.vision/data/futures/um/monthly/klines/BTCUSDT/15m/BTCUSDT-15m-2024-10.zip,True,200.0,143532.0,,2976
BTCUSDT,2024-11,https://data.binance.vision/data/futures/um/monthly/klines/BTCUSDT/15m/BTCUSDT-15m-2024-11.zip,True,200.0,141946.0,,2880
BTCUSDT,2024-12,https://data.binance.vision/data/futures/um/monthly/klines/BTCUSDT/15m/BTCUSDT-15m-2024-12.zip,True,200.0,146336.0,,2976
BTCUSDT,2025-01,https://data.binance.vision/data/futures/um/monthly/klines/BTCUSDT/15m/BTCUSDT-15m-2025-01.zip,True,200.0,145675.0,,2976
BTCUSDT,2025-02,https://data.binance.vision/data/futures/um/monthly/klines/BTCUSDT/15m/BTCUSDT-15m-2025-02.zip,True,200.0,130972.0,,2688
BTCUSDT,2025-03,https://data.binance.vision/data/futures/um/monthly/klines/BTCUSDT/15m/BTCUSDT-15m-2025-03.zip,True,200.0,145535.0,,2976
BTCUSDT,2025-04,https://data.binance.vision/data/futures/um/monthly/klines/BTCUSDT/15m/BTCUSDT-15m-2025-04.zip,True,200.0,140475.0,,2880
BTCUSDT,2025-05,https://data.binance.vision/data/futures/um/monthly/klines/BTCUSDT/15m/BTCUSDT-15m-2025-05.zip,True,200.0,145447.0,,2976
BTCUSDT,2025-06,https://data.binance.vision/data/futures/um/monthly/klines/BTCUSDT/15m/BTCUSDT-15m-2025-06.zip,True,200.0,139881.0,,2880
BTCUSDT,2025-07,https://data.binance.vision/data/futures/um/monthly/klines/BTCUSDT/15m/BTCUSDT-15m-2025-07.zip,True,200.0,143938.0,,2976
BTCUSDT,2025-08,https://data.binance.vision/data/futures/um/monthly/klines/BTCUSDT/15m/BTCUSDT-15m-2025-08.zip,True,200.0,144410.0,,2976
BTCUSDT,2025-09,https://data.binance.vision/data/futures/um/monthly/klines/BTCUSDT/15m/BTCUSDT-15m-2025-09.zip,True,200.0,138388.0,,2880
BTCUSDT,2025-10,https://data.binance.vision/data/futures/um/monthly/klines/BTCUSDT/15m/BTCUSDT-15m-2025-10.zip,True,200.0,146246.0,,2976
BTCUSDT,2025-11,https://data.binance.vision/data/futures/um/monthly/klines/BTCUSDT/15m/BTCUSDT-15m-2025-11.zip,True,200.0,140773.0,,2880
BTCUSDT,2025-12,https://data.binance.vision/data/futures/um/monthly/klines/BTCUSDT/15m/BTCUSDT-15m-2025-12.zip,True,200.0,143001.0,,2976
BTCUSDT,2026-01,https://data.binance.vision/data/futures/um/monthly/klines/BTCUSDT/15m/BTCUSDT-15m-2026-01.zip,True,200.0,142704.0,,2976
BTCUSDT,2026-02,https://data.binance.vision/data/futures/um/monthly/klines/BTCUSDT/15m/BTCUSDT-15m-2026-02.zip,True,200.0,131955.0,,2688
BTCUSDT,2026-03,https://data.binance.vision/data/futures/um/monthly/klines/BTCUSDT/15m/BTCUSDT-15m-2026-03.zip,True,200.0,145250.0,,2976
BTCUSDT,2026-04,https://data.binance.vision/data/futures/um/monthly/klines/BTCUSDT/15m/BTCUSDT-15m-2026-04.zip,True,200.0,138462.0,,2880
BTCUSDT,2026-05,https://data.binance.vision/data/futures/um/monthly/klines/BTCUSDT/15m/BTCUSDT-15m-2026-05.zip,True,200.0,142000.0,,2976
ETHUSDT,2020-01,https://data.binance.vision/data/futures/um/monthly/klines/ETHUSDT/15m/ETHUSDT-15m-2020-01.zip,True,200.0,127343.0,,2976
ETHUSDT,2020-02,https://data.binance.vision/data/futures/um/monthly/klines/ETHUSDT/15m/ETHUSDT-15m-2020-02.zip,True,200.0,124867.0,,2784
