scenario_id,candidate,cost_per_side,round_trip_cost,extra_delay_bars,month_return_pct,gross_return_pct,cost_log,cost_pct_rough,turnover,orders,bars,active_bars,large_active_bars,against_strong_trend_bars,worst_bar_log_return,worst_bar_time
1F_base,1F,0.001,0.002,0,10.795358787798182,13.067488663127612,-0.020300000000000002,-2.0095342190706966,20.3,13,2688,639,88,0,-0.020173005851333414,2025-02-01 04:30:00+00:00
1F_04pct_delay1_fail,1F,0.002,0.004,1,-88.31622643491504,-57.62320162094847,-1.2884000000000002,-72.42884311227084,644.2,90,2688,2627,2161,1,-0.18386018482295619,2025-02-12 13:30:00+00:00
1F_04pct_delay2_fail,1F,0.002,0.004,2,-90.03728972251442,-62.67552973623904,-1.3208000000000002,-73.30783208152167,660.4,94,2688,2627,2158,0,-0.18386018482295619,2025-02-12 13:30:00+00:00
1G_base,1G,0.001,0.002,0,8.69739145034163,12.243183210604514,-0.032100000000000004,-3.159026373663887,32.1,13,2688,641,91,0,-0.01804628550677117,2025-02-01 22:30:00+00:00
1G_03pct_delay1_fail,1G,0.0015,0.003,1,-79.2352882204787,-53.5881415382208,-0.8043000000000001,-55.25990023299471,536.2,86,2688,2631,2168,1,-0.15737766172008666,2025-02-12 13:30:00+00:00
1G_04pct_delay0_fail,1G,0.002,0.004,0,-81.07966404668375,-44.72961011637962,-1.072,-65.7676814056212,536.0,84,2688,2630,2169,1,-0.16087766172008666,2025-02-12 13:30:00+00:00
