scenario_id,candidate,cost_per_side,round_trip_cost,extra_delay_bars,timestamp,date,guard_reason,trend_alignment,from_active_position,to_position,turnover,order_count,entry_cost_log,next_1bar_target_log_return,next_3bar_target_log_return,next_8bar_target_log_return,close,natr_30,trend_close_ema_gap_bps_60,trend_adx_30
1F_base,1F,0.001,0.002,0,2025-02-01 00:00:00+00:00,2025-02-01,weak_new_order_small,flat,0.0,-0.1,0.1,1,-0.0001,0.00024738799556587313,2.5179796567087465e-05,-0.00015201757711214015,102476.0,0.365251777830528,-103.75097625791696,7.559054079439525
1F_base,1F,0.001,0.002,0,2025-02-01 00:15:00+00:00,2025-02-01,main,no_strong_trend,-0.1,-8.0,7.9,0,-0.0079,-0.013996365688853984,-0.02562832556641581,-0.032965711805715614,102222.8,0.3640664295257921,-90.54241224955462,7.327228214851086
1F_base,1F,0.001,0.002,0,2025-02-01 22:15:00+00:00,2025-02-01,main,no_strong_trend,-8.0,-0.5,7.5,0,-0.0075,-0.0008247346790550836,0.0017382773455851819,-0.0021601795043642014,100676.6,0.2543476557868928,-145.27579805550417,6.552643218557702
1F_base,1F,0.001,0.002,0,2025-02-03 15:15:00+00:00,2025-02-03,main,no_strong_trend,-0.5,0.5,1.0,2,-0.001,0.001507542914372273,0.0007624664721586072,0.0010265170135053125,98290.0,0.751800222546868,-658.5275679532821,12.237427431398814
1F_base,1F,0.001,0.002,0,2025-02-04 10:45:00+00:00,2025-02-04,weak_new_order_small,no_strong_trend,0.5,-0.1,0.6,2,-0.0006,-0.0004872556129223327,-0.00047808405181033465,-0.0005896981767401499,98742.0,0.5021295509291208,-293.071803046896,12.19906259748132
1F_base,1F,0.001,0.002,0,2025-02-04 11:00:00+00:00,2025-02-04,main,no_strong_trend,-0.1,-0.5,0.4,0,-0.0004,-0.0003067863347121502,0.0015155327091562754,-0.001064130070444591,99224.3,0.5060343106199637,-293.071803046896,12.19906259748132
1F_base,1F,0.001,0.002,0,2025-02-05 13:15:00+00:00,2025-02-05,weak_new_order_small,no_strong_trend,-0.5,0.1,0.6,2,-0.0006,0.00017500874177756032,4.492408718057562e-05,8.952329194080733e-05,98366.1,0.386904818941463,-256.617116198008,13.246183469622386
1F_base,1F,0.001,0.002,0,2025-02-05 13:30:00+00:00,2025-02-05,main,no_strong_trend,0.1,0.5,0.4,0,-0.0004,-5.581891942352257e-05,0.0007990494231302492,-0.002944564745336109,98538.4,0.3820409861210986,-256.617116198008,13.246183469622386
1F_base,1F,0.001,0.002,0,2025-02-05 18:45:00+00:00,2025-02-05,weak_new_order_small,no_strong_trend,0.5,-0.1,0.6,2,-0.0006,-9.490736906094811e-05,-0.0005100746456362159,-0.0006085089111744325,96680.0,0.4616056695446688,-258.01571994712447,13.318362079032976
1F_base,1F,0.001,0.002,0,2025-02-05 19:00:00+00:00,2025-02-05,main,no_strong_trend,-0.1,-0.5,0.4,0,-0.0004,-0.0018066601431447893,-0.002860920463835015,-0.0017098653878822034,96771.8,0.4624325984139246,-258.01571994712447,13.318362079032976
1F_base,1F,0.001,0.002,0,2025-02-06 09:30:00+00:00,2025-02-06,weak_new_order_small,no_strong_trend,-0.5,0.1,0.6,2,-0.0006,0.00013329849716043897,0.00039966717230850436,0.000501407074854221,98435.1,0.3225625134629296,-206.94938433230448,14.048696177469484
1F_base,1F,0.001,0.002,0,2025-02-06 09:45:00+00:00,2025-02-06,post_lock_flat,no_strong_trend,0.1,0.0,0.1,1,-0.0001,0.0,0.0,0.0,98566.4,0.3203501141701664,-206.94938433230448,14.048696177469484
1F_base,1F,0.001,0.002,0,2025-02-27 17:45:00+00:00,2025-02-27,post_lock_runner,flat,0.0,-0.1,0.1,1,-0.0001,-0.0003517585041930005,-0.00018287998462316324,0.0005743192724786183,84568.3,0.5968645415682649,-791.9055386640572,30.65042924367949
1F_04pct_delay1_fail,1F,0.002,0.004,1,2025-02-01 00:00:00+00:00,2025-02-01,weak_new_order_small,flat,0.0,-0.1,0.1,1,-0.0002,0.00024738799556587313,2.5179796567087465e-05,-0.00015201757711214015,102476.0,0.365251777830528,-103.75097625791696,7.559054079439525
1F_04pct_delay1_fail,1F,0.002,0.004,1,2025-02-01 00:15:00+00:00,2025-02-01,main,no_strong_trend,-0.1,-8.0,7.9,0,-0.0158,-0.013996365688853984,-0.02562832556641581,-0.032965711805715614,102222.8,0.3640664295257921,-90.54241224955462,7.327228214851086
1F_04pct_delay1_fail,1F,0.002,0.004,1,2025-02-01 22:30:00+00:00,2025-02-01,main,no_strong_trend,-8.0,-0.5,7.5,0,-0.015,0.0011302614440120706,0.0018428887919776926,-0.001811420450575696,100842.8,0.2578497948871067,-145.27579805550417,6.552643218557702
1F_04pct_delay1_fail,1F,0.002,0.004,1,2025-02-03 15:30:00+00:00,2025-02-03,main,no_strong_trend,-0.5,0.5,1.0,2,-0.002,0.0010937769541810027,0.00033613889733796753,-0.0021611391094840116,98586.8,0.7660859507729288,-658.5275679532821,12.237427431398814
1F_04pct_delay1_fail,1F,0.002,0.004,1,2025-02-04 11:00:00+00:00,2025-02-04,weak_new_order_small,no_strong_trend,0.5,-0.1,0.6,2,-0.0012,-6.135726694243005e-05,0.0003031065418312551,-0.00021282601408891824,99224.3,0.5060343106199637,-293.071803046896,12.19906259748132
1F_04pct_delay1_fail,1F,0.002,0.004,1,2025-02-04 11:15:00+00:00,2025-02-04,main,no_strong_trend,-0.1,-0.5,0.4,0,-0.0008,0.0003526441402721403,0.000541158858246682,-0.000754326701557062,99285.2,0.496108217260379,-293.071803046896,12.19906259748132
1F_04pct_delay1_fail,1F,0.002,0.004,1,2025-02-05 13:30:00+00:00,2025-02-05,weak_new_order_small,no_strong_trend,-0.5,0.1,0.6,2,-0.0012,-1.1163783884704516e-05,0.00015980988462604984,-0.0005889129490672219,98538.4,0.3820409861210986,-256.617116198008,13.246183469622386
1F_04pct_delay1_fail,1F,0.002,0.004,1,2025-02-05 13:45:00+00:00,2025-02-05,main,no_strong_trend,0.1,0.5,0.4,0,-0.0008,-0.000594604353561401,0.0010443031503761802,-0.002360746780809997,98527.4,0.3761070584416325,-256.617116198008,13.246183469622386
1F_04pct_delay1_fail,1F,0.002,0.004,1,2025-02-05 19:00:00+00:00,2025-02-05,weak_new_order_small,no_strong_trend,0.5,-0.1,0.6,2,-0.0012,-0.0003613320286289579,-0.0005721840927670031,-0.0003419730775764407,96771.8,0.4624325984139246,-258.01571994712447,13.318362079032976
1F_04pct_delay1_fail,1F,0.002,0.004,1,2025-02-05 19:15:00+00:00,2025-02-05,main,no_strong_trend,-0.1,-0.5,0.4,0,-0.0008,-0.00026917623973155,-0.0020811818222412626,-0.0006477334611005858,97122.1,0.4590107410804152,-258.01571994712447,13.318362079032976
1F_04pct_delay1_fail,1F,0.002,0.004,1,2025-02-06 09:45:00+00:00,2025-02-06,weak_new_order_small,no_strong_trend,-0.5,0.1,0.6,2,-0.0012,0.00023610991189340071,0.00019936204688004723,0.00026333309204265023,98566.4,0.3203501141701664,-206.94938433230448,14.048696177469484
1F_04pct_delay1_fail,1F,0.002,0.004,1,2025-02-06 10:00:00+00:00,2025-02-06,main,no_strong_trend,0.1,8.0,7.9,0,-0.0158,0.002420701060373176,0.014618303739624139,-0.01984658030150399,98799.4,0.3180373454720464,-206.94938433230448,14.048696177469484
1F_04pct_delay1_fail,1F,0.002,0.004,1,2025-02-06 18:15:00+00:00,2025-02-06,weak_new_order_small,no_strong_trend,8.0,-0.1,8.1,2,-0.0162,-0.00024239539545654055,-0.0003289044495529581,-0.00023679150926376736,96131.1,0.4235492989740016,-282.9223008068027,14.083238218430663
