timestamp,date,close,strategy_log_return,gross_log_return,cost_log_return,raw_log_return,active_position,position,turnover,order_count,base_side,trend_side,trend_alignment,weak_trend,guard_reason,natr_30,trend_close_ema_gap_bps_60,trend_adx_30,rsi14,scenario_id,candidate,cost_per_side,round_trip_cost,extra_delay_bars
2025-02-01 20:30:00+00:00,2025-02-01,101265.1,-0.0073504282052994085,-0.0073504282052994085,-0.0,0.0009188035256624261,-8.0,-8.0,0.0,0,-1,0,no_strong_trend,True,main,0.223397355672819,-145.27579805550417,6.552643218557702,31.895826697691334,1F_base,1F,0.001,0.002,0
2025-02-03 14:30:00+00:00,2025-02-03,96096.7,-0.00718534257348491,-0.00718534257348491,-0.0,0.01437068514696982,-0.5,-0.5,0.0,0,-1,0,no_strong_trend,False,main,0.7048147295121918,-658.5275679532821,12.237427431398814,60.86540021119075,1F_base,1F,0.001,0.002,0
2025-02-01 14:00:00+00:00,2025-02-01,101924.9,-0.007184983867688288,-0.007184983867688288,-0.0,0.000898122983461036,-8.0,-8.0,0.0,0,-1,0,no_strong_trend,True,main,0.2103911887627385,-118.49983786950348,6.762073929781839,45.25375276708247,1F_base,1F,0.001,0.002,0
2025-02-12 13:30:00+00:00,2025-02-12,94462.4,-0.18386018482295619,-0.16786018482295617,-0.016,-0.02098252310286952,8.0,0.0,8.0,1,1,0,no_strong_trend,True,adverse_shock_cut,0.3377158176663392,-174.21319948203617,14.021475340045846,27.71840116776319,1F_04pct_delay1_fail,1F,0.002,0.004,1
2025-02-28 09:15:00+00:00,2025-02-28,80375.2,-0.14162664850266005,-0.12562664850266003,-0.016,0.015703331062832504,-8.0,0.0,8.0,1,-1,-1,with_trend,False,adverse_shock_cut,0.9209416850594768,-1416.366562286271,34.172945663780965,53.55971875803424,1F_04pct_delay1_fail,1F,0.002,0.004,1
2025-02-28 15:00:00+00:00,2025-02-28,83260.9,-0.13261688172533503,-0.11661688172533502,-0.016,0.014577110215666877,-8.0,0.0,8.0,1,-1,-1,with_trend,False,adverse_shock_cut,0.8405099446883878,-1213.0373629977064,35.15696786935816,75.27159348510158,1F_04pct_delay1_fail,1F,0.002,0.004,1
2025-02-07 15:00:00+00:00,2025-02-07,98380.0,-0.12043429312211094,-0.10443429312211094,-0.016,-0.013054286640263868,8.0,0.0,8.0,1,1,0,no_strong_trend,True,adverse_shock_cut,0.423837447480577,-190.86613103475256,14.69648999380685,53.24977569900585,1F_04pct_delay1_fail,1F,0.002,0.004,1
2025-02-25 11:30:00+00:00,2025-02-25,88798.3,-0.11653184150557115,-0.10053184150557115,-0.016,0.012566480188196394,-8.0,0.0,8.0,1,-1,0,no_strong_trend,False,adverse_shock_cut,0.7085004320933661,-715.5708877285605,17.268602862238303,43.003152748403046,1F_04pct_delay1_fail,1F,0.002,0.004,1
2025-02-28 16:30:00+00:00,2025-02-28,84632.9,-0.11552844884911372,-0.09952844884911372,-0.016,0.012441056106139214,-8.0,0.0,8.0,1,-1,-1,with_trend,False,adverse_shock_cut,0.844921057946679,-765.4796177483192,35.34751719043325,73.88989205826336,1F_04pct_delay1_fail,1F,0.002,0.004,1
2025-02-12 16:45:00+00:00,2025-02-12,96944.3,-0.10060964432865126,-0.08460964432865126,-0.016,0.010576205541081407,-8.0,0.0,8.0,1,-1,0,no_strong_trend,True,adverse_shock_cut,0.4760485947341882,-198.8511804259474,14.471443655291264,63.071755933575965,1F_04pct_delay1_fail,1F,0.002,0.004,1
2025-02-25 16:30:00+00:00,2025-02-25,87256.8,-0.0995642587100125,-0.0835642587100125,-0.016,0.010445532338751562,-8.0,0.0,8.0,1,-1,0,no_strong_trend,False,adverse_shock_cut,0.7893222219304354,-896.6382019020535,19.86495536671592,41.23302042655186,1F_04pct_delay1_fail,1F,0.002,0.004,1
2025-02-26 14:45:00+00:00,2025-02-26,87589.1,-0.09883027470933746,-0.08283027470933746,-0.016,0.010353784338667182,-8.0,0.0,8.0,1,-1,0,no_strong_trend,False,adverse_shock_cut,0.5296318644944721,-630.719951552905,24.183163488746743,45.87247311694379,1F_04pct_delay1_fail,1F,0.002,0.004,1
2025-02-26 21:45:00+00:00,2025-02-26,84585.6,-0.09733362513633813,-0.08133362513633813,-0.016,0.010166703142042266,-8.0,0.0,8.0,1,-1,0,no_strong_trend,False,adverse_shock_cut,0.8971381856280498,-1120.961133040943,26.31430824134216,44.326405993895655,1F_04pct_delay1_fail,1F,0.002,0.004,1
2025-02-18 21:00:00+00:00,2025-02-18,95120.3,-0.09681021943368683,-0.08081021943368683,-0.016,0.010101277429210853,-8.0,0.0,8.0,1,-1,0,no_strong_trend,True,adverse_shock_cut,0.3947521597652033,-285.3414041135061,16.88584901067738,58.18422009857221,1F_04pct_delay1_fail,1F,0.002,0.004,1
2025-02-21 15:15:00+00:00,2025-02-21,98167.0,-0.09575837104964967,-0.07975837104964967,-0.016,-0.009969796381206208,8.0,0.0,8.0,1,1,0,no_strong_trend,True,adverse_shock_cut,0.3003786495100123,170.1109034109649,13.745516754746804,40.18055779681232,1F_04pct_delay1_fail,1F,0.002,0.004,1
