policy_name,month,log_return,turnover,max_drawdown_pct,return_pct,trade_count,negative_trade_count,worst_trade_log_return,worst_trade_return_pct
best_return_drawdown_fail,2025-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
best_return_drawdown_fail,2025-07,-0.2727589675998805,50.0,-31.56900412910597,-23.87237422395151,13.0,9.0,-0.2576789399544378,-22.715667860900325
best_return_drawdown_fail,2025-12,-0.2839929551052616,54.0,-60.89762150041273,-24.722805211334908,14.0,8.0,-0.23648801624790428,-21.060465783662753
best_return_drawdown_fail,2026-01,0.2002402360386842,70.0,-65.30592707935568,22.169621836887575,18.0,7.0,-0.40989188100657936,-33.627799278757095
best_return_drawdown_fail,2026-02,0.19394526445197896,52.0,-56.55057932187697,21.40298305495063,14.0,6.0,-0.1529358714755281,-14.181524583118787
best_return_drawdown_fail,2026-03,0.055047988158301565,66.0,-52.19292144211178,5.659131733031719,16.0,9.0,-0.12319783310840346,-11.59112567652043
best_return_drawdown_fail,2026-04,-0.23352407384488627,34.0,-47.928880243269376,-20.826146467987027,9.0,6.0,-0.14271016654083835,-13.299468036580409
best_return_drawdown_fail,2026-05,0.7073847036252426,72.0,-52.6106315378833,102.86787186430777,18.0,5.0,-0.29889141170334677,-25.836006151967496
best_dd_near_miss,2025-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
best_dd_near_miss,2025-10,-0.3248408294078229,80.0,-44.968052786185176,-27.735763209798336,20.0,11.0,-0.20943612114800997,-18.895855382510497
best_dd_near_miss,2026-02,-0.0241303382835459,54.0,-47.8269636379091,-2.384152935350714,13.0,5.0,-0.25338623804467886,-22.38319617034773
best_dd_near_miss,2026-04,-0.2050307418037153,34.0,-37.14393087312568,-18.53777269315431,9.0,7.0,-0.08067169240314596,-7.7503495655552035
