policy_name,confirm_bars,feature_set,max_depth,min_samples_leaf,hold_bars,leverage,trained_months,return_2025_pct,return_2026_pct,min_target_year_return_pct,max_drawdown_pct,losing_months,min_monthly_return_pct,trade_count,turnover,hard_pass_relaxed,trade_count_total,negative_trade_count_total,negative_log_sum_total,worst1_share_of_negative_pct,worst3_share_of_negative_pct,worst5_share_of_negative_pct,drawdown_peak_timestamp,drawdown_trough_timestamp,drawdown_peak_to_trough_return_pct,drawdown_trade_count,drawdown_negative_trade_count,drawdown_negative_log_sum,drawdown_worst3_negative_share_pct
best_return_drawdown_fail,2,market_only,4,3,96,2.0,11,144.160634511369,151.70664554063333,144.160634511369,-65.30592707935568,4,-24.722805211334908,173,682.0,False,173,78,-5.822787276496822,7.039444539921156,16.59793131316003,24.586738720242383,2025-11-18 12:30:00+00:00,2026-01-29 14:00:00+00:00,-65.30592707935568,39,20,-2.2152547155364934,39.50169414437214
best_dd_near_miss,1,event_micro_plus_time,3,3,96,2.0,11,88.55856275983899,368.94896510403663,88.55856275983899,-47.8269636379091,4,-27.735763209798336,173,686.0,False,173,77,-5.205827889294093,4.917814717281814,13.808280730276481,20.584523063983116,2026-01-30 19:15:00+00:00,2026-02-02 18:15:00+00:00,-47.8269636379091,3,2,-0.28590015772877264,100.0
