month,market_return_pct,market_max_drawdown_pct,market_max_runup_pct,market_regime,shock_month,complete_month,partial_month,data_end_utc,label_rule_version,is_posthoc_label
2025-01,9.343573509684798,-11.414456273571194,20.18488897511848,up,True,True,False,2026-06-19T23:45:00+00:00,5b_month_return_5pct_shock_15pct,True
2025-02,-17.737226277372255,-23.62306975693757,9.881722887462118,down,True,True,False,2026-06-19T23:45:00+00:00,5b_month_return_5pct_shock_15pct,True
2025-03,-2.3314746713411383,-18.76783829014765,15.16188600912114,sideways,True,True,False,2026-06-19T23:45:00+00:00,5b_month_return_5pct_shock_15pct,True
2025-04,14.176974425597956,-14.880678216534948,27.86745816378742,up,True,True,False,2026-06-19T23:45:00+00:00,5b_month_return_5pct_shock_15pct,True
2025-05,10.953837467470985,-7.774639525703709,19.537457222434785,up,True,True,False,2026-06-19T23:45:00+00:00,5b_month_return_5pct_shock_15pct,True
2025-06,2.547125996504751,-10.957286748134676,10.46576372448409,sideways,False,True,False,2026-06-19T23:45:00+00:00,5b_month_return_5pct_shock_15pct,True
2025-07,7.848616904756356,-6.449473009919582,16.643231958043494,up,True,True,False,2026-06-19T23:45:00+00:00,5b_month_return_5pct_shock_15pct,True
2025-08,-6.1084632050971805,-13.59219629927595,10.970352257215543,down,False,True,False,2026-06-19T23:45:00+00:00,5b_month_return_5pct_shock_15pct,True
2025-09,5.616280588877887,-7.708805624188086,9.794398273523486,up,False,True,False,2026-06-19T23:45:00+00:00,5b_month_return_5pct_shock_15pct,True
2025-10,-3.9797332295629873,-17.47384630038259,11.577606918825769,sideways,True,True,False,2026-06-19T23:45:00+00:00,5b_month_return_5pct_shock_15pct,True
2025-11,-17.462670200127928,-27.19437781500628,14.824746879947014,down,True,True,False,2026-06-19T23:45:00+00:00,5b_month_return_5pct_shock_15pct,True
2025-12,-1.4394567527340696,-10.370154164566026,12.269945960760476,sideways,False,True,False,2026-06-19T23:45:00+00:00,5b_month_return_5pct_shock_15pct,True
2026-01,-10.25962031811185,-20.75292502510092,11.513774989089232,down,True,True,False,2026-06-19T23:45:00+00:00,5b_month_return_5pct_shock_15pct,True
2026-02,-15.59621112201125,-24.09243712313601,18.727024158168494,down,True,True,False,2026-06-19T23:45:00+00:00,5b_month_return_5pct_shock_15pct,True
2026-03,2.030548686221101,-13.583680610909898,16.391074525655892,sideways,True,True,False,2026-06-19T23:45:00+00:00,5b_month_return_5pct_shock_15pct,True
2026-04,12.20606810999827,-5.565193566105176,20.412872607729994,up,True,True,False,2026-06-19T23:45:00+00:00,5b_month_return_5pct_shock_15pct,True
2026-05,-3.631741396251942,-12.128431930109029,8.150090754314254,sideways,False,True,False,2026-06-19T23:45:00+00:00,5b_month_return_5pct_shock_15pct,True
2026-06,-13.91810424279225,-19.716743921193626,13.297077459864992,down,True,False,True,2026-06-19T23:45:00+00:00,5b_month_return_5pct_shock_15pct,True
