candidate,market_regime,months,complete_months,partial_months,pass_months,avg_return_pct,min_return_pct,avg_orders,min_orders,worst_drawdown_pct,fail_months,sample_note
2C,down,6,5,1,6,21.624381944808054,9.528515109034808,12.5,11,-24.42711463198597,0,sample_too_small
2C,sideways,6,6,0,6,19.907578587112795,9.405567332454943,12.5,11,-29.252496952297054,0,sample_ok_for_rough_read
2C,up,6,6,0,6,10.660210872316602,5.575755909827906,13.0,12,-29.40311707059141,0,sample_ok_for_rough_read
3,down,6,5,1,6,21.594312629268785,9.528515109034808,12.5,11,-24.42711463198597,0,sample_too_small
3,sideways,6,6,0,6,19.850533836904205,9.405567332454943,13.833333333333334,11,-29.252496952297054,0,sample_ok_for_rough_read
3,up,6,6,0,6,10.412367162884765,5.11302387708088,16.0,12,-29.40311707059141,0,sample_ok_for_rough_read
4,down,6,5,1,6,22.998118042642513,8.517732674974642,10.833333333333334,10,-23.932143811447517,0,sample_too_small
4,sideways,6,6,0,6,15.625224195247624,7.22868753869248,12.5,10,-28.78913036963924,0,sample_ok_for_rough_read
4,up,6,6,0,6,10.535250852463419,4.558896263438661,14.333333333333334,10,-28.715648663214463,0,sample_ok_for_rough_read
