kind,repo,license,stars,repo_updated_at,is_archived,path,url,raw_url,query,downloaded_path,note
other,Vicliu1213/JesseTrading,,0,2026-01-17T14:57:04Z,False,attached_assets/Pasted-Hello-How-can-I-assist-you-today-If-you-have-any-questions-or-need-help-with-your-code-feel-free--1759975514014_1759975514015.txt,https://github.com/Vicliu1213/JesseTrading/blob/3c2ddcae91b9164bf560a268619f59a8bb672969/attached_assets/Pasted-Hello-How-can-I-assist-you-today-If-you-have-any-questions-or-need-help-with-your-code-feel-free--1759975514014_1759975514015.txt,https://raw.githubusercontent.com/Vicliu1213/JesseTrading/3c2ddcae91b9164bf560a268619f59a8bb672969/attached_assets/Pasted-Hello-How-can-I-assist-you-today-If-you-have-any-questions-or-need-help-with-your-code-feel-free--1759975514014_1759975514015.txt,from jesse.strategies import Strategy,,
other,achupradeep3050/crypto,,1,2026-06-05T22:21:35Z,False,meanreversalRSI,https://github.com/achupradeep3050/crypto/blob/b95552b498363f579bee3356e24a12a119b4c68d/meanreversalRSI,https://raw.githubusercontent.com/achupradeep3050/crypto/b95552b498363f579bee3356e24a12a119b4c68d/meanreversalRSI,from jesse.strategies import Strategy,,
other,qwpto/JesseReportDiscord,,5,2024-02-26T08:13:15Z,False,src/JesseReportDiscord/sendJesseReportToDiscord.py,https://github.com/qwpto/JesseReportDiscord/blob/f270eea6bf92e4645943f949e9e5a3f0f0aea951/src/JesseReportDiscord/sendJesseReportToDiscord.py,https://raw.githubusercontent.com/qwpto/JesseReportDiscord/f270eea6bf92e4645943f949e9e5a3f0f0aea951/src/JesseReportDiscord/sendJesseReportToDiscord.py,from jesse.strategies import Strategy,,
other_framework_strategy,TheoBrigitte/freqtrade,,122,2026-06-29T07:00:44Z,False,sources/sponsors/BadStreak.py,https://github.com/TheoBrigitte/freqtrade/blob/b9feaaa2f845aed5612b3c7726a0590ee233c846/sources/sponsors/BadStreak.py,https://raw.githubusercontent.com/TheoBrigitte/freqtrade/b9feaaa2f845aed5612b3c7726a0590ee233c846/sources/sponsors/BadStreak.py,from jesse import utils,,
skip_bad_terms,VanceChu/Crypto-Hackers-NUTS,,0,2026-04-08T12:37:25Z,False,jesse/indicators/emv.py,https://github.com/VanceChu/Crypto-Hackers-NUTS/blob/2e3976789ad8bc2aa3b63acb221cc444f2472e47/jesse/indicators/emv.py,https://raw.githubusercontent.com/VanceChu/Crypto-Hackers-NUTS/2e3976789ad8bc2aa3b63acb221cc444f2472e47/jesse/indicators/emv.py,from jesse.indicators import,,
skip_bad_terms,VanceChu/Crypto-Hackers-NUTS,,0,2026-04-08T12:37:25Z,False,jesse/indicators/kvo.py,https://github.com/VanceChu/Crypto-Hackers-NUTS/blob/2e3976789ad8bc2aa3b63acb221cc444f2472e47/jesse/indicators/kvo.py,https://raw.githubusercontent.com/VanceChu/Crypto-Hackers-NUTS/2e3976789ad8bc2aa3b63acb221cc444f2472e47/jesse/indicators/kvo.py,from jesse.indicators import,,
supporting_code,Bukassi600104/Trading-simulator,,1,2026-06-20T23:17:36Z,False,backend/jesse_custom/indicators/kvo.py,https://github.com/Bukassi600104/Trading-simulator/blob/274faf0670bc85423a78a30218d579ce8f736fba/backend/jesse_custom/indicators/kvo.py,https://raw.githubusercontent.com/Bukassi600104/Trading-simulator/274faf0670bc85423a78a30218d579ce8f736fba/backend/jesse_custom/indicators/kvo.py,from jesse.indicators import,,
supporting_code,Conscientia-Lumina/trading-bot,,0,2025-12-09T10:45:20Z,False,jesse/jesse/indicators/emv.py,https://github.com/Conscientia-Lumina/trading-bot/blob/85c2ca1c0af2f14e4296890b5f02f95a9e8edffe/jesse/jesse/indicators/emv.py,https://raw.githubusercontent.com/Conscientia-Lumina/trading-bot/85c2ca1c0af2f14e4296890b5f02f95a9e8edffe/jesse/jesse/indicators/emv.py,from jesse.indicators import,,
supporting_code,Conscientia-Lumina/trading-bot,,0,2025-12-09T10:45:20Z,False,jesse/jesse/indicators/kvo.py,https://github.com/Conscientia-Lumina/trading-bot/blob/85c2ca1c0af2f14e4296890b5f02f95a9e8edffe/jesse/jesse/indicators/kvo.py,https://raw.githubusercontent.com/Conscientia-Lumina/trading-bot/85c2ca1c0af2f14e4296890b5f02f95a9e8edffe/jesse/jesse/indicators/kvo.py,from jesse.indicators import,,
supporting_code,Smallsheeps/jesse-cn,,1,2026-06-14T05:45:31Z,False,jesse/indicators/kvo.py,https://github.com/Smallsheeps/jesse-cn/blob/1296c8cd4e72bdcb644d8dacff1fa9bf29c16698/jesse/indicators/kvo.py,https://raw.githubusercontent.com/Smallsheeps/jesse-cn/1296c8cd4e72bdcb644d8dacff1fa9bf29c16698/jesse/indicators/kvo.py,from jesse.indicators import,,
supporting_code,WhiteGlove23/AI_trading_bot,,0,2025-06-18T12:52:06Z,False,jesse/indicators/emv.py,https://github.com/WhiteGlove23/AI_trading_bot/blob/b238c7e54dfbf19e723728c994370013a78c103f/jesse/indicators/emv.py,https://raw.githubusercontent.com/WhiteGlove23/AI_trading_bot/b238c7e54dfbf19e723728c994370013a78c103f/jesse/indicators/emv.py,from jesse.indicators import,,
supporting_code,WhiteGlove23/AI_trading_bot,,0,2025-06-18T12:52:06Z,False,jesse/indicators/kvo.py,https://github.com/WhiteGlove23/AI_trading_bot/blob/b238c7e54dfbf19e723728c994370013a78c103f/jesse/indicators/kvo.py,https://raw.githubusercontent.com/WhiteGlove23/AI_trading_bot/b238c7e54dfbf19e723728c994370013a78c103f/jesse/indicators/kvo.py,from jesse.indicators import,,
supporting_code,jesse-ai/docs,,17,2026-06-15T16:46:36Z,False,docs/docs/indicators/custom-indicators.md,https://github.com/jesse-ai/docs/blob/6425d75c3cc64c73a6d12264072924b251fa7236/docs/docs/indicators/custom-indicators.md,https://raw.githubusercontent.com/jesse-ai/docs/6425d75c3cc64c73a6d12264072924b251fa7236/docs/docs/indicators/custom-indicators.md,from jesse.indicators import,,
supporting_code,jesse-ai/jesse,,8120,2026-06-29T12:01:22Z,False,jesse/indicators/kvo.py,https://github.com/jesse-ai/jesse/blob/fa933cf03491a5382e2ef468a317403d084c9b88/jesse/indicators/kvo.py,https://raw.githubusercontent.com/jesse-ai/jesse/fa933cf03491a5382e2ef468a317403d084c9b88/jesse/indicators/kvo.py,from jesse.indicators import,,
supporting_code,jesse-ai/jesse,,8120,2026-06-29T12:01:22Z,False,jesse/mcp/resources/indicator.md,https://github.com/jesse-ai/jesse/blob/fa933cf03491a5382e2ef468a317403d084c9b88/jesse/mcp/resources/indicator.md,https://raw.githubusercontent.com/jesse-ai/jesse/fa933cf03491a5382e2ef468a317403d084c9b88/jesse/mcp/resources/indicator.md,from jesse import utils,,
supporting_code,nishimweprince/trading-algos,,0,2026-05-28T21:10:29Z,False,jesse-strategies/custom_indicators/supertrend.py,https://github.com/nishimweprince/trading-algos/blob/563237f769a63747e4ed72f9a37dc6ffa11c8dd7/jesse-strategies/custom_indicators/supertrend.py,https://raw.githubusercontent.com/nishimweprince/trading-algos/563237f769a63747e4ed72f9a37dc6ffa11c8dd7/jesse-strategies/custom_indicators/supertrend.py,from jesse.indicators import,,
supporting_code,x34v/jesse-indicators,,3,2025-06-09T11:55:02Z,False,ash.py,https://github.com/x34v/jesse-indicators/blob/6adecffa5a0e9c674d27a96ebde555fe68a6b960/ash.py,https://raw.githubusercontent.com/x34v/jesse-indicators/6adecffa5a0e9c674d27a96ebde555fe68a6b960/ash.py,from jesse.indicators import,,
supporting_code,x34v/jesse-indicators,,3,2025-06-09T11:55:02Z,False,supertrend.py,https://github.com/x34v/jesse-indicators/blob/6adecffa5a0e9c674d27a96ebde555fe68a6b960/supertrend.py,https://raw.githubusercontent.com/x34v/jesse-indicators/6adecffa5a0e9c674d27a96ebde555fe68a6b960/supertrend.py,from jesse.indicators import,,
