method,order_floor,round_trip_cost,round_trip_cost_pct,monthly_requirement,annual_threshold_pct,scenario_pass,annual_2025_2026_pass,monthly_requirement_pass,order_floor_pass,non_passing_months,non_passing_month_list,month_fail_count,order_fail_count,total_eval_return_pct,return_2023_pct,return_2024_pct,return_2025_pct,return_2026_ytd_pct,min_monthly_return_pct,min_monthly_orders,orders,turnover,cost_log,selected_candidate_count,scenario_id
strict_expanding_selector,10,0.002,0.2,return_ge_minus2,100.0,False,False,True,False,41,"2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2025-07,2025-08,2025-09,2025-10,2025-11,2025-12,2026-01,2026-02,2026-03,2026-04,2026-05",0,41,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,1,allow_month_minus2_only
monthly_oracle,5,0.002,0.2,return_gt_0,100.0,False,True,False,False,1,2023-07,1,1,96251768273.47528,53948.53498224468,130050.86395530812,6003.835532858575,2141.6866848083623,-0.6814171974701355,1,635,4616.0,4.6160000000000005,12,order_floor_5_only
strict_expanding_selector,5,0.002,0.2,return_gt_0,100.0,False,False,False,False,28,"2023-02,2023-03,2023-04,2023-05,2023-07,2023-08,2023-09,2023-10,2023-11,2024-01,2024-03,2024-05,2024-07,2024-12,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2025-07,2025-08,2025-09,2025-10,2025-11,2025-12,2026-04,2026-05",22,7,-82.00281373254529,23.044839527490435,221.13941482348213,-95.77523229154947,7.806453830252669,-68.94526344928104,3,316,2012.0,2.012,2,order_floor_5_only
monthly_oracle,0,0.002,0.2,return_gt_0,100.0,False,True,False,True,2,"2023-07,2025-12",2,0,839500953277.6241,86540.8125100178,159254.79187297256,27024.306152723188,2141.6866848083623,-0.6814171974701355,1,530,3920.0,3.9200000000000004,11,order_floor_0_only
strict_expanding_selector,0,0.002,0.2,return_gt_0,100.0,False,False,False,True,22,"2023-02,2023-05,2023-07,2023-08,2023-09,2023-11,2024-01,2024-05,2024-07,2024-12,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2025-07,2025-08,2025-09,2025-12,2026-04,2026-05",22,0,-82.00281373254529,23.044839527490435,221.13941482348213,-95.77523229154947,7.806453830252669,-68.94526344928104,3,316,2012.0,2.012,2,order_floor_0_only
monthly_oracle,5,0.002,0.2,return_ge_minus1,50.0,True,True,True,True,0,,0,0,96170594619.1585,53902.95330443106,130050.86395530812,6003.835532858575,2141.6866848083623,-0.7651772409883462,5,669,4652.0,4.652000000000001,12,combined_50_minus1_order5
strict_expanding_selector,5,0.002,0.2,return_ge_minus1,50.0,False,False,True,False,41,"2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2025-07,2025-08,2025-09,2025-10,2025-11,2025-12,2026-01,2026-02,2026-03,2026-04,2026-05",0,41,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,1,combined_50_minus1_order5
monthly_oracle,5,0.002,0.2,return_ge_minus2,30.0,True,True,True,True,0,,0,0,96170594619.1585,53902.95330443106,130050.86395530812,6003.835532858575,2141.6866848083623,-0.7651772409883462,5,669,4652.0,4.652000000000001,12,combined_30_minus2_order5
strict_expanding_selector,5,0.002,0.2,return_ge_minus2,30.0,False,False,True,False,41,"2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2025-07,2025-08,2025-09,2025-10,2025-11,2025-12,2026-01,2026-02,2026-03,2026-04,2026-05",0,41,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,1,combined_30_minus2_order5
monthly_oracle,10,0.0,0.0,return_gt_0,100.0,True,True,True,True,0,,0,0,1.199700300703647e+19,2877323.0753276357,84085155.71173474,5564807.213253533,8810.278300956013,52.15599082982614,10,25224,150268.0,0.0,23,no_fee_original_gates
strict_expanding_selector,10,0.0,0.0,return_gt_0,100.0,False,False,False,True,17,"2023-07,2023-08,2023-12,2024-01,2024-03,2024-05,2024-12,2025-04,2025-06,2025-07,2025-08,2025-10,2025-11,2026-02,2026-03,2026-04,2026-05",17,0,182.27358987034626,80.53281980694524,252.1027391660268,49.26267659705044,-70.2495559667195,-46.915134741949274,288,14765,57700.0,0.0,2,no_fee_original_gates
