method,order_floor,round_trip_cost,round_trip_cost_pct,monthly_requirement,annual_threshold_pct,scenario_pass,annual_2025_2026_pass,monthly_requirement_pass,order_floor_pass,non_passing_months,non_passing_month_list,month_fail_count,order_fail_count,total_eval_return_pct,return_2023_pct,return_2024_pct,return_2025_pct,return_2026_ytd_pct,min_monthly_return_pct,min_monthly_orders,orders,turnover,cost_log,selected_candidate_count
monthly_oracle,10,0.0,0.0,return_gt_0,100.0,True,True,True,True,0,,0,0,1.199700300703647e+19,2877323.0753276357,84085155.71173474,5564807.213253533,8810.278300956013,52.15599082982614,10,25224,150268.0,0.0,23
strict_expanding_selector,10,0.0,0.0,return_gt_0,100.0,False,False,False,True,17,"2023-07,2023-08,2023-12,2024-01,2024-03,2024-05,2024-12,2025-04,2025-06,2025-07,2025-08,2025-10,2025-11,2026-02,2026-03,2026-04,2026-05",17,0,182.27358987034626,80.53281980694524,252.1027391660268,49.26267659705044,-70.2495559667195,-46.915134741949274,288,14765,57700.0,0.0,2
monthly_oracle,0,0.002,0.2,allow_any,30.0,True,True,True,True,0,,0,0,839500953277.6241,86540.8125100178,159254.79187297256,27024.306152723188,2141.6866848083623,-0.6814171974701355,1,530,3920.0,3.9200000000000004,11
monthly_oracle,0,0.002,0.2,allow_any,50.0,True,True,True,True,0,,0,0,839500953277.6241,86540.8125100178,159254.79187297256,27024.306152723188,2141.6866848083623,-0.6814171974701355,1,530,3920.0,3.9200000000000004,11
monthly_oracle,0,0.002,0.2,allow_any,80.0,True,True,True,True,0,,0,0,839500953277.6241,86540.8125100178,159254.79187297256,27024.306152723188,2141.6866848083623,-0.6814171974701355,1,530,3920.0,3.9200000000000004,11
monthly_oracle,0,0.002,0.2,allow_any,100.0,True,True,True,True,0,,0,0,839500953277.6241,86540.8125100178,159254.79187297256,27024.306152723188,2141.6866848083623,-0.6814171974701355,1,530,3920.0,3.9200000000000004,11
monthly_oracle,0,0.002,0.2,return_ge_minus1,30.0,True,True,True,True,0,,0,0,839500953277.6241,86540.8125100178,159254.79187297256,27024.306152723188,2141.6866848083623,-0.6814171974701355,1,530,3920.0,3.9200000000000004,11
monthly_oracle,0,0.002,0.2,return_ge_minus1,50.0,True,True,True,True,0,,0,0,839500953277.6241,86540.8125100178,159254.79187297256,27024.306152723188,2141.6866848083623,-0.6814171974701355,1,530,3920.0,3.9200000000000004,11
monthly_oracle,0,0.002,0.2,return_ge_minus1,80.0,True,True,True,True,0,,0,0,839500953277.6241,86540.8125100178,159254.79187297256,27024.306152723188,2141.6866848083623,-0.6814171974701355,1,530,3920.0,3.9200000000000004,11
monthly_oracle,0,0.002,0.2,return_ge_minus1,100.0,True,True,True,True,0,,0,0,839500953277.6241,86540.8125100178,159254.79187297256,27024.306152723188,2141.6866848083623,-0.6814171974701355,1,530,3920.0,3.9200000000000004,11
monthly_oracle,0,0.002,0.2,return_ge_minus2,30.0,True,True,True,True,0,,0,0,839500953277.6241,86540.8125100178,159254.79187297256,27024.306152723188,2141.6866848083623,-0.6814171974701355,1,530,3920.0,3.9200000000000004,11
monthly_oracle,0,0.002,0.2,return_ge_minus2,50.0,True,True,True,True,0,,0,0,839500953277.6241,86540.8125100178,159254.79187297256,27024.306152723188,2141.6866848083623,-0.6814171974701355,1,530,3920.0,3.9200000000000004,11
monthly_oracle,0,0.002,0.2,return_ge_minus2,80.0,True,True,True,True,0,,0,0,839500953277.6241,86540.8125100178,159254.79187297256,27024.306152723188,2141.6866848083623,-0.6814171974701355,1,530,3920.0,3.9200000000000004,11
monthly_oracle,0,0.002,0.2,return_ge_minus2,100.0,True,True,True,True,0,,0,0,839500953277.6241,86540.8125100178,159254.79187297256,27024.306152723188,2141.6866848083623,-0.6814171974701355,1,530,3920.0,3.9200000000000004,11
monthly_oracle,0,0.002,0.2,return_gt_0,30.0,False,True,False,True,2,"2023-07,2025-12",2,0,839500953277.6241,86540.8125100178,159254.79187297256,27024.306152723188,2141.6866848083623,-0.6814171974701355,1,530,3920.0,3.9200000000000004,11
monthly_oracle,0,0.002,0.2,return_gt_0,50.0,False,True,False,True,2,"2023-07,2025-12",2,0,839500953277.6241,86540.8125100178,159254.79187297256,27024.306152723188,2141.6866848083623,-0.6814171974701355,1,530,3920.0,3.9200000000000004,11
monthly_oracle,0,0.002,0.2,return_gt_0,80.0,False,True,False,True,2,"2023-07,2025-12",2,0,839500953277.6241,86540.8125100178,159254.79187297256,27024.306152723188,2141.6866848083623,-0.6814171974701355,1,530,3920.0,3.9200000000000004,11
monthly_oracle,0,0.002,0.2,return_gt_0,100.0,False,True,False,True,2,"2023-07,2025-12",2,0,839500953277.6241,86540.8125100178,159254.79187297256,27024.306152723188,2141.6866848083623,-0.6814171974701355,1,530,3920.0,3.9200000000000004,11
monthly_oracle,5,0.002,0.2,allow_any,30.0,True,True,True,True,0,,0,0,96170594619.1585,53902.95330443106,130050.86395530812,6003.835532858575,2141.6866848083623,-0.7651772409883462,5,669,4652.0,4.652000000000001,12
monthly_oracle,5,0.002,0.2,allow_any,50.0,True,True,True,True,0,,0,0,96170594619.1585,53902.95330443106,130050.86395530812,6003.835532858575,2141.6866848083623,-0.7651772409883462,5,669,4652.0,4.652000000000001,12
monthly_oracle,5,0.002,0.2,allow_any,80.0,True,True,True,True,0,,0,0,96170594619.1585,53902.95330443106,130050.86395530812,6003.835532858575,2141.6866848083623,-0.7651772409883462,5,669,4652.0,4.652000000000001,12
monthly_oracle,5,0.002,0.2,allow_any,100.0,True,True,True,True,0,,0,0,96170594619.1585,53902.95330443106,130050.86395530812,6003.835532858575,2141.6866848083623,-0.7651772409883462,5,669,4652.0,4.652000000000001,12
monthly_oracle,5,0.002,0.2,return_ge_minus1,30.0,True,True,True,True,0,,0,0,96170594619.1585,53902.95330443106,130050.86395530812,6003.835532858575,2141.6866848083623,-0.7651772409883462,5,669,4652.0,4.652000000000001,12
monthly_oracle,5,0.002,0.2,return_ge_minus1,50.0,True,True,True,True,0,,0,0,96170594619.1585,53902.95330443106,130050.86395530812,6003.835532858575,2141.6866848083623,-0.7651772409883462,5,669,4652.0,4.652000000000001,12
monthly_oracle,5,0.002,0.2,return_ge_minus1,80.0,True,True,True,True,0,,0,0,96170594619.1585,53902.95330443106,130050.86395530812,6003.835532858575,2141.6866848083623,-0.7651772409883462,5,669,4652.0,4.652000000000001,12
monthly_oracle,5,0.002,0.2,return_ge_minus1,100.0,True,True,True,True,0,,0,0,96170594619.1585,53902.95330443106,130050.86395530812,6003.835532858575,2141.6866848083623,-0.7651772409883462,5,669,4652.0,4.652000000000001,12
monthly_oracle,5,0.002,0.2,return_ge_minus2,30.0,True,True,True,True,0,,0,0,96170594619.1585,53902.95330443106,130050.86395530812,6003.835532858575,2141.6866848083623,-0.7651772409883462,5,669,4652.0,4.652000000000001,12
