year,log_return,compounded_return_pct,months,losing_months,min_monthly_return_pct,min_monthly_orders,orders_sum,max_drawdown_pct
2025,1.633263225745478,412.05570181711283,12,0,4.488453572042084,11,176,-29.403117070591435
2026,1.2737844984743565,257.43541356723665,6,0,11.180210507278998,11,80,-29.25249695229707
