variant_id,max_monthly_orders,hard_pass,return_2025_pct,return_2026_pct,min_required_year_return_pct,min_monthly_return_pct,losing_eval_months,min_monthly_orders,total_return_pct,max_drawdown_pct,exposure_pct,turnover,orders,strong_trend_reverse_active_bars,strong_trend_reverse_big_active_bars,weak_trend_order_events,weak_trend_big_order_events,adverse_shock_cut_events,guard_reason_counts
first_5_orders_then_flat,5,False,115.93515740100564,182.68766274729583,115.93515740100564,-15.660628710328284,4,6,510.422049506598,-24.362622397831878,14.188084112149532,505.30000000000007,108,0,0,57,0,0,"{'first_n_flat': 44073, 'main': 6224, 'strong_conflict_small_trend': 1020, 'weak_new_order_small': 43}"
first_10_orders_then_flat,10,False,202.0785365086632,261.0743188599718,202.0785365086632,-7.9112232724018465,2,12,990.7280181208289,-29.252496952297047,26.057242990654206,752.4,216,1,1,93,0,1,"{'first_n_flat': 37977, 'main': 12263, 'strong_conflict_small_trend': 1037, 'weak_new_order_small': 81, 'adverse_shock_cut': 1, 'shock_cooldown_small': 1}"
first_15_orders_then_flat,15,False,197.09633581024696,41.46166675835716,41.46166675835716,-19.22432927784946,6,16,320.2774285151822,-49.69668314402826,33.10163551401869,1419.1999999999998,288,1,1,119,0,11,"{'first_n_flat': 34315, 'main': 15855, 'strong_conflict_small_trend': 1037, 'weak_new_order_small': 97, 'strong_conflict_flat': 34, 'adverse_shock_cut': 11, 'shock_cooldown_small': 11}"
first_20_orders_then_flat,20,False,124.55695291008398,180.39562340796306,124.55695291008398,-37.0062581798977,7,19,529.6478680181559,-68.88476233475345,42.80568535825545,2178.8,379,1,1,170,0,32,"{'first_n_flat': 29309, 'main': 20799, 'strong_conflict_small_trend': 1037, 'weak_new_order_small': 124, 'strong_conflict_flat': 34, 'adverse_shock_cut': 32, 'shock_cooldown_small': 25}"
