variant_id,month,log_return,first_equity,last_equity,min_drawdown,turnover,orders,return_pct,drawdown_pct
first_5_orders_then_flat,2025-01,-0.1256688298172711,0.9999000049998333,0.8819068596836357,-0.15679920872846143,32.2,6,-11.809314031636431,-15.679920872846143
first_5_orders_then_flat,2025-02,0.11878049762814116,0.8818186734070547,0.9931353379905069,-0.19558608710010938,17.2,6,12.612270455269137,-19.558608710010937
first_5_orders_then_flat,2025-03,-0.17032139217135706,0.9928870851889025,0.8376041001167497,-0.19915756155464492,48.0,6,-15.660628710328284,-19.915756155464493
first_5_orders_then_flat,2025-04,0.05987404235465962,0.8375203438946189,0.8892866255361095,-0.21031924867531904,20.2,6,6.170280853705945,-21.031924867531902
first_5_orders_then_flat,2025-05,0.04472927076992486,0.8891977013198409,0.9299667824802494,-0.2436262239783188,32.2,6,4.574470792205587,-24.362622397831878
first_5_orders_then_flat,2025-06,-0.004733887586109557,0.9298737904516804,0.9255748279844642,-0.15387413828897367,20.2,6,-0.47227004001925144,-15.387413828897367
first_5_orders_then_flat,2025-07,0.10586847932205073,0.9254822751293857,1.0289390064416775,-0.14273300707314773,20.2,6,11.167565855512663,-14.273300707314773
first_5_orders_then_flat,2025-08,0.08914466571144217,1.0288361176855567,1.1248760437039478,-0.09124752489812227,20.2,6,9.323879905578082,-9.124752489812227
first_5_orders_then_flat,2025-09,0.10071530343344186,1.1247635617237701,1.2440698591894157,-0.07092640208280587,20.2,6,10.596173343063754,-7.092640208280587
first_5_orders_then_flat,2025-10,0.16013140260888067,1.2439454584236387,1.4601213551822365,-0.12976758347524187,43.0,6,17.366508351355026,-12.976758347524186
first_5_orders_then_flat,2025-11,0.19445577289179214,1.4599753503470818,1.7735360554690798,-0.06543250570790005,24.0,6,21.46497612506504,-6.543250570790004
first_5_orders_then_flat,2025-12,0.19683265426470697,1.7733587107309174,2.1593515740100564,-0.08715297619917795,20.2,6,21.754027348428107,-8.715297619917795
