year,log_return,compounded_return_pct,months,losing_months,min_monthly_return_pct,min_monthly_orders,orders_sum,max_drawdown_pct
2023,3.053338354001527,2018.5952709240307,12,1,-38.284753747488686,10,290,-38.2847537474887
2024,5.422474951861545,22543.88548263184,12,0,9.98490980723985,10,148,0.0
2025,2.8862737276723314,1692.6386394382653,12,0,4.223342225285731,10,166,0.0
2026,1.00025623352807,171.89784326451027,5,0,8.870474097394855,10,56,0.0
