selector_id,method,exact_backtest,total_eval_return_pct,return_2023_pct,return_2024_pct,return_2025_pct,return_2026_ytd_pct,min_2025_2026_return_pct,annual_2025_2026_gt_100,annual_2025_2026_gt_50,annual_2025_2026_gt_30,losing_eval_months,min_monthly_return_pct,min_monthly_orders,orders,turnover,cost_log,max_drawdown_pct_proxy
loss_control_no_positive_gate,strict_expanding_selector_fast_monthly_proxy,False,76.96067336554972,-21.962351846160377,140.23251382089362,-5.278939482401224,-0.3461109252179573,-5.278939482401224,False,False,False,6,-39.595618471559334,10,634,2171.0,2.1710000000000003,-47.66651360373736
worst_year_balance,strict_expanding_selector_fast_monthly_proxy,False,13.841024253423285,-14.153764859506024,157.16009579594004,-55.071552654933065,14.776387563075,-55.071552654933065,False,False,False,5,-45.836658381585416,10,606,1782.0,1.782,-65.37851920477075
return_first,strict_expanding_selector_fast_monthly_proxy,False,82.16890562002655,-3.262891533389445,928.9028023132605,-82.69420979130078,5.758519537632378,-82.69420979130078,False,False,False,9,-74.48575843122582,10,714,4612.0,4.612,-93.68859937157514
return_first_min10_orders,strict_expanding_selector_fast_monthly_proxy,False,82.16890562002655,-3.262891533389445,928.9028023132605,-82.69420979130078,5.758519537632378,-82.69420979130078,False,False,False,9,-74.48575843122582,10,714,4612.0,4.612,-93.68859937157514
