selector_id,eval_month,train_start_month,train_end_month,candidate_id,confirm_bars,leverage,lock_log,quota_arm_log,quota_leverage,train_months,train_log_return,train_return_pct,train_losing_months,train_min_month_return_pct,train_min_orders,train_turnover,train_full_years,train_worst_full_year_return_pct
worst_year_balance,2025-06,2020-01,2025-05,127,12,4.0,0.04,0.04,1.0,65,1.5888613640694742,389.8168521231478,9,-51.31379777853336,10,3554.0,5,-14.153764859506024
worst_year_balance,2025-07,2020-01,2025-06,127,12,4.0,0.04,0.04,1.0,66,1.633925452240641,412.3949109741045,9,-51.31379777853336,10,3582.0,5,-14.153764859506024
worst_year_balance,2025-08,2020-01,2025-07,127,12,4.0,0.04,0.04,1.0,67,1.7012373128362093,448.0724568979299,9,-51.31379777853336,10,3598.0,5,-14.153764859506024
worst_year_balance,2025-09,2020-01,2025-08,127,12,4.0,0.04,0.04,1.0,68,1.7385888144226174,468.9309084109201,9,-51.31379777853336,10,3622.0,5,-14.153764859506024
worst_year_balance,2025-10,2020-01,2025-09,127,12,4.0,0.04,0.04,1.0,69,1.5822391988824454,386.5839203356559,10,-51.31379777853336,10,3750.0,5,-14.153764859506024
worst_year_balance,2025-11,2020-01,2025-10,127,12,4.0,0.04,0.04,1.0,70,1.6227702669409567,406.7108133199683,10,-51.31379777853336,10,3766.0,5,-14.153764859506024
worst_year_balance,2025-12,2020-01,2025-11,127,12,4.0,0.04,0.04,1.0,71,1.6597356180767306,425.79205615217074,10,-51.31379777853336,10,3784.0,5,-14.153764859506024
worst_year_balance,2026-01,2020-01,2025-12,122,12,4.0,0.02,0.04,1.0,72,1.8410506936807398,530.3157470760029,9,-51.31379777853336,10,3554.0,6,-21.711013059730767
worst_year_balance,2026-02,2020-01,2026-01,122,12,4.0,0.02,0.04,1.0,73,1.873872096497407,551.3468411828726,9,-51.31379777853336,10,3596.0,6,-21.711013059730767
worst_year_balance,2026-03,2020-01,2026-02,122,12,4.0,0.02,0.04,1.0,74,1.9132225729609507,577.4886222927763,9,-51.31379777853336,10,3614.0,6,-21.711013059730767
worst_year_balance,2026-04,2020-01,2026-03,122,12,4.0,0.02,0.04,1.0,75,1.9328537574099929,590.919931303901,9,-51.31379777853336,10,3670.0,6,-21.711013059730767
worst_year_balance,2026-05,2020-01,2026-04,122,12,4.0,0.02,0.04,1.0,76,1.9620233501749043,611.3706031752349,9,-51.31379777853336,10,3694.0,6,-21.711013059730767
