month,log_return,first_equity,last_equity,min_drawdown,turnover,orders,return_pct,drawdown_pct,candidate_id
2023-01,0.1688260776650761,1.0,1.1839142118927515,0.0,34.0,10,18.39142118927515,0.0,127
2023-02,0.0289440699569099,1.1839142118927515,1.2186822446144274,0.0,30.0,12,2.93670203232812,0.0,127
2023-03,0.0981348455856821,1.2186822446144274,1.344342429102663,0.0,34.0,10,10.311152479947117,0.0,127
2023-04,0.0272376761446403,1.344342429102663,1.3814624291967916,0.0,96.0,24,2.7612012602254765,0.0,127
2023-05,0.0671052166962962,1.3814624291967916,1.4773469621976365,0.0,32.0,14,6.940799183123203,0.0,127
2023-06,0.0352176536102542,1.4773469621976365,1.5303026704431713,0.0,24.0,12,3.5845139700128703,0.0,127
2023-07,-0.3108954770593745,1.5303026704431713,1.1213912058946263,-0.2672095347191189,88.0,22,-26.7209534719119,-26.72095347191189,127
2023-08,0.1068753394098609,1.1213912058946263,1.2478791146685633,-0.18455405014278584,22.0,10,11.279552408566218,-18.455405014278583,127
2023-09,-0.5128793479013919,1.2478791146685633,0.7471913670321738,-0.5117362195964872,120.0,30,-40.123097001216514,-51.17362195964872,127
2023-10,0.034631080446581,0.7471913670321738,0.7735206863920786,-0.49453091775101643,24.0,12,3.5237718905243964,-49.45309177510164,127
2023-11,0.0348487150839549,0.7735206863920786,0.8009520868564252,-0.47660544392536947,48.0,12,3.5463047009504534,-47.66054439253695,127
2023-12,0.0693416968297709,0.8009520868564252,0.8584623514049398,-0.4390244701354853,28.0,10,7.180237806012935,-43.90244701354853,127
2024-01,0.0507947341730306,0.8584623514049398,0.9031941714777059,-0.40979376895673625,24.0,12,5.210690952207631,-40.979376895673624,127
2024-02,0.0745745545294793,0.9031941714777059,0.9731245830789338,-0.3640966575604814,40.0,10,7.74256674916487,-36.409665756048135,127
2024-03,0.0457278495912034,0.9731245830789338,1.0186565840820556,-0.3343430657498261,36.0,12,4.678948800066296,-33.43430657498261,127
2024-04,0.0198296203420332,1.0186565840820556,1.039057762718992,-0.3210115993471514,58.0,16,2.0027533278372367,-32.10115993471514,127
2024-05,0.0970552738190058,1.039057762718992,1.1449598591983807,-0.2518082328989182,16.0,10,10.192127933510209,-25.18082328989182,127
2024-06,0.1167601719275559,1.1449598591983807,1.2867629850455888,-0.1591447823371137,48.0,12,12.384986662020502,-15.914478233711371,127
2024-07,0.1293980962570202,1.2867629850455888,1.4645204443019264,-0.0429864153097207,16.0,10,13.81431245086986,-4.29864153097207,127
2024-08,0.0691447259832685,1.4645204443019264,1.5693673448603165,0.0,18.0,12,7.15912850287086,0.0,127
2024-09,0.0412503817120269,1.5693673448603165,1.6354581101586338,0.0,42.0,12,4.211299891944664,0.0,127
2024-10,0.0290805686628179,1.6354581101586338,1.6837164511495337,0.0,30.0,12,2.9507537179426,0.0,127
2024-11,0.2388098830697813,1.6837164511495337,2.1378772693507377,0.0,18.0,12,26.973711511289935,0.0,127
2024-12,0.0321027857330347,2.1378772693507377,2.2076226052450227,0.0,44.0,14,3.2623638828184864,0.0,127
2025-01,0.0598789193130753,2.2076226052450227,2.343850551012337,0.0,28.0,10,6.170798643013264,0.0,127
2025-02,-0.6131658602767686,2.343850551012337,1.2695077809699045,-0.4583665838158543,162.0,45,-45.836658381585416,-45.83665838158543,127
2025-03,0.1411352469980769,1.2695077809699045,1.4619402594785076,-0.37626558193009446,20.0,11,15.158038524315675,-37.626558193009444,127
2025-04,-0.5886652510502665,1.4619402594785076,0.8114757683876109,-0.6537851920477076,168.0,42,-44.49323335024138,-65.37851920477075,127
2025-05,0.0296212210226167,0.8114757683876109,0.8358722139356766,-0.6433764884989559,24.0,12,3.0064293351039995,-64.33764884989559,127
2025-06,0.0450640881711668,0.8358722139356766,0.8744016601078846,-0.6269379633738934,28.0,10,4.6094900069465705,-62.693796337389344,127
2025-07,0.0673118605955682,0.8744016601078846,0.9352853744388117,-0.6009620263395843,16.0,10,6.962900130291971,-60.09620263395843,127
2025-08,0.0373515015864081,0.9352853744388117,0.9708803115461401,-0.5857755047023774,24.0,12,3.8057835693930286,-58.57755047023774,127
2025-09,-0.1563496155401721,0.9708803115461401,0.830355217452194,-0.6457303060156486,128.0,32,-14.47398741356265,-64.57303060156487,127
2025-10,0.0405310680585113,0.830355217452194,0.8647017502950736,-0.6310764140138548,16.0,10,4.136366234714117,-63.107641401385486,127
2025-11,0.0369653511357739,0.8647017502950736,0.897263881674717,-0.617183833974748,18.0,12,3.7657066576460396,-61.718383397474796,127
2025-12,0.1002224492842742,0.897263881674717,0.9918505597753049,-0.5768285826300176,16.0,10,10.541678990136628,-57.682858263001755,127
2026-01,0.0328214028166671,0.9918505597753049,1.0249446123344432,-0.5627090592905946,42.0,12,3.3365966508740463,-56.27090592905945,122
2026-02,0.0393504764635437,1.0249446123344432,1.066080726016615,-0.5451584037403059,18.0,12,4.013496259908034,-54.51584037403059,122
2026-03,0.0196311844490422,1.066080726016615,1.0872159291636065,-0.5361411039223363,56.0,20,1.9825143285314484,-53.61411039223363,122
2026-04,0.0291695927649114,1.0872159291636065,1.119396642460807,-0.5224112552836074,24.0,12,2.959919224321639,-52.24112552836074,122
2026-05,0.0168429369990344,1.119396642460807,1.1384102425342328,-0.5142991339432712,24.0,12,1.6985578973711668,-51.42991339432712,122
