month,log_return,first_equity,last_equity,min_drawdown,turnover,orders,return_pct,drawdown_pct,candidate_id
2023-01,0.1688260776650761,1.0,1.1839142118927515,0.0,34.0,10,18.39142118927515,0.0,127
2023-02,0.0415287349587701,1.1839142118927515,1.234115862170461,0.0,30.0,10,4.240311483164905,0.0,139
2023-03,0.131350177760656,1.234115862170461,1.4073450559431595,0.0,50.0,10,14.036704257899846,0.0,139
2023-04,0.0315440069831522,1.4073450559431595,1.452445950029131,0.0,144.0,24,3.2046791862103907,0.0,139
2023-05,0.0456204326476466,1.452445950029131,1.520241843876401,0.0,20.0,10,4.667705111223608,0.0,139
2023-06,0.153468298286167,1.520241843876401,1.7724056148981326,0.0,20.0,10,16.58708264329509,0.0,139
2023-07,-0.4663432155890618,1.7724056148981326,1.11181577563688,-0.37270804927980294,132.0,22,-37.27080492798029,-37.27080492798029,139
2023-08,0.1401339314562753,1.11181577563688,1.2790638512843222,-0.2783458591346004,40.0,10,15.04278670192798,-27.834585913460042,129
2023-09,-0.5128793479013919,1.2790638512843222,0.7658638215260178,-0.5678958500873204,120.0,30,-40.123097001216514,-56.78958500873203,129
2023-10,0.0887719813032639,0.7658638215260178,0.8369600643876614,-0.5277829987941192,32.0,14,9.28314419134999,-52.77829987941192,129
2023-11,0.0348487150839549,0.8369600643876614,0.866641218496119,-0.5110367450816677,48.0,12,3.5463047009504534,-51.103674508166776,129
2023-12,0.1099570985661313,0.866641218496119,0.9673710846661056,-0.45420445718814517,28.0,10,11.623018155631115,-45.42044571881452,129
2024-01,0.0507947341730306,0.9673710846661056,1.017777802249075,-0.42576473822129535,24.0,12,5.210690952207631,-42.576473822129536,129
2024-02,0.0927915399504497,1.017777802249075,1.116739373162569,-0.3699301312432637,40.0,10,9.723298218413646,-36.99301312432637,129
2024-03,0.0630191625858249,1.116739373162569,1.1893801962261972,-0.3289458201730218,28.0,10,6.5047248095060795,-32.894582017302184,129
2024-04,0.0719206141635889,1.1893801962261972,1.2780723191307186,-0.27890528647181323,88.0,22,7.457003503668047,-27.890528647181323,129
2024-05,0.2138238410305888,1.2780723191307186,1.5827704851625395,-0.10699307660819624,16.0,10,23.84044795204243,-10.699307660819624,129
2024-06,0.064902197638796,1.5827704851625395,1.6889026200283734,-0.04711280204027024,48.0,12,6.7054658815510315,-4.711280204027024,129
2024-07,0.1555296889173798,1.6889026200283734,1.9731054451459737,0.0,22.0,10,16.827662042043954,0.0,129
2024-08,0.3684943776181236,1.9731054451459737,2.8522354273331656,0.0,96.0,12,44.55565131351369,0.0,140
2024-09,-0.3277803326812721,2.8522354273331656,2.05509631326162,-0.27947872270027485,360.0,45,-27.947872270027496,-27.947872270027485,140
2024-10,0.0325018123793735,2.05509631326162,2.1229879929306383,-0.255675750821303,88.0,11,3.3035765394989314,-25.5675750821303,140
2024-11,1.472618238791032,2.1229879929306383,9.257580836675602,0.0,96.0,12,336.06373976219015,0.0,140
2024-12,0.0724622124242346,9.257580836675602,9.953308198897744,0.0,192.0,24,7.51521779281572,0.0,140
2025-01,0.2054023217460621,9.953308198897744,12.22285182345817,0.0,80.0,10,22.80190243492872,0.0,140
2025-02,-1.3659333968297185,12.22285182345817,3.118567940830437,-0.7448575843122582,360.0,45,-74.48575843122582,-74.48575843122582,140
2025-03,0.0899012390000928,3.118567940830437,3.4119198615870143,-0.7208572998456187,88.0,11,9.406622729484626,-72.08572998456188,140
2025-04,-1.177330502100533,3.4119198615870143,1.0512128996481418,-0.9139961021510016,336.0,42,-69.18998856089244,-91.39961021510015,140
2025-05,0.2768825492877749,1.0512128996481418,1.3865618437739242,-0.8865598745856653,80.0,10,31.901144310351338,-88.65598745856653,110
2025-06,-0.013081617448801,1.3865618437739242,1.3685414967898424,-0.8880341906654443,96.0,12,-1.299642498096909,-88.80341906654444,110
2025-07,0.1592767003208824,1.3685414967898424,1.6048371258116751,-0.8687019077878648,112.0,14,17.26623778497811,-86.87019077878648,110
2025-08,-0.5374493660870169,1.6048371258116751,0.9376044688559527,-0.9232908585984413,384.0,48,-41.57634729557104,-92.32908585984413,110
2025-09,-0.195078170569827,0.9376044688559527,0.7714331467971782,-0.9368859937157513,304.0,38,-17.72296608841184,-93.68859937157514,110
2025-10,0.150664141289921,0.7714331467971782,0.8968728984940912,-0.9266232699661132,80.0,10,16.26061211107035,-92.66232699661133,110
2025-11,0.2116225892778498,0.8968728984940912,1.1082491925907978,-0.9093297367424646,80.0,10,23.56814376391807,-90.93297367424647,110
2025-12,0.4409944657758285,1.1082491925907978,1.7224986357265033,-0.8590755528574212,80.0,10,55.42521007389598,-85.90755528574212,110
2026-01,0.0162985560502538,1.7224986357265033,1.7508029091141117,-0.8567598679586412,112.0,14,1.6432102064144916,-85.67598679586412,110
2026-02,0.4679044316683854,1.7508029091141117,2.7954103724188033,-0.7712963870629737,80.0,10,59.664480671513864,-77.12963870629737,110
2026-03,0.0088179050891544,2.7954103724188033,2.820169035110365,-0.7692707826419134,112.0,14,0.8856897339956094,-76.92707826419134,110
2026-04,0.0251776125105874,2.820169035110365,2.8920755773232405,-0.7633878231451066,80.0,10,2.549724549048582,-76.33878231451065,110
2026-05,-0.4622103136214936,2.8920755773232405,1.821689056200265,-0.8509603910354154,352.0,44,-37.01101484054824,-85.09603910354154,110
