candidate_id,month,log_return,first_equity,last_equity,min_drawdown,turnover,orders,return_pct,drawdown_pct
0,2020-01,0.03026541476745064,1.0,1.03072806810241,-0.07379524731602505,48.0,12,3.072806810241002,-7.379524731602505
0,2020-02,-1.004038184474322,1.03072806810241,0.3776555396056236,-0.6528022797986031,1020.0,255,-63.36031284168918,-65.2802279798603
0,2020-03,0.09379558093643918,0.36767498866299014,0.4147923734977175,-0.7292940611838099,188.0,47,9.833520231392612,-72.929406118381
0,2020-04,0.2912461358045198,0.4131365179226835,0.5550311431834821,-0.5991799091264918,40.0,10,33.80938962382738,-59.917990912649174
0,2020-05,-1.4929603267779836,0.5528154529454771,0.1247190863655793,-0.8789990393924272,1412.0,353,-77.52935346109942,-87.89990393924272
0,2020-06,0.13660103566847642,0.12238886255699578,0.14297430587312027,-0.8868561718197258,52.0,13,14.63706962543878,-88.68561718197257
0,2020-07,-0.7077978560369249,0.14297430587312027,0.07044745261104972,-0.9338833590433104,780.0,195,-50.72719382630403,-93.38833590433104
0,2020-08,-1.516901521359369,0.06995984994500333,0.01545550974407787,-0.9850052499564392,1212.0,303,-78.06093879730504,-98.50052499564393
0,2020-09,0.12194742560465868,0.01545550974407787,0.017460007555007137,-0.9851084712744611,40.0,10,12.969470720286381,-98.51084712744611
0,2020-10,-0.8196201817669813,0.017460007555007137,0.007692861349321172,-0.992879102754504,812.0,203,-55.940102974844685,-99.2879102754504
0,2020-11,0.007765669818898629,0.007859919338033155,0.007752834133551769,-0.9927483880212333,44.0,11,0.7795900836799818,-99.27483880212333
0,2020-12,-0.8295270681967722,0.007721884737076367,0.003382216970694491,-0.9974841661170889,1200.0,300,-56.37444433311292,-99.74841661170889
0,2021-01,0.015328321906992907,0.003382216970694491,0.003434460057703622,-0.997344167702726,88.0,22,1.544640319109103,-99.7344167702726
0,2021-02,0.02473250423156075,0.0034207496565556352,0.0035204619933518057,-0.9974228062031447,72.0,18,2.504088974779317,-99.74228062031447
0,2021-03,0.1434785676313828,0.0035064082715602738,0.004063606162475077,-0.9965981247818199,40.0,10,15.428207154315254,-99.65981247818199
0,2021-04,-1.3386641405075932,0.004047384203372656,0.001065460027107054,-0.9991938310394582,1212.0,303,-73.78043086591937,-99.91938310394582
0,2021-05,0.039666785866146415,0.0010851532018537353,0.0011085728220014723,-0.9990919080365189,76.0,19,4.046401910681641,-99.9091908036519
0,2021-06,0.13328758372703242,0.0011041473874830814,0.0012666315143195868,-0.999357450121881,320.0,80,14.257853808169575,-99.93574501218811
0,2021-07,0.052287125234001613,0.0012666315143195868,0.0013346220605502104,-0.998822369296203,40.0,10,5.367823669470373,-99.8822369296203
0,2021-08,0.016542236780449793,0.0013346220605502104,0.0013568833124998243,-0.9988902999066606,56.0,14,1.6679817161442845,-99.88902999066606
0,2021-09,0.024823121678314176,0.0013514666198573655,0.001390986919901023,-0.998815387729502,56.0,14,2.5133780544739803,-99.8815387729502
0,2021-10,0.254513773483061,0.0013854340852944103,0.0017941426634137513,-0.9987656448594885,40.0,10,28.983431673204187,-99.87656448594885
0,2021-11,-2.1776237342748512,0.0017941426634137513,0.00020329514262640926,-0.9998027654927447,1368.0,342,-88.66895332394775,-99.98027654927448
0,2021-12,0.16728835052991645,0.00020248358625072995,0.0002403141866486766,-0.9998595916497104,152.0,38,18.209507391080336,-99.98595916497104
0,2022-01,-1.23352820329552,0.00023935484985478515,6.999466150620486e-05,-0.9999459670730632,1332.0,333,-70.87368728317229,-99.99459670730631
0,2022-02,0.11234962926751778,7.021839326824345e-05,7.831730630740578e-05,-0.9999419260232641,132.0,33,11.890399384904526,-99.99419260232642
0,2022-03,0.0395085655895491,7.800466278607676e-05,8.147344751497934e-05,-0.9999270963212,40.0,10,4.0299409624546145,-99.99270963212
0,2022-04,-0.7550092103416177,8.114820464431781e-05,3.829303245720158e-05,-0.9999652010546215,1100.0,275,-52.99937142078521,-99.99652010546215
0,2022-05,0.027240275288445043,3.810385624648437e-05,3.9350482429419e-05,-0.9999755944306947,212.0,53,2.761468351712204,-99.99755944306948
0,2022-06,0.14178377743575424,3.9350482429419e-05,4.5344641562083676e-05,-0.9999633629081957,40.0,10,15.232746239937223,-99.99633629081957
0,2022-07,-1.4806913543748403,4.516362526977497e-05,1.0315015588926092e-05,-0.9999919806612388,1268.0,317,-77.25196355383727,-99.99919806612388
0,2022-08,-1.682958905113544,1.0347676976272789e-05,1.9167705270435133e-06,-0.9999981403722413,1256.0,314,-81.41766718122037,-99.99981403722413
0,2022-09,-1.6381973489873576,1.8872153674401101e-06,3.7248608547435185e-07,-0.9999996386184707,1236.0,309,-80.56699640259832,-99.99996386184708
0,2022-10,-0.008903291436543385,3.7248608547435185e-07,3.6918445280786316e-07,-0.9999996818579174,72.0,18,-0.886377450123288,-99.99996818579174
0,2022-11,0.0340322760306534,3.6918445280786316e-07,3.8196488002958827e-07,-0.9999996923573206,136.0,34,3.4617999551489254,-99.99996923573205
0,2022-12,-0.377485080529898,3.804400721582893e-07,2.618687926091358e-07,-0.9999997459380405,456.0,114,-31.44165699505216,-99.99997459380405
0,2023-01,0.03905223711292581,2.618687926091358e-07,2.7229766481645243e-07,-0.9999997935566421,232.0,58,3.9824799676972944,-99.99997935566421
0,2023-02,-0.8660378398049319,2.7229766481645243e-07,1.1453242653312343e-07,-0.9999998889256205,1000.0,250,-57.93852047526238,-99.99998889256206
0,2023-03,0.017929125153434134,1.1453242653312343e-07,1.166044116794413e-07,-0.9999999170691689,248.0,62,1.8090816802243115,-99.99999170691689
0,2023-04,-0.8717934344492673,1.1613892562547942e-07,4.876406529816094e-08,-0.9999999526896891,784.0,196,-58.17991395365824,-99.99999526896892
0,2023-05,0.027522526302731474,4.876406529816094e-08,5.0124815311915176e-08,-0.9999999528785524,40.0,10,2.790476974047973,-99.99999528785524
0,2023-06,0.04492304125261283,5.0124815311915176e-08,5.242791834685537e-08,-0.9999999606320009,160.0,40,4.594736201243466,-99.99999606320009
0,2023-07,-0.6859666444835413,5.242791834685537e-08,2.640286687056611e-08,-0.9999999743842555,536.0,134,-49.63968110293191,-99.99999743842555
0,2023-08,0.08584483399717624,2.640286687056611e-08,2.8769546998974763e-08,-0.9999999808097711,248.0,62,8.963724053198963,-99.99999808097712
0,2023-09,-0.7202869066359967,2.8654698660786278e-08,1.3999624743207312e-08,-0.999999986677344,472.0,118,-51.33873764606578,-99.9999986677344
0,2023-10,-0.5182192198286264,1.3999624743207312e-08,8.33789932686126e-09,-0.9999999922518262,788.0,197,-40.44197984014504,-99.99999922518262
0,2023-11,-0.8716537939920365,8.292946006742481e-09,3.4874036215863287e-09,-0.999999996698464,868.0,217,-58.174073769967826,-99.99999966984639
