timestamp,close,position,active_position,turnover,order_count,strategy_log_return,window,threshold_bps,equity,drawdown
2024-01-01 00:00:00+00:00,42532.5,6.0,0.0,6.0,1,-0.006,64,100.0,0.9940179640539353,0.0
2024-01-01 00:15:00+00:00,42458.5,6.0,6.0,0.0,0,-0.010448167740030101,64,100.0,0.9836863647567046,-0.01039377523429763
2024-01-01 00:30:00+00:00,42474.5,6.0,6.0,0.0,0,0.0022606054451301816,64,100.0,0.9859126068886461,-0.008154135496940884
2024-01-01 00:45:00+00:00,42503.5,6.0,6.0,0.0,0,0.00409517773434942,64,100.0,0.9899583726552156,-0.0040840221661219145
2024-01-01 01:00:00+00:00,42497.6,6.0,6.0,0.0,0,-0.0008329303987117953,64,100.0,0.9891341495410674,-0.004913205484687655
2024-01-01 01:15:00+00:00,42524.8,6.0,6.0,0.0,0,0.0038389884446417,64,100.0,0.9929387222941789,-0.0010857366755776532
2024-01-01 01:30:00+00:00,42734.3,6.0,6.0,0.0,0,0.02948664787437494,64,100.0,1.022653092414128,0.0
2024-01-01 01:45:00+00:00,42647.9,6.0,6.0,0.0,0,-0.012143050353454754,64,100.0,1.0103100571367212,-0.012069621036659761
2024-01-01 02:00:00+00:00,42593.7,6.0,6.0,0.0,0,-0.007630078361398063,64,100.0,1.0026306467396933,-0.019578922532927256
2024-01-01 02:15:00+00:00,42575.6,6.0,6.0,0.0,0,-0.0025502147284264254,64,100.0,1.000076980879351,-0.022076021382268163
2024-01-01 02:30:00+00:00,42576.2,6.0,6.0,0.0,0,8.455487728653566e-05,64,100.0,1.000161545840886,-0.021993329644314996
2024-01-01 02:45:00+00:00,42620.4,6.0,6.0,0.0,0,0.006225601110685375,64,100.0,1.0064075751413353,-0.01588565799419106
2024-01-01 03:00:00+00:00,42544.2,6.0,6.0,0.0,0,-0.010736858319173592,64,100.0,0.9956597219352127,-0.026395432311453026
2024-01-01 03:15:00+00:00,42466.9,6.0,6.0,0.0,0,-0.010911519268088199,64,100.0,0.9848546189451376,-0.03696118825569805
2024-01-01 03:30:00+00:00,42331.9,6.0,6.0,0.0,0,-0.019104060064748296,64,100.0,0.9662184769296731,-0.05518451555378601
2024-01-01 03:45:00+00:00,42369.8,6.0,6.0,0.0,0,0.005369432140703623,64,100.0,0.9714204748639516,-0.05009774862092675
