month,first_equity,last_equity,min_drawdown,turnover,return_pct,entries,exits,drawdown_pct
2024-01,1.0,1.0,0.0,0.0,0.0,0,0,0.0
2024-02,1.0,1.8455532358719313,-0.17411815494086225,3.0,84.55532358719313,1,0,-17.411815494086223
2024-03,1.8532714535068395,2.9256431701018286,-0.43185353188143105,0.0,57.86371524612876,0,0,-43.185353188143104
2024-04,2.9093159780309277,1.7960575683892872,-0.4795085181253357,0.0,-38.265297343023974,0,0,-47.95085181253357
2024-05,1.7886763246944277,2.484369189521782,-0.5432588300952712,0.0,38.89428485314157,0,0,-54.32588300952712
2024-06,2.488308591713008,1.9905606590167688,-0.48924130077944017,0.0,-20.003464777396363,0,0,-48.924130077944014
2024-07,1.9768821502781713,2.1703806849492535,-0.6089351709654097,0.0,9.788066255940176,0,0,-60.893517096540975
2024-08,2.1741019187705737,1.6484449671364636,-0.6929299113795602,0.0,-24.178119116483842,0,0,-69.29299113795602
2024-09,1.6540727839618827,2.042680664679666,-0.6307050355470121,0.0,23.49400126075336,0,0,-63.070503554701205
2024-10,2.0315115132080304,2.799457301610801,-0.48546536146040653,0.0,37.80169511272329,0,0,-48.54653614604065
2024-11,2.818585224022276,7.228493108372738,-0.24859098781464029,0.0,156.45820629320127,0,0,-24.859098781464027
2024-12,7.263908367518992,6.590496210560049,-0.39238826772507196,0.0,-9.27065875404136,0,0,-39.238826772507196
2025-01,6.6079055597224405,8.638605011533762,-0.4110270958003037,0.0,30.731363114345413,0,0,-41.10270958003037
2025-02,8.663004782318506,4.8225706733027005,-0.6272947651710897,0.0,-44.33143240154115,0,0,-62.72947651710897
2025-03,4.854856004638869,4.523142233240548,-0.6506030310238273,0.0,-6.832618126703749,0,0,-65.06030310238273
2025-04,4.510065191848607,6.71302726248047,-0.6788585742718201,0.0,48.845459587002146,0,0,-67.885857427182
2025-05,6.734124463772948,9.198311677606402,-0.3679161123978134,0.0,36.59254038278996,0,0,-36.79161123978134
2025-06,9.167410999540229,9.8859220593105,-0.31863633826447413,0.0,7.837666052130832,0,0,-31.863633826447412
2025-07,9.93866361120574,12.467280513923649,-0.18127375002394475,0.0,25.442222431866178,0,0,-18.127375002394473
2025-08,12.322693397802253,10.199643336981975,-0.3548526772735612,0.0,-17.228782639345084,0,0,-35.48526772735612
2025-09,10.120360820429733,11.9230840160032,-0.35727154301985253,0.0,17.81283520973236,0,0,-35.72715430198525
2025-10,11.957414838067915,12.325904574800074,-0.3550871383119082,6.0,3.081683973688243,1,1,-35.50871383119082
2025-11,12.368970836730027,21.99795561195966,-0.339468535969084,0.0,77.84790587941302,0,0,-33.9468535969084
2025-12,23.07904089691091,24.105075218572996,-0.36645932441053186,0.0,4.445740731797132,0,0,-36.64593244105318
2026-01,24.02534896966015,33.24344296650363,-0.430177378284731,0.0,38.368200222541326,0,0,-43.0177378284731
2026-02,32.49585078680629,54.043327908289335,-0.40248164279965293,0.0,66.30839507126119,0,0,-40.248164279965295
2026-03,54.17360496149942,51.00315830503353,-0.5010622270542373,0.0,-5.852382647821008,0,0,-50.10622270542373
2026-04,51.53781188389425,36.48185755619152,-0.561926510891759,0.0,-29.213413952499923,0,0,-56.192651089175904
2026-05,36.30529216157091,40.566533910773586,-0.6134979753108892,0.0,11.737246818559388,0,0,-61.349797531088925
2026-06,40.35511194703284,63.2649381922394,-0.4601746861501811,0.0,56.77056794013189,0,0,-46.01746861501811
