year,compounded_return_pct,months,losing_months,entries,exits,min_monthly_return_pct,max_drawdown_pct
2024,558.731270516744,12,4,1,0,-38.265297343023974,-69.29299113795602
2025,248.19574984259222,12,3,1,1,-44.33143240154115,-67.885857427182
2026,168.64159871516227,6,2,0,0,-29.213413952499923,-61.349797531088925
