candidate_id,family,mode,leverage,total_return_pct,annualized_sharpe,max_drawdown_pct,exposure_pct,turnover,trade_count,win_rate_pct,profit_factor,return_2025_pct,return_2026_pct,min_required_year_return_pct,yearly_return_gate_pass,drawdown_review_gate_pass,active_rows,segments,trigger_rows,params_json
alpha_gap_adx_regime_momentum_00e7b1b9d2_lev6.0,gap_adx_regime,momentum,6.0,400145.24044678715,2.633822731586398,-90.57079606746352,95.24486681465038,18.0,2,50.01395919060971,1.0200048042484609,1237.767844423125,588.8254651367007,588.8254651367007,True,False,82384,2,5285,"{""adx_min"": 36.0, ""family"": ""gap_adx_regime"", ""gap_min"": 100.0, ""mode"": ""momentum""}"
alpha_gap_adx_regime_momentum_28d5ca72c2_lev6.0,gap_adx_regime,momentum,6.0,400145.24044678715,2.633822731586398,-90.57079606746352,95.24486681465038,18.0,2,50.01395919060971,1.0200048042484609,1237.767844423125,588.8254651367007,588.8254651367007,True,False,82384,2,5042,"{""adx_min"": 36.0, ""family"": ""gap_adx_regime"", ""gap_min"": 200.0, ""mode"": ""momentum""}"
alpha_gap_adx_regime_momentum_0a3efc88a9_lev6.0,gap_adx_regime,momentum,6.0,380895.31307776517,2.618189995975681,-90.57079606746352,95.24486681465038,18.0,2,50.02366993190343,1.0198847974176823,1173.4274569821355,588.8254651367007,588.8254651367007,True,False,82384,2,4450,"{""adx_min"": 36.0, ""family"": ""gap_adx_regime"", ""gap_min"": 350.0, ""mode"": ""momentum""}"
alpha_gap_adx_regime_momentum_8665257d1c_lev6.0,gap_adx_regime,momentum,6.0,261089.07624108985,2.4983046669666913,-90.57079606746352,95.24486681465038,18.0,2,50.03216683053543,1.0189661619861672,772.9906372399806,588.8254651367007,588.8254651367007,True,False,82384,2,3490,"{""adx_min"": 36.0, ""family"": ""gap_adx_regime"", ""gap_min"": 500.0, ""mode"": ""momentum""}"
alpha_gap_adx_regime_momentum_824339506a_lev5.0,gap_adx_regime,momentum,5.0,100347.34917984395,2.633822731586398,-86.02358276038856,95.24486681465038,15.0,2,50.01395919060971,1.020004804248461,768.2616660897871,399.3721619328011,399.3721619328011,True,False,82384,2,5300,"{""adx_min"": 36.0, ""family"": ""gap_adx_regime"", ""gap_min"": 50.0, ""mode"": ""momentum""}"
alpha_gap_adx_regime_momentum_00e7b1b9d2_lev5.0,gap_adx_regime,momentum,5.0,100347.34917984395,2.633822731586398,-86.02358276038856,95.24486681465038,15.0,2,50.01395919060971,1.020004804248461,768.2616660897871,399.3721619328011,399.3721619328011,True,False,82384,2,5285,"{""adx_min"": 36.0, ""family"": ""gap_adx_regime"", ""gap_min"": 100.0, ""mode"": ""momentum""}"
alpha_gap_adx_regime_momentum_28d5ca72c2_lev5.0,gap_adx_regime,momentum,5.0,100347.34917984395,2.633822731586398,-86.02358276038856,95.24486681465038,15.0,2,50.01395919060971,1.020004804248461,768.2616660897871,399.3721619328011,399.3721619328011,True,False,82384,2,5042,"{""adx_min"": 36.0, ""family"": ""gap_adx_regime"", ""gap_min"": 200.0, ""mode"": ""momentum""}"
alpha_gap_adx_regime_momentum_0a3efc88a9_lev5.0,gap_adx_regime,momentum,5.0,96305.03003252667,2.618189995975681,-86.02358276038856,95.24486681465038,15.0,2,50.02366993190343,1.0198847974176826,733.3200694585779,399.3721619328011,399.3721619328011,True,False,82384,2,4450,"{""adx_min"": 36.0, ""family"": ""gap_adx_regime"", ""gap_min"": 350.0, ""mode"": ""momentum""}"
alpha_gap_adx_regime_momentum_8665257d1c_lev5.0,gap_adx_regime,momentum,5.0,70282.14651842133,2.498304666966691,-86.02358276038856,95.24486681465038,15.0,2,50.03216683053543,1.0189661619861672,508.37961676466585,399.3721619328011,399.3721619328011,True,False,82384,2,3490,"{""adx_min"": 36.0, ""family"": ""gap_adx_regime"", ""gap_min"": 500.0, ""mode"": ""momentum""}"
alpha_rsi_regime_momentum_d18a1c6986_lev6.0,rsi_regime,momentum,6.0,81551.07402549917,2.0647631806428377,-93.62992561839052,99.98265815760267,1950.0,163,50.19484048519328,1.0153125279713096,350.9653848831694,995.8421484218588,350.9653848831694,True,False,86482,163,1879,"{""family"": ""rsi_regime"", ""high"": 75.0, ""low"": 20.0, ""mode"": ""momentum""}"
alpha_gap_adx_regime_momentum_824339506a_lev4.0,gap_adx_regime,momentum,4.0,25108.71939912285,2.6338227315863985,-79.28348562049172,95.24486681465038,12.0,2,50.01395919060971,1.020004804248461,463.53449063959386,262.0257506942641,262.0257506942641,True,False,82384,2,5300,"{""adx_min"": 36.0, ""family"": ""gap_adx_regime"", ""gap_min"": 50.0, ""mode"": ""momentum""}"
alpha_gap_adx_regime_momentum_00e7b1b9d2_lev4.0,gap_adx_regime,momentum,4.0,25108.71939912285,2.6338227315863985,-79.28348562049172,95.24486681465038,12.0,2,50.01395919060971,1.020004804248461,463.53449063959386,262.0257506942641,262.0257506942641,True,False,82384,2,5285,"{""adx_min"": 36.0, ""family"": ""gap_adx_regime"", ""gap_min"": 100.0, ""mode"": ""momentum""}"
alpha_gap_adx_regime_momentum_28d5ca72c2_lev4.0,gap_adx_regime,momentum,4.0,25108.71939912285,2.6338227315863985,-79.28348562049172,95.24486681465038,12.0,2,50.01395919060971,1.020004804248461,463.53449063959386,262.0257506942641,262.0257506942641,True,False,82384,2,5042,"{""adx_min"": 36.0, ""family"": ""gap_adx_regime"", ""gap_min"": 200.0, ""mode"": ""momentum""}"
alpha_gap_adx_regime_momentum_0a3efc88a9_lev4.0,gap_adx_regime,momentum,4.0,24293.81666008946,2.618189995975681,-79.28348562049172,95.24486681465038,12.0,2,50.02366993190343,1.0198847974176826,445.317547815518,262.0257506942641,262.0257506942641,True,False,82384,2,4450,"{""adx_min"": 36.0, ""family"": ""gap_adx_regime"", ""gap_min"": 350.0, ""mode"": ""momentum""}"
alpha_gap_adx_regime_momentum_8665257d1c_lev4.0,gap_adx_regime,momentum,4.0,18865.74933313095,2.4983046669666913,-79.28348562049172,95.24486681465038,12.0,2,50.03216683053543,1.0189661619861672,323.9744875900382,262.0257506942641,262.0257506942641,True,False,82384,2,3490,"{""adx_min"": 36.0, ""family"": ""gap_adx_regime"", ""gap_min"": 500.0, ""mode"": ""momentum""}"
alpha_rsi_regime_momentum_d18a1c6986_lev5.0,rsi_regime,momentum,5.0,26607.603379208722,2.064763180642837,-89.92015734418321,99.98265815760267,1625.0,163,50.19484048519328,1.0153125279713096,250.84827025375094,635.2866263184376,250.84827025375094,True,False,86482,163,1879,"{""family"": ""rsi_regime"", ""high"": 75.0, ""low"": 20.0, ""mode"": ""momentum""}"
alpha_long_return_regime_momentum_b1f3b32f02_lev8.0,long_return_regime,momentum,8.0,2477.1474059661177,0.7650335590459856,-99.79779615508181,98.37795967443581,232.0,15,49.968857602858044,1.0056733272214178,217.80166095180644,276.8224509246416,217.80166095180644,True,False,85094,15,1732,"{""family"": ""long_return_regime"", ""mode"": ""momentum"", ""threshold_bps"": 1200.0, ""window"": 384}"
alpha_donchian_regime_breakout_f4137520bc_lev8.0,donchian_regime,breakout,8.0,6028.045568862857,0.9775963417258173,-99.64275513650134,95.70847206807251,472.0,30,50.02899110939312,1.0073645402593885,212.96608733202672,265.1613006448966,212.96608733202672,True,False,82785,30,42018,"{""family"": ""donchian_regime"", ""high_band"": 0.75, ""low_band"": 0.25, ""mode"": ""breakout"", ""window"": 2688}"
alpha_long_return_regime_fade_32b6ea1d69_lev8.0,long_return_regime,fade,8.0,130.93005837210495,0.19845221552260686,-99.21698346705993,96.78019792822789,872.0,55,50.05196449690005,1.001487882492155,361.23924660825287,203.92254980540474,203.92254980540474,True,False,83712,55,60799,"{""family"": ""long_return_regime"", ""mode"": ""fade"", ""threshold_bps"": 350.0, ""window"": 2688}"
alpha_rsi_regime_momentum_d18a1c6986_lev4.0,rsi_regime,momentum,4.0,8635.905642078244,2.0647631806428373,-84.04991498068625,99.98265815760267,1300.0,163,50.19484048519328,1.0153125279713098,172.95777650858733,393.3615882737712,172.95777650858733,True,False,86482,163,1879,"{""family"": ""rsi_regime"", ""high"": 75.0, ""low"": 20.0, ""mode"": ""momentum""}"
