oracle_id,family_filter,leaky_oracle,requires_monthly_orders_ge_10_at_selection,months_without_order_floor_candidate,hard_pass_original_2025_2026_ytd,hard_pass_complete_years,non_positive_months,total_eval_return_pct,return_2023_pct,return_2024_pct,return_2025_pct,return_2026_ytd_pct,min_complete_year_return_pct,min_target_year_return_pct,losing_eval_months,min_monthly_return_pct,min_monthly_orders,orders,turnover,cost_log,worst_selected_month_drawdown_pct,selected_candidate_count
monthly_oracle_best_return,all,True,False,0,False,False,"['2024-04', '2025-10']",139466.44285558985,702.7306925729528,1007.9101065498536,508.52642479418535,157.8856491356203,508.52642479418535,157.8856491356203,2,-1.3674680289435082,4,1879,7522.0,7.522,-99.99999999999892,31
monthly_oracle_best_return_order10,all,True,True,0,False,False,"['2024-04', '2025-10']",134981.84875914681,702.7306925729528,981.506129993024,503.3522918222101,157.8856491356203,503.3522918222101,157.8856491356203,2,-1.3674680289435082,12,2045,7936.0,7.936,-99.99999999999892,30
trend_oracle_order10,event_trend,True,True,0,False,False,"['2023-09', '2023-11', '2024-04', '2025-04', '2025-05', '2025-10', '2025-12']",41060.47088507743,449.0514776729087,601.9152879789749,318.0141929526332,155.50037417050407,318.0141929526332,155.50037417050407,7,-4.304867878554064,10,2158,7810.0,7.8100000000000005,-100.0,28
range_oracle_order10,event_range,True,True,0,False,False,"['2023-12', '2024-04', '2024-06', '2024-07', '2025-06', '2025-08', '2025-10', '2026-04']",3699.228334396797,145.68446536935954,220.14867094254592,188.1573616085957,67.62402946290452,145.68446536935954,67.62402946290452,8,-1.3674680289435082,10,1468,5457.0,5.457000000000001,-99.99999999999999,26
volume_oracle_order10,event_volume,True,True,0,False,False,"['2023-02', '2023-04', '2023-05', '2023-06', '2023-07', '2023-09', '2023-10', '2023-11', '2023-12', '2024-01', '2024-03', '2024-04', '2024-05', '2024-06', '2024-07', '2024-09', '2024-10', '2024-11', '2024-12', '2025-01', '2025-05', '2025-07', '2025-08', '2025-09', '2025-10', '2025-11', '2025-12', '2026-03', '2026-04', '2026-05']",-48.0313809643363,-24.85872867912835,-26.8594269764609,-8.613911625517101,3.472320972288334,-26.8594269764609,-8.613911625517101,30,-12.192434744958403,26,3338,4258.0,4.258,-99.99999962077143,22
