selector_id,family_filter,selection_mode,selected_candidate_count,hard_pass_original_2025_2026_ytd,hard_pass_complete_years,non_positive_months,total_eval_return_pct,return_2023_pct,return_2024_pct,return_2025_pct,return_2026_ytd_pct,min_complete_year_return_pct,min_target_year_return_pct,losing_eval_months,min_monthly_return_pct,min_monthly_orders,orders,turnover,cost_log,worst_selected_month_drawdown_pct
range_events,event_range,hard_guard,2,False,False,"['2023-01', '2023-03', '2023-05', '2023-07', '2023-11', '2023-12', '2024-01', '2024-02', '2024-04', '2024-05', '2024-06', '2024-07', '2024-08', '2024-09', '2024-10', '2025-01', '2025-03', '2025-06', '2025-08', '2025-09', '2025-10', '2025-11', '2026-01', '2026-02', '2026-03', '2026-04', '2026-05']",-22.69452849984551,-2.1748261781703637,-8.693811668622997,-6.488155359917879,-7.446516784486579,-8.693811668622997,-7.446516784486579,27,-5.743474682008087,2,394,414.0,0.41400000000000003,-24.122007846214068
all_events,all,hard_guard,3,False,False,"['2023-02', '2023-03', '2023-04', '2023-06', '2023-07', '2023-09', '2023-10', '2023-11', '2023-12', '2024-01', '2024-03', '2024-04', '2024-06', '2024-07', '2024-08', '2024-09', '2024-10', '2024-12', '2025-01', '2025-03', '2025-06', '2025-08', '2025-09', '2025-10', '2025-11', '2026-01', '2026-02', '2026-03', '2026-04', '2026-05']",-45.22939466988001,-4.663339927847443,-33.621380559698366,-6.488155359917879,-7.446516784486579,-33.621380559698366,-7.446516784486579,30,-11.130241508159921,2,695,704.0,0.704,-48.19734381249686
trend_events,event_trend,hard_guard,1,False,False,"['2023-02', '2023-03', '2023-04', '2023-06', '2023-07', '2023-09', '2023-10', '2023-11', '2023-12', '2024-03', '2024-04', '2024-06', '2024-07', '2024-08', '2024-09', '2024-10', '2024-12', '2025-01', '2025-02', '2025-03', '2025-04', '2025-05', '2025-06', '2025-08', '2025-09', '2025-10', '2025-11', '2025-12', '2026-01', '2026-02', '2026-03', '2026-04']",-62.39384368390586,-7.946199239835627,-27.189782724504784,-39.512017435921805,-7.241056081716235,-39.512017435921805,-39.512017435921805,32,-14.096874909209056,0,999,1000.0,1.0,-65.10202925875379
return_first_all,all,return_first,2,False,False,"['2023-02', '2023-03', '2023-04', '2023-06', '2023-07', '2023-09', '2023-10', '2023-11', '2023-12', '2024-03', '2024-04', '2024-06', '2024-07', '2024-08', '2024-09', '2024-10', '2024-12', '2025-01', '2025-02', '2025-03', '2025-04', '2025-05', '2025-06', '2025-08', '2025-09', '2025-10', '2025-11', '2025-12', '2026-01', '2026-02', '2026-03', '2026-04']",-62.6222905286103,-7.946199239835627,-27.189782724504784,-39.512017435921805,-7.804540631377055,-39.512017435921805,-39.512017435921805,32,-14.096874909209056,0,985,986.0,0.986,-64.59673223757598
min10_return_first_all,all,min10_return_first,2,False,False,"['2023-01', '2023-02', '2023-03', '2023-04', '2023-05', '2023-06', '2023-07', '2023-08', '2023-09', '2023-11', '2023-12', '2024-03', '2024-04', '2024-05', '2024-06', '2024-07', '2024-08', '2024-09', '2024-10', '2024-11', '2024-12', '2025-01', '2025-02', '2025-04', '2025-05', '2025-06', '2025-08', '2025-09', '2025-10', '2025-11', '2025-12', '2026-01', '2026-02', '2026-03', '2026-04', '2026-05']",-85.79051532952276,-33.52792497600737,-40.49284329978874,-54.09453761404362,-21.74618385044893,-54.09453761404362,-54.09453761404362,36,-15.353556641749256,12,2015,2018.0,2.0180000000000002,-85.89992414314997
