oracle_id,year,log_return,cost_log,turnover,orders_sum,months,losing_months,min_monthly_return_pct,min_monthly_orders,max_drawdown_pct,compounded_return_pct
monthly_oracle_best_return,2023,2.0828490950858756,2.36,2360.0,577,12,0,1.7504838617091067,12,-99.99999999997571,702.7306925729528
monthly_oracle_best_return,2024,2.4050605467551227,2.354,2354.0,616,12,1,-1.3674680289435082,6,-99.99999999992255,1007.9101065498536
monthly_oracle_best_return,2025,1.8058701516168756,2.084,2084.0,505,12,1,-0.24663604849729515,4,-99.99999999999892,508.52642479418535
monthly_oracle_best_return,2026,0.9473460802777576,0.724,724.0,181,5,0,5.764927029190381,18,-99.99999999208521,157.8856491356203
monthly_oracle_best_return_order10,2023,2.0828490950858756,2.36,2360.0,577,12,0,1.7504838617091067,12,-99.99999999997571,702.7306925729528
monthly_oracle_best_return_order10,2024,2.3809397274361377,2.618,2618.0,682,12,1,-1.3674680289435082,12,-99.99999999992255,981.506129993024
monthly_oracle_best_return_order10,2025,1.7973310720197215,2.234,2234.0,605,12,1,-0.30429210746433233,14,-99.99999999999892,503.3522918222101
monthly_oracle_best_return_order10,2026,0.9473460802777576,0.724,724.0,181,5,0,5.764927029190381,18,-99.99999999208521,157.8856491356203
trend_oracle_order10,2023,1.70302201737868,1.9140000000000001,1914.0,496,12,2,-1.0948756465398946,12,-99.99999999997571,449.0514776729087
trend_oracle_order10,2024,1.948642538361598,3.584,3584.0,942,12,1,-4.304867878554064,26,-100.0,601.9152879789749
trend_oracle_order10,2025,1.4303452003923631,1.6440000000000001,1644.0,553,12,4,-0.7360274146942292,12,-99.99999999999892,318.0141929526332
trend_oracle_order10,2026,0.9380536881184077,0.668,668.0,167,5,0,4.786670063455167,10,-99.99999999208521,155.50037417050407
range_oracle_order10,2023,0.898877865530261,1.741,1741.0,434,12,1,-0.060321124734008524,10,-99.99999996985312,145.68446536935954
range_oracle_order10,2024,1.1636152986095083,1.568,1568.0,469,12,3,-1.3674680289435082,12,-99.99999701017043,220.14867094254592
range_oracle_order10,2025,1.0583365394030368,1.214,1214.0,343,12,3,-0.9165069316129704,10,-99.99999999907247,188.1573616085957
range_oracle_order10,2026,0.5165533656665168,0.934,934.0,222,5,1,-0.8212379244095347,10,-99.99999999999999,67.62402946290452
volume_oracle_order10,2023,-0.28580022662325333,1.051,1051.0,810,12,9,-12.192434744958403,28,-99.99999413978496,-24.85872867912835
volume_oracle_order10,2024,-0.31278693868530844,1.478,1478.0,1270,12,10,-10.62985976581019,84,-99.99984170685545,-26.8594269764609
volume_oracle_order10,2025,-0.09007692508094946,1.133,1133.0,847,12,8,-9.621291117521501,26,-99.99998932808522,-8.613911625517101
volume_oracle_order10,2026,0.03413396073205816,0.5960000000000001,596.0,411,5,3,-3.3320556981036864,34,-99.99999962077143,3.472320972288334
