cost_per_side,round_trip_cost,extra_delay_bars,hard_pass,return_2025_pct,return_2026_pct,min_required_year_return_pct,min_monthly_return_pct,losing_eval_months,min_monthly_orders,total_return_pct,max_drawdown_pct,exposure_pct,turnover,orders,strong_trend_reverse_active_bars,strong_trend_reverse_big_active_bars,weak_trend_order_events,weak_trend_big_order_events,adverse_shock_cut_events,guard_reason_counts,strong_trend_flat_bars,post_lock_runner_bars
0.001,0.002,0,True,352.49291876815977,259.39188963556205,259.39188963556205,5.11302387708088,0,11,1526.2228512280008,-29.40311707059141,29.443146417445483,819.4000000000001,254,1,1,94,0,1,"{'post_lock_flat': 36238, 'main': 12440, 'post_lock_runner': 1560, 'strong_conflict_small_trend': 1037, 'weak_new_order_small': 83, 'adverse_shock_cut': 1, 'shock_cooldown_small': 1}",152,1560
0.001,0.002,1,True,262.69470003202855,284.6340037716597,262.69470003202855,1.970797341049324,0,11,1295.047146200803,-33.51202492292508,29.659267912772584,807.4,254,1,1,94,0,1,"{'post_lock_flat': 36127, 'main': 12552, 'post_lock_runner': 1558, 'strong_conflict_small_trend': 1038, 'weak_new_order_small': 83, 'adverse_shock_cut': 1, 'shock_cooldown_small': 1}",152,1558
0.001,0.002,2,True,267.792120284539,270.181505412666,267.792120284539,4.485444845991315,0,11,1261.4984076584715,-33.44708586754266,29.47429906542056,851.0,254,1,1,95,0,3,"{'post_lock_flat': 36222, 'main': 12454, 'post_lock_runner': 1556, 'strong_conflict_small_trend': 1039, 'weak_new_order_small': 83, 'adverse_shock_cut': 3, 'shock_cooldown_small': 3}",152,1556
0.0015,0.003,0,True,326.3648399955023,210.91638190064558,210.91638190064558,2.4794656753705846,0,11,1225.6381342104878,-31.421025582351113,29.87733644859813,867.0,256,1,1,95,0,1,"{'post_lock_flat': 36015, 'main': 12662, 'post_lock_runner': 1560, 'strong_conflict_small_trend': 1037, 'weak_new_order_small': 84, 'adverse_shock_cut': 1, 'shock_cooldown_small': 1}",152,1560
0.0015,0.003,1,True,325.7190496148427,242.40569116491292,242.40569116491292,2.202567110114373,0,11,1357.6862542543963,-35.412486321084145,29.633956386292837,831.4,254,1,1,94,0,1,"{'post_lock_flat': 36140, 'main': 12539, 'post_lock_runner': 1558, 'strong_conflict_small_trend': 1038, 'weak_new_order_small': 83, 'adverse_shock_cut': 1, 'shock_cooldown_small': 1}",152,1558
0.0015,0.003,2,True,292.7030774367634,231.1533648659864,231.1533648659864,0.9748663755731579,0,11,1200.4494548641176,-35.95988455036684,30.146028037383175,944.6,258,1,1,96,0,3,"{'post_lock_flat': 35877, 'main': 12798, 'post_lock_runner': 1556, 'strong_conflict_small_trend': 1039, 'weak_new_order_small': 84, 'adverse_shock_cut': 3, 'shock_cooldown_small': 3}",152,1556
0.002,0.004,0,True,243.143085535928,205.6168935283977,205.6168935283977,2.4341975402989435,0,11,948.7032383723958,-41.084754089150785,30.924844236760123,960.6,260,1,1,96,0,1,"{'post_lock_flat': 35477, 'main': 13199, 'post_lock_runner': 1560, 'strong_conflict_small_trend': 1037, 'weak_new_order_small': 85, 'adverse_shock_cut': 1, 'shock_cooldown_small': 1}",152,1560
0.002,0.004,1,True,232.3510643981749,205.38484705462844,205.38484705462844,0.2853393237929769,0,11,914.9497896967982,-40.87264826052931,30.71651090342679,941.0,260,1,1,96,0,1,"{'post_lock_flat': 35584, 'main': 13093, 'post_lock_runner': 1558, 'strong_conflict_small_trend': 1038, 'weak_new_order_small': 85, 'adverse_shock_cut': 1, 'shock_cooldown_small': 1}",152,1558
0.002,0.004,2,True,212.46614116156422,180.59282925814549,180.59282925814549,1.3982621677866458,0,11,776.7575859589838,-37.97672666991856,30.307632398753892,944.6,258,1,1,95,0,3,"{'post_lock_flat': 35794, 'main': 12881, 'post_lock_runner': 1556, 'strong_conflict_small_trend': 1039, 'weak_new_order_small': 84, 'adverse_shock_cut': 3, 'shock_cooldown_small': 3}",152,1556
