year,log_return,compounded_return_pct,months,losing_months,min_monthly_return_pct,min_monthly_orders,orders_sum,max_drawdown_pct
2025,-8.008336612057603,-99.96673223690371,12,11,-91.97823226461286,30,877,-99.9862349322531
2026,-0.11866410779286862,-11.189394142791064,6,2,-65.69071111926954,18,324,-99.99459477010775
