year,log_return,compounded_return_pct,months,losing_months,min_monthly_return_pct,min_monthly_orders,orders_sum,max_drawdown_pct
2025,-8.62694326185649,-99.98207883882581,12,10,-89.47666077759662,30,877,-99.99016354965875
2026,0.8388766570375715,131.37663632032792,6,3,-59.2330123463575,22,328,-99.99582705612754
