candidate_id,family,rule,direction,leverage,threshold_bps,hard_pass_complete_years,non_positive_months,total_eval_return_pct,return_2023_pct,return_2024_pct,return_2025_pct,return_2026_ytd_pct,min_complete_year_return_pct,losing_eval_months,min_monthly_return_pct,min_monthly_orders,orders,turnover,cost_log,worst_selected_month_drawdown_pct,selected_candidate_count,window,z_threshold
funding_level_funding_level_contrarian_lev4p0_threshold_bps0p5,funding_level,funding_level,contrarian,4.0,0.5,False,"['2023-01', '2023-02', '2023-03', '2023-05', '2023-06', '2023-09', '2023-10', '2023-11', '2023-12', '2024-01', '2024-02', '2024-03', '2024-07', '2024-10', '2024-11', '2025-01', '2025-03', '2025-04', '2025-05', '2025-07', '2025-08', '2025-09', '2025-10', '2025-12', '2026-04']",-99.59350038347594,-92.03412765430026,-87.41789895149374,-55.84389416445108,-8.149216893635314,-92.03412765430026,25,-74.61436847400282,0,931,3768.0,3.7680000000000002,-99.84867665681678,1,,
funding_mean_funding_mean_contrarian_lev4p0_window21_threshold_bps0p5,funding_mean,funding_mean,contrarian,4.0,0.5,False,"['2023-01', '2023-02', '2023-03', '2023-09', '2023-10', '2023-11', '2023-12', '2024-01', '2024-02', '2024-03', '2024-05', '2024-07', '2024-09', '2024-10', '2024-11', '2025-01', '2025-02', '2025-03', '2025-04', '2025-05', '2025-06', '2025-09', '2026-01', '2026-02', '2026-03']",-97.2391985448409,-47.75404521154765,-95.46786464154984,18.400112879325437,-1.5246537959077933,-95.46786464154984,25,-76.61553016430042,0,100,400.0,0.4,-99.3810407461007,1,21.0,
funding_change_funding_change_contrarian_lev1p0_window3_threshold_bps1p0,funding_change,funding_change,contrarian,1.0,1.0,False,"['2023-01', '2023-04', '2023-05', '2023-07', '2023-08', '2023-09', '2023-10', '2023-12', '2024-01', '2024-02', '2024-06', '2024-08', '2024-09', '2024-10', '2025-01', '2025-02', '2025-03', '2025-06', '2025-07', '2025-08', '2025-11', '2025-12', '2026-01', '2026-03', '2026-04', '2026-05']",14.925810294844366,-0.24271656629701877,21.01076213217803,-13.884335057251151,10.552051194393863,-13.884335057251151,26,-7.201353837813917,0,311,328.0,0.32799999999999996,-56.12070151313168,1,3.0,
funding_zscore_funding_zscore_momentum_lev1p0_window21_z_threshold2p0,funding_zscore,funding_zscore,momentum,1.0,,False,"['2023-01', '2023-02', '2023-03', '2023-04', '2023-08', '2023-10', '2023-11', '2024-03', '2024-04', '2024-05', '2024-07', '2024-08', '2024-09', '2024-10', '2024-11', '2024-12', '2025-01', '2025-03', '2025-04', '2025-06', '2025-08', '2025-09', '2025-10', '2025-12', '2026-02', '2026-04']",-32.434868770734084,-7.147189371267615,-17.229034345169026,-9.658079837116096,-2.6893818357698884,-17.229034345169026,26,-7.759098416264831,2,340,340.0,0.33999999999999997,-73.52301244494898,1,21.0,2.0
funding_zscore_funding_zscore_contrarian_lev1p0_window21_z_threshold2p0,funding_zscore,funding_zscore,contrarian,1.0,,False,"['2023-04', '2023-05', '2023-06', '2023-07', '2023-08', '2023-09', '2023-11', '2023-12', '2024-01', '2024-02', '2024-06', '2024-09', '2025-01', '2025-02', '2025-03', '2025-05', '2025-07', '2025-08', '2025-09', '2025-10', '2025-11', '2025-12', '2026-01', '2026-03', '2026-04', '2026-05']",-25.017981442749292,-11.47147521845473,-2.6548385053844714,-10.09632790098407,-3.2207839852746,-11.47147521845473,26,-8.06388871831839,2,340,340.0,0.33999999999999997,-39.53669229244958,1,21.0,2.0
funding_zscore_funding_zscore_contrarian_lev1p0_window9_z_threshold1p5,funding_zscore,funding_zscore,contrarian,1.0,,False,"['2023-01', '2023-03', '2023-04', '2023-05', '2023-07', '2023-08', '2023-09', '2023-10', '2023-11', '2023-12', '2024-01', '2024-02', '2024-06', '2024-08', '2024-09', '2024-10', '2024-11', '2025-01', '2025-02', '2025-05', '2025-08', '2025-11', '2026-02', '2026-03', '2026-04', '2026-05']",-63.620713435593835,-29.82723266468781,-13.539976066235015,-19.023710065304268,-25.952167974715334,-29.82723266468781,26,-11.882515354400391,4,856,872.0,0.8720000000000001,-82.57088822990238,1,9.0,1.5
funding_change_funding_change_contrarian_lev1p0_window9_threshold_bps1p0,funding_change,funding_change,contrarian,1.0,1.0,False,"['2023-01', '2023-04', '2023-05', '2023-07', '2023-08', '2023-09', '2023-10', '2023-12', '2024-01', '2024-02', '2024-06', '2024-07', '2024-09', '2024-10', '2025-01', '2025-02', '2025-06', '2025-07', '2025-08', '2025-09', '2025-10', '2025-11', '2025-12', '2026-01', '2026-03', '2026-04']",5.425752126877681,15.003484037386826,5.3201587322038835,-13.352170275661246,0.4538337983585494,-13.352170275661246,26,-12.361244145932094,0,397,404.0,0.404,-54.14296113867935,1,9.0,
funding_change_funding_change_contrarian_lev2p0_window3_threshold_bps1p0,funding_change,funding_change,contrarian,2.0,1.0,False,"['2023-01', '2023-04', '2023-05', '2023-07', '2023-08', '2023-09', '2023-10', '2023-12', '2024-01', '2024-02', '2024-06', '2024-08', '2024-09', '2024-10', '2025-01', '2025-02', '2025-03', '2025-06', '2025-07', '2025-08', '2025-11', '2025-12', '2026-01', '2026-03', '2026-04', '2026-05']",32.07941871926556,-0.4848440192784742,46.43604551810574,-25.840922514682173,22.217560232878817,-25.840922514682173,26,-13.88411270465385,0,311,656.0,0.6559999999999999,-80.74607164300316,1,3.0,
funding_zscore_funding_zscore_momentum_lev2p0_window21_z_threshold2p0,funding_zscore,funding_zscore,momentum,2.0,,False,"['2023-01', '2023-02', '2023-03', '2023-04', '2023-08', '2023-10', '2023-11', '2024-03', '2024-04', '2024-05', '2024-07', '2024-08', '2024-09', '2024-10', '2024-11', '2024-12', '2025-01', '2025-03', '2025-04', '2025-06', '2025-08', '2025-09', '2025-10', '2025-12', '2026-02', '2026-04']",-54.34953041972076,-13.783555583447615,-31.489672445667914,-18.383374612831105,-5.306435924954089,-31.489672445667914,26,-14.916160750196827,2,340,680.0,0.6799999999999999,-92.98969130009674,1,21.0,2.0
funding_zscore_funding_zscore_contrarian_lev2p0_window21_z_threshold2p0,funding_zscore,funding_zscore,contrarian,2.0,,False,"['2023-04', '2023-05', '2023-06', '2023-07', '2023-08', '2023-09', '2023-11', '2023-12', '2024-01', '2024-02', '2024-06', '2024-09', '2025-01', '2025-02', '2025-03', '2025-05', '2025-07', '2025-08', '2025-09', '2025-10', '2025-11', '2025-12', '2026-01', '2026-03', '2026-04', '2026-05']",-43.77696893080112,-21.627003000033252,-5.2391953358722265,-19.173297431126247,-6.337833475751187,-21.627003000033252,26,-15.477514424022566,2,340,680.0,0.6799999999999999,-63.441884210620735,1,21.0,2.0
