oracle_id,year,log_return,cost_log,turnover,orders_sum,months,losing_months,min_monthly_return_pct,min_monthly_orders,max_drawdown_pct,compounded_return_pct
monthly_oracle_best_return,2023,6.834455338174099,0.41600000000000004,416.0,98,12,0,22.378379185282583,0,-99.99991090850743,92832.20466130327
monthly_oracle_best_return,2024,7.998406087089066,0.68,680.0,163,12,0,32.16871113844317,0,-99.99997008975095,297521.03842570476
monthly_oracle_best_return,2025,4.386311989369893,1.22,1220.0,290,12,0,9.669163545360293,0,-99.99999522621546,7934.356399669934
monthly_oracle_best_return,2026,2.0556147083897462,0.348,348.0,85,5,0,16.96521826940478,1,-99.99999921303824,681.1638276646747
monthly_oracle_best_return_order10,2023,5.156945302130013,1.28,1280.0,301,12,0,18.831685177617263,10,-99.99988937288073,17263.324756664457
monthly_oracle_best_return_order10,2024,6.1217734127019705,1.036,1036.0,250,12,0,18.22460861537083,10,-99.99997008975095,45467.20730224924
monthly_oracle_best_return_order10,2025,4.23425368023755,1.476,1476.0,353,12,0,5.426834513983736,10,-99.99999522621546,6801.015586650978
monthly_oracle_best_return_order10,2026,2.0132178883785796,0.508,508.0,125,5,0,16.96521826940478,12,-99.99999921303824,648.7372151557389
funding_level_oracle_order10,2023,2.778533210745394,0.66,660.0,189,12,2,-0.8161034566403824,0,-99.99993875729245,1509.5395072632155
funding_level_oracle_order10,2024,2.928247953246575,0.786,786.0,213,12,2,-0.654010427648144,10,-99.99992368607921,1769.4847539484795
funding_level_oracle_order10,2025,2.550371955378842,1.127,1127.0,333,12,3,-1.95528359779511,7,-99.9998800448054,1181.1868339848786
funding_level_oracle_order10,2026,0.8555844298853339,0.5880000000000001,588.0,146,5,0,4.828853276871348,16,-99.99998624758007,135.27489956784663
funding_change_oracle_order10,2023,2.064787702779672,0.544,544.0,134,12,0,3.8496743431833735,2,-99.99995025959325,688.3624048512819
funding_change_oracle_order10,2024,3.1212869897445654,0.682,682.0,193,12,3,-0.8335659297572962,8,-99.99997008975095,2167.554406465785
funding_change_oracle_order10,2025,1.1220578872147322,0.35500000000000004,355.0,124,12,3,-0.9394310886381207,2,-99.99997193560357,207.11678217021503
funding_change_oracle_order10,2026,1.0479413206277308,0.198,198.0,66,5,1,-0.4040924648420763,4,-99.99998956768951,185.17741820923095
funding_zscore_oracle_order10,2023,3.367597255280464,1.502,1502.0,358,12,1,-0.28039546746818633,12,-99.9986885869734,2800.8742651087596
funding_zscore_oracle_order10,2024,3.836792677784614,1.232,1232.0,300,12,0,10.160924637674684,10,-99.99986252250123,4537.649129822167
funding_zscore_oracle_order10,2025,3.0707480175982456,1.62,1620.0,385,12,0,5.426834513983736,12,-99.99999522621546,2055.8022425479903
funding_zscore_oracle_order10,2026,1.4090716406201618,0.552,552.0,133,5,0,4.797262558397386,12,-99.99999921303824,309.21546499582473
funding_mean_oracle_order10,2023,3.8090127841474883,0.44,440.0,110,12,0,0.3933094167499096,0,-99.99986840970702,4410.588763178281
funding_mean_oracle_order10,2024,5.098130712345157,0.28300000000000003,283.0,85,12,1,-1.6433390113665736,0,-99.99799070113504,16271.558956064206
funding_mean_oracle_order10,2025,2.3997234430180456,0.528,528.0,132,12,0,3.5491127717662385,2,-99.99884969016219,1002.0128265758375
funding_mean_oracle_order10,2026,0.8738742889381458,0.22,220.0,55,5,0,5.011248186880635,4,-99.99980806574249,139.6176372900332
