candidate_id,family,rule,direction,leverage,month,log_return,cost_log,turnover,orders,exposure_pct,max_drawdown_pct,return_pct,oracle_id,no_order_floor_candidate
funding_mean_funding_mean_momentum_lev4p0_window21_threshold_bps1p0,funding_mean,funding_mean,momentum,4.0,2024-12,0.32454779577215254,0.004,4.0,1,49.52956989247312,-89.48039941922673,38.340492295912924,monthly_oracle_best_return,False
funding_mean_funding_mean_momentum_lev4p0_window21_threshold_bps0p5,funding_mean,funding_mean,momentum,4.0,2025-01,0.3608166261292709,0.0,0.0,0,100.0,-98.61137159181412,43.45003868703405,monthly_oracle_best_return,False
funding_level_funding_level_contrarian_lev4p0_threshold_bps0p5,funding_level,funding_level,contrarian,4.0,2025-02,0.4052247837331159,0.132,132.0,33,45.200892857142854,-99.4175591736443,49.96395567508114,monthly_oracle_best_return,False
funding_zscore_funding_zscore_contrarian_lev4p0_window63_z_threshold1p5,funding_zscore,funding_zscore,contrarian,4.0,2025-03,0.3194339985278046,0.08,80.0,20,14.045698924731182,-76.62288769755253,37.63485285390487,monthly_oracle_best_return,False
funding_level_funding_level_momentum_lev4p0_threshold_bps0p5,funding_level,funding_level,momentum,4.0,2025-04,0.322922506699957,0.16,160.0,40,35.59027777777778,-99.99980384467155,38.11583162426415,monthly_oracle_best_return,False
funding_zscore_funding_zscore_momentum_lev4p0_window63_z_threshold1p0,funding_zscore,funding_zscore,momentum,4.0,2025-05,0.16704153714142989,0.14,140.0,35,38.776881720430104,-99.9990498308104,18.180335302188965,monthly_oracle_best_return,False
funding_level_funding_level_contrarian_lev4p0_threshold_bps0p5,funding_level,funding_level,contrarian,4.0,2025-06,0.3638249633704166,0.12,120.0,30,24.583333333333332,-99.76438945477592,43.88223455016431,monthly_oracle_best_return,False
funding_zscore_funding_zscore_contrarian_lev4p0_window9_z_threshold2p0,funding_zscore,funding_zscore,contrarian,4.0,2025-07,0.11067378931616026,0.024,24.0,6,3.225806451612903,-98.01598412338679,11.703046014421137,monthly_oracle_best_return,False
funding_mean_funding_mean_contrarian_lev4p0_window21_threshold_bps0p5,funding_mean,funding_mean,contrarian,4.0,2025-08,0.2676732012115224,0.0,0.0,0,100.0,-99.3721860139584,30.691997035652463,monthly_oracle_best_return,False
funding_zscore_funding_zscore_contrarian_lev4p0_window3_z_threshold1p0,funding_zscore,funding_zscore,contrarian,4.0,2025-09,0.28868224840021633,0.316,316.0,69,51.24999999999999,-99.99990785732557,33.46675683882609,monthly_oracle_best_return,False
funding_zscore_funding_zscore_momentum_lev4p0_window21_z_threshold1p0,funding_zscore,funding_zscore,momentum,4.0,2025-10,0.6648699050650745,0.18,180.0,40,50.53763440860215,-99.99999522621546,94.42375694232325,monthly_oracle_best_return,False
funding_mean_funding_mean_contrarian_lev4p0_window3_threshold_bps0p5,funding_mean,funding_mean,contrarian,4.0,2025-11,1.0228503860341145,0.052000000000000005,52.0,13,53.47222222222222,-98.2428906699257,178.11107159893695,monthly_oracle_best_return,False
funding_change_funding_change_momentum_lev4p0_window3_threshold_bps1p0,funding_change,funding_change,momentum,4.0,2025-12,0.09229804374080965,0.016,16.0,4,2.1169354838709675,-99.99907395997579,9.669163545360293,monthly_oracle_best_return,False
funding_mean_funding_mean_momentum_lev4p0_window63_threshold_bps0p5,funding_mean,funding_mean,momentum,4.0,2026-01,0.3126972207827712,0.004,4.0,1,50.60483870967742,-90.49526867539566,36.71075366065133,monthly_oracle_best_return,False
funding_change_funding_change_contrarian_lev4p0_window3_threshold_bps1p0,funding_change,funding_change,contrarian,4.0,2026-02,0.5178727441879989,0.048,48.0,12,9.486607142857142,-93.91361443096476,67.84533496782379,monthly_oracle_best_return,False
funding_zscore_funding_zscore_momentum_lev4p0_window9_z_threshold2p0,funding_zscore,funding_zscore,momentum,4.0,2026-03,0.1567064248646038,0.048,48.0,12,7.560483870967742,-97.23160569088898,16.96521826940478,monthly_oracle_best_return,False
funding_zscore_funding_zscore_momentum_lev4p0_window9_z_threshold1p0,funding_zscore,funding_zscore,momentum,4.0,2026-04,0.8674558442377057,0.188,188.0,45,39.895833333333336,-99.99999921303824,138.08458988882427,monthly_oracle_best_return,False
