oracle_id,family_filter,leaky_oracle,requires_monthly_orders_ge_10_at_selection,months_without_order_floor_candidate,hard_pass_complete_years,non_positive_months,total_eval_return_pct,return_2023_pct,return_2024_pct,return_2025_pct,return_2026_ytd_pct,min_complete_year_return_pct,losing_eval_months,min_monthly_return_pct,min_monthly_orders,orders,turnover,cost_log,worst_selected_month_drawdown_pct,selected_candidate_count
monthly_oracle_best_return_order10,all,True,True,0,True,[],4088158434.031259,17263.324756664457,45467.20730224924,6801.015586650978,648.7372151557389,6801.015586650978,0,5.426834513983736,10,1029,4300.0,4.3,-99.99999921303824,25
monthly_oracle_best_return,all,True,False,0,False,[],173589353310.39957,92832.20466130327,297521.03842570476,7934.356399669934,681.1638276646747,7934.356399669934,0,9.669163545360293,0,636,2664.0,2.664,-99.99999921303824,28
funding_zscore_oracle_order10,funding_zscore,True,True,0,False,['2023-11'],11868179.101598522,2800.8742651087596,4537.649129822167,2055.8022425479903,309.21546499582473,2055.8022425479903,1,-0.28039546746818633,10,1176,4906.0,4.906000000000001,-99.99999921303824,18
funding_mean_oracle_order10,funding_mean,True,True,19,False,['2024-09'],19499634.624413334,4410.588763178281,16271.558956064206,1002.0128265758375,139.6176372900332,1002.0128265758375,1,-1.6433390113665736,0,382,1471.0,1.471,-99.99986840970702,14
funding_change_oracle_order10,funding_change,True,True,9,False,"['2024-02', '2024-07', '2024-10', '2025-05', '2025-06', '2025-12', '2026-05']",156467.74745132047,688.3624048512819,2167.554406465785,207.11678217021503,185.17741820923095,207.11678217021503,7,-0.9394310886381207,2,517,1779.0,1.7790000000000001,-99.99998956768951,14
funding_level_oracle_order10,funding_level,True,True,2,False,"['2023-06', '2023-12', '2024-01', '2024-03', '2025-08', '2025-09', '2025-12']",906909.0756207015,1509.5395072632155,1769.4847539484795,1181.1868339848786,135.27489956784663,1181.1868339848786,7,-1.95528359779511,0,881,3161.0,3.161,-99.99998624758007,10
