month,log_return,first_equity,last_equity,min_drawdown,turnover,orders,return_pct,drawdown_pct
2024-01,0.11070805626481346,1.0,1.1170687380254625,-0.018408869463906186,14.5,12,11.706873802546248,-1.8408869463906186
2024-02,0.041961469140685353,1.110386392680369,1.1649399322704355,-0.09021404380507436,26.0,12,4.285429590446732,-9.021404380507436
2024-03,0.08000795071614858,1.1579712197205874,1.2619743968070336,-0.22570938660048523,49.0,12,8.329568061718051,-22.570938660048522
2024-04,0.08033246832970047,1.2544252206023205,1.3675351303465564,-0.25539180330859224,26.0,12,8.364728619424122,-25.539180330859224
2024-05,0.06756013160368153,1.359354486039317,1.463118440520986,-0.04050036355049447,14.5,12,6.989459214126881,-4.050036355049446
2024-06,0.09478469706829243,1.4543660134164393,1.6085847789124637,-0.06788573878138637,26.0,12,9.942212083642389,-6.788573878138637
2024-07,0.07876238592666769,1.5989621669427165,1.740403806581984,-0.02747357066690237,14.5,12,8.19472056416204,-2.747357066690237
2024-08,0.0829860504356676,1.7299926484503427,1.8909951208657512,-0.032724982763987276,14.5,12,8.65266518690946,-3.2724982763987276
2024-09,0.0592822433392834,1.879683120078899,2.0064870422657037,-0.1401301727924661,49.0,12,6.1074679741678795,-14.01301727924661
2024-10,0.0499597648870106,1.9944841646535574,2.1092769640826368,-0.34173841543670813,108.0,18,5.122879921559997,-34.17384154367081
2024-11,0.08559500310686104,2.096659193463288,2.2977726043709508,-0.023831635987444866,14.5,12,8.93650494923477,-2.3831635987444866
2024-12,-0.066672000720437,2.284027246055721,2.14957085544621,-0.41839362375962486,108.0,18,-6.449800499963443,-41.83936237596249
