year,compounded_return_pct,months,losing_months,min_monthly_return_pct,min_monthly_orders,orders,max_drawdown_pct
2024,57357.846601311976,12,0,31.29669560094337,30,525,-10.548788379897434
2025,11267.598862917805,12,0,25.649414729602427,30,494,-6.5733507641440925
2026,1425.0739713712055,6,0,19.74617315834695,14,214,-9.199970491786846
