candidate_id,horizon,threshold,hard_pass,return_2025_pct,return_2026_pct,min_required_year_return_pct,min_monthly_return_pct,losing_eval_months,min_monthly_orders,total_return_pct,max_drawdown_pct,orders,turnover
hgb_upper_bound_h64_909790841b,64,0.00047352258656228993,True,11267.598862917794,1425.0739713712055,1425.0739713712055,19.74617315834695,0,14,99611288.63028742,-10.548788379897434,1233,1233.0
hgb_upper_bound_h64_449a29242c,64,0.0025637087031662705,True,10616.360297437363,1268.3822812624708,1268.3822812624708,16.218824946898458,0,24,86045639.96409324,-9.323050850164016,1455,1455.0
hgb_upper_bound_h64_6116ec1694,64,0.000936911003641943,True,10376.641732599077,1462.3719105153648,1462.3719105153648,11.624722672708799,0,22,104400536.66867062,-10.637280830177486,1347,1347.0
hgb_upper_bound_h64_4f83b20dcc,64,0.00458414672120282,True,7994.031184903755,920.8286664180615,920.8286664180615,10.665771045474193,0,22,39349657.53722455,-9.561034146056146,1182,1182.0
hgb_upper_bound_h32_83b28aca01,32,0.00046466047657777734,True,18473.70699983277,2127.410496696464,2127.410496696464,10.317432080030265,0,42,639698950.0621023,-10.667219262332218,2257,2257.0
hgb_upper_bound_h64_ee3756a337,64,0.001945704040543517,True,9896.100137492635,1267.1385685813293,1267.1385685813293,9.763265706220302,0,24,70292131.75591648,-9.323050850164016,1471,1471.0
hgb_upper_bound_h32_4ddf8024c1,32,0.0007016859255991254,True,25430.37362323307,2035.426150272091,2035.426150272091,9.624061303509524,0,38,648195385.2396883,-8.631553326940777,2365,2365.0
hgb_upper_bound_h16_ede39796af,16,0.0009040537986247597,True,14166.238130380281,1687.9480881273814,1687.9480881273814,9.193428655477188,0,66,802519981.2872343,-6.709214981536138,3418,3418.0
hgb_upper_bound_h32_d4c6d3ac68,32,0.0016704360031643667,True,16237.526976681207,1921.3696578959893,1921.3696578959893,9.103545988107786,0,47,420633479.2433931,-7.916272394835133,2181,2181.0
hgb_upper_bound_h32_7d63a97a19,32,0.00022348747320691037,True,29497.689370722946,1880.393328778298,1880.393328778298,8.890669930372352,0,32,687208704.419391,-7.800934276258764,2025,2025.0
hgb_upper_bound_h16_3cf1059c57,16,6.898579744992653e-05,True,23664.055354195927,2337.6216746870004,2337.6216746870004,7.618848961911806,0,90,3761306316.741563,-11.547929242771682,3961,3961.0
hgb_upper_bound_h16_cf38285fc6,16,0.00045801682018548843,True,16232.222857453578,1903.3310974408919,1903.3310974408919,7.533418662707736,0,92,958205629.9849702,-8.42515282393851,4245,4245.0
hgb_upper_bound_h16_e74e175e8b,16,0.00013921928502007758,True,17338.299126019938,2048.13733821948,2048.13733821948,7.49279112446537,0,98,1928550624.0829244,-12.971178842137554,4259,4259.0
hgb_upper_bound_h64_848481736e,64,0.0034213032241246655,True,7495.295627933357,1142.3887054561908,1142.3887054561908,7.249291336685815,0,20,34781237.497821175,-12.559789535227385,1375,1375.0
