month,log_return,orders,turnover,min_drawdown,return_pct,drawdown_pct
2024-01,0.5998243756252858,41,41.0,-0.062142465899511334,82.17988200145345,-6.214246589951133
2024-02,0.4796440512289462,30,30.0,-0.06177722058782187,61.54992648612869,-6.177722058782187
2024-03,0.6907081499375882,42,42.0,-0.09530263922831284,99.51278827921179,-9.530263922831283
2024-04,0.7710394949689976,54,54.0,-0.06567480703688788,116.20124872118444,-6.567480703688789
2024-05,0.44981130616330783,46,46.0,-0.03951120567922928,56.801628256516466,-3.9511205679229278
2024-06,0.2722894282175526,42,42.0,-0.06514587861944354,31.29669560094337,-6.514587861944355
2024-07,0.5586166671178661,44,44.0,-0.04639530995981411,74.82524117405576,-4.639530995981412
2024-08,0.7062284293936305,46,46.0,-0.10548788379897434,102.63343653353449,-10.548788379897434
2024-09,0.4300321133400596,58,58.0,-0.05525700321019911,53.7306890814564,-5.525700321019911
2024-10,0.3111754588220595,36,36.0,-0.0410234615116849,36.50287065045617,-4.10234615116849
2024-11,0.5830627759939391,42,42.0,-0.058912961678301845,79.151705199211,-5.891296167830184
2024-12,0.5012044185511315,44,44.0,-0.05555793518699703,65.07082175018057,-5.555793518699703
2025-01,0.653305090449465,50,50.0,-0.06573350764144092,92.18823385720812,-6.5733507641440925
2025-02,0.4197754312063318,46,46.0,-0.0629715373026074,52.16198089223369,-6.2971537302607405
2025-03,0.7420146636305542,48,48.0,-0.05457037087014194,110.01623759697563,-5.457037087014194
2025-04,0.4733853747320998,42,42.0,-0.04243749397262553,60.54199520620891,-4.243749397262553
2025-05,0.34354980693444276,44,44.0,-0.031276404751725884,40.994374570976476,-3.1276404751725884
2025-06,0.25476898162335765,44,44.0,-0.05090559561520014,29.016353495710455,-5.090559561520013
2025-07,0.23165291555396486,30,30.0,-0.04961015611625674,26.068208973911887,-4.961015611625674
2025-08,0.24147607492147596,38,38.0,-0.046286601355321366,27.312699488982517,-4.628660135532137
2025-09,0.2283254200487788,40,40.0,-0.03798884449937301,25.649414729602427,-3.798884449937301
2025-10,0.42402028619834425,44,44.0,-0.06426680571810983,52.80925926590545,-6.426680571810984
2025-11,0.41148214443515596,30,30.0,-0.05323277551512229,50.90527625784183,-5.323277551512229
2025-12,0.309596006919078,38,38.0,-0.05160379551649308,36.2874411067317,-5.160379551649308
2026-01,0.44500815383307885,36,36.0,-0.042303150491210806,56.05029198611196,-4.230315049121081
2026-02,0.8435868437512728,46,46.0,-0.09199970491786846,132.469034157827,-9.199970491786846
2026-03,0.6883327038626286,40,40.0,-0.03628649835859954,99.03941886374153,-3.628649835859954
2026-04,0.18020409286826602,38,38.0,-0.055823499361758566,19.74617315834695,-5.582349936175857
2026-05,0.206979390927617,40,40.0,-0.05987328218469501,22.9957223242107,-5.987328218469501
2026-06,0.3605168224513726,14,14.0,-0.04951024767238843,43.40703828400261,-4.951024767238843
