year,log_return,compounded_return_pct,months,losing_months,min_monthly_return_pct,min_monthly_orders,orders_sum,turnover_sum,cost_log_return_sum,max_drawdown_pct
2024,0.06527105852334572,6.744832614059937,12,5,-22.099205692670733,0,182,182.0,0.182,-27.35606083157155
2025,-0.28429774787595824,-24.745745659885788,12,8,-11.217469717991813,3,223,223.0,0.223,-36.40200993559941
2026,-0.2451381637609858,-21.740359569060853,6,3,-20.195133789209795,3,99,99.0,0.099,-53.00697378831902
