year,log_return,compounded_return_pct,months,losing_months,min_monthly_return_pct,min_monthly_orders,orders_sum,max_drawdown_pct
2025,-0.24959563259128378,-22.088423159342863,12,2,-59.49741693048869,11,168,-70.50998908787957
2026,0.817792211565125,126.54925837621155,6,0,2.6358162207531732,12,74,-45.02458643031871
