strategy,period,return_pct,max_drawdown_pct,trades
jesse_example_macd_ema,2020,245.75775153926753,-20.928110638143295,219
jesse_example_macd_ema,2021,81.15379449863447,-41.43260723212692,239
jesse_example_macd_ema,2022,-63.010231355715575,-77.6355728896216,282
jesse_example_macd_ema,2023,59.37808014469588,-77.69537780357633,252
jesse_example_macd_ema,2024,58.4986387722662,-65.86823400672479,224
jesse_example_macd_ema,2025,-41.90521574732065,-67.17920861416788,288
jesse_example_macd_ema,2026,-11.212834102144164,-72.96592988572303,106
devon_macd_ema,2020,245.75775153926753,-20.928110638143295,219
devon_macd_ema,2021,81.15379449863447,-41.43260723212692,239
devon_macd_ema,2022,-63.010231355715575,-77.6355728896216,282
devon_macd_ema,2023,59.37808014469588,-77.69537780357633,252
devon_macd_ema,2024,58.4986387722662,-65.86823400672479,224
devon_macd_ema,2025,-41.90521574732065,-67.17920861416788,288
devon_macd_ema,2026,-11.212834102144164,-72.96592988572303,106
devon_donchian,2020,-1.6657692941114521,-37.95100945264592,601
devon_donchian,2021,-42.335564723176766,-53.75738487362738,599
devon_donchian,2022,-64.47888300720518,-83.38219408023988,522
devon_donchian,2023,-20.231714725791395,-86.74422296638795,620
devon_donchian,2024,-30.84375071067571,-90.98590972273759,632
devon_donchian,2025,-42.30983487772485,-94.72129162848955,600
devon_donchian,2026,-36.024903857699066,-96.62555978020339,247
jesse_example_turtle_rules,2020,-90.61876139220409,-91.76054431835688,2706
jesse_example_turtle_rules,2021,-99.04245815234194,-99.92090958114703,2933
jesse_example_turtle_rules,2022,-97.41131089342963,-99.99791237716126,2847
jesse_example_turtle_rules,2023,-94.90392984079256,-99.99989412407353,2909
jesse_example_turtle_rules,2024,-94.85872446593034,-99.99999464228627,2863
jesse_example_turtle_rules,2025,-95.65354698438301,-99.9999997688046,2956
jesse_example_turtle_rules,2026,-74.5887193766036,-99.99999993945951,1171
ben_walker_turtle_rules,2020,-90.61876139220409,-91.76054431835688,2706
ben_walker_turtle_rules,2021,-99.04245815234194,-99.92090958114703,2933
ben_walker_turtle_rules,2022,-97.41131089342963,-99.99791237716126,2847
ben_walker_turtle_rules,2023,-94.90392984079256,-99.99989412407353,2909
ben_walker_turtle_rules,2024,-94.85872446593034,-99.99999464228627,2863
ben_walker_turtle_rules,2025,-95.65354698438301,-99.9999997688046,2956
ben_walker_turtle_rules,2026,-74.5887193766036,-99.99999993945951,1171
brainctl_sma_sample,2020,205.71142806203966,-37.579563314945005,183
brainctl_sma_sample,2021,-44.2617957466664,-70.67798672634777,348
brainctl_sma_sample,2022,-62.62474256581194,-86.5984032618115,210
brainctl_sma_sample,2023,72.72230287703509,-86.13408838417925,94
brainctl_sma_sample,2024,2.0216166065399,-82.26126054644337,172
brainctl_sma_sample,2025,-21.84103138389124,-82.05135072174548,120
brainctl_sma_sample,2026,-20.701403997777025,-86.6798599694958,56
dcupmusic_always_long_demo,2020,303.29834960386455,-61.18018119590831,1
dcupmusic_always_long_demo,2021,59.61270641289216,-54.791246582629206,0
dcupmusic_always_long_demo,2022,-64.21250900227136,-77.24232825946648,0
dcupmusic_always_long_demo,2023,155.8654218266253,-75.98161096182268,0
dcupmusic_always_long_demo,2024,121.08262040932081,-43.58046332051953,0
dcupmusic_always_long_demo,2025,-6.350368630737446,-34.763624529709666,0
dcupmusic_always_long_demo,2026,-15.92887423779975,-50.09913799946031,0
bitmania_trendtype,2020,34.334501454690994,-29.840590037733072,219
bitmania_trendtype,2021,-0.6134761251687881,-46.18081929201312,227
bitmania_trendtype,2022,23.003180724061313,-34.7792749913713,216
bitmania_trendtype,2023,-4.552781577133869,-41.61710302592858,228
bitmania_trendtype,2024,-23.15583542449795,-57.90201397368381,212
bitmania_trendtype,2025,-33.93685057838286,-72.11330769233615,209
bitmania_trendtype,2026,-12.75187839305495,-74.41721734835225,97
bitmania_tradeiq_cci_ce,2020,11.940526920320082,-25.834528191946337,30
bitmania_tradeiq_cci_ce,2021,7.508110199612816,-34.02288150263014,38
bitmania_tradeiq_cci_ce,2022,3.4427984966227454,-33.71178955145587,50
bitmania_tradeiq_cci_ce,2023,49.5284566771867,-16.678123005433164,45
bitmania_tradeiq_cci_ce,2024,10.754920777349852,-21.289376383791513,31
bitmania_tradeiq_cci_ce,2025,-2.320906128082856,-16.817759862821447,47
bitmania_tradeiq_cci_ce,2026,7.607264949925718,-17.6837841111242,12
