strategy,period,return_pct,max_drawdown_pct,trades
jesse_example_macd_ema,2020-01,27.785401463377312,-9.454733327426402,11
jesse_example_macd_ema,2020-02,-3.663688126394715,-9.857325488034697,17
jesse_example_macd_ema,2020-03,0.6533279551329763,-20.928110638143295,15
jesse_example_macd_ema,2020-04,31.772451779691345,-11.390753510200224,10
jesse_example_macd_ema,2020-05,7.956137602047764,-11.291906790858308,14
jesse_example_macd_ema,2020-06,-3.0680663600249902,-11.27213474240355,21
jesse_example_macd_ema,2020-07,16.51499625398829,-15.678028796681897,21
jesse_example_macd_ema,2020-08,-2.6504067128400144,-8.909681705982454,28
jesse_example_macd_ema,2020-09,-0.4514030070992714,-9.180789195984518,22
jesse_example_macd_ema,2020-10,13.763172345631268,-10.2146504496892,20
jesse_example_macd_ema,2020-11,19.022873602616674,-10.910868593636847,24
jesse_example_macd_ema,2020-12,32.35807795816954,-11.181117648830641,16
jesse_example_macd_ema,2021-01,11.906178575416092,-22.64218234570331,23
jesse_example_macd_ema,2021-02,33.328922167045704,-21.622091157937017,14
jesse_example_macd_ema,2021-03,13.108705208949111,-16.299603310446386,21
jesse_example_macd_ema,2021-04,11.964852112119505,-13.472219457638957,12
jesse_example_macd_ema,2021-05,-10.567204182624746,-15.372331015631746,16
jesse_example_macd_ema,2021-06,-2.8958337155878477,-21.315942253195352,24
jesse_example_macd_ema,2021-07,19.5694954302968,-21.82116697034443,16
jesse_example_macd_ema,2021-08,6.758982344879483,-9.145202544302954,21
jesse_example_macd_ema,2021-09,0.2831529020633994,-11.071753696965715,15
jesse_example_macd_ema,2021-10,22.52128740187491,-14.10182682741511,20
jesse_example_macd_ema,2021-11,-15.766122064822063,-27.847994645395612,26
jesse_example_macd_ema,2021-12,-16.4386514857338,-41.43260723212692,31
jesse_example_macd_ema,2022-01,-27.58673079218713,-57.305869090828566,39
jesse_example_macd_ema,2022-02,10.410620753442412,-57.27142869929895,16
jesse_example_macd_ema,2022-03,9.969327883689893,-55.15870311666619,13
jesse_example_macd_ema,2022-04,-5.669120316288256,-49.854654917493804,16
jesse_example_macd_ema,2022-05,-8.618110649627987,-57.74944011924879,27
jesse_example_macd_ema,2022-06,-22.210345493546146,-64.50158052596062,25
