oracle_leverage,oracle_hold_bars,oracle_action,oracle_event_set,oracle_candidate_id,month,oracle_log_return,oracle_turnover,oracle_orders,oracle_max_drawdown_pct,oracle_return_pct,strict_leverage,strict_hold_bars,strict_action,strict_event_set,strict_candidate_id,strict_log_return,strict_turnover,strict_orders,strict_max_drawdown_pct,strict_return_pct,return_gap_pct,same_candidate,same_action,same_event_set,strict_missed_positive_oracle
2.0,96,hype_momentum,strict,strict_hype_momentum_hold96_lev2p0,2025-06,0.5298597127276659,56.0,28,-32.59857951152446,69.86939867562472,,,,,,,,,,,,False,False,False,False
2.0,96,hype_momentum,loose,loose_hype_momentum_hold96_lev2p0,2025-07,0.193837085179224,50.0,25,-21.06016729843257,21.389850478882533,0.5,16.0,btc_momentum,strict,strict_btc_momentum_hold16_lev0p5,-0.0177178492587187,9.0,18.0,-3.069244619224698,-1.7561811080235912,23.146031586906123,False,False,False,True
2.0,64,hype_reversal,strict,strict_hype_reversal_hold64_lev2p0,2025-08,0.3079532955159696,66.0,33,-27.262287450900967,36.06374395835736,0.5,64.0,btc_reversal,loose,loose_btc_reversal_hold64_lev0p5,-0.0011528924212539,22.5,44.0,-5.68989300932915,-0.1152228096109486,36.178966767968305,False,False,False,True
2.0,96,hype_momentum,loose,loose_hype_momentum_hold96_lev2p0,2025-09,0.4739050979464834,58.0,29,-38.28456823378144,60.62545429393511,0.5,64.0,pair_reversal,strict,strict_pair_reversal_hold64_lev0p5,-0.0185460949325857,12.5,48.0,-5.149269628556452,-1.837517438123604,62.46297173205871,False,False,False,True
2.0,16,hype_reversal,loose,loose_hype_reversal_hold16_lev2p0,2025-10,0.4189539090548669,210.0,98,-39.72403284431346,52.037027787219344,0.5,16.0,pair_reversal,strict,strict_pair_reversal_hold16_lev0p5,-0.0254111624195484,31.5,120.0,-6.083412864839688,-2.5091016325922144,54.54612941981156,False,False,False,True
2.0,96,btc_momentum,loose,loose_btc_momentum_hold96_lev2p0,2025-11,0.3913387585081732,76.0,34,-36.83524418209642,47.895943865510034,0.5,16.0,btc_momentum,strict,strict_btc_momentum_hold16_lev0p5,-0.059135662231487,31.5,59.0,-8.826115692978453,-5.7421111872333,53.63805505274333,False,True,False,True
2.0,96,hype_momentum,loose,loose_hype_momentum_hold96_lev2p0,2025-12,0.568768591672132,66.0,32,-25.94891879318869,76.60909327810035,0.5,32.0,btc_momentum,strict,strict_btc_momentum_hold32_lev0p5,-0.001778744849331,14.5,28.0,-4.1316147675846455,-0.1777163820266269,76.78680966012698,False,False,False,True
2.0,96,hype_momentum,strict,strict_hype_momentum_hold96_lev2p0,2026-01,1.023798889346035,38.0,18,-40.65708727265452,178.3749860134924,0.5,32.0,btc_momentum,strict,strict_btc_momentum_hold32_lev0p5,-0.0383528282974142,20.5,36.0,-10.59837807155677,-3.762667156066901,182.1376531695593,False,False,True,True
1.0,64,hype_reversal,loose,loose_hype_reversal_hold64_lev1p0,2026-02,0.6180152006235493,40.0,34,-36.98471651635982,85.52421017638487,0.5,96.0,btc_momentum,strict,strict_btc_momentum_hold96_lev0p5,0.1071260245751901,10.0,18.0,-10.830842104300942,11.307452038425092,74.21675813795977,False,False,False,False
1.0,96,btc_reversal,loose,loose_btc_reversal_hold96_lev1p0,2026-03,0.109101022633619,31.0,30,-40.65819177229061,11.52750126696187,0.5,32.0,btc_momentum,strict,strict_btc_momentum_hold32_lev0p5,-0.0267511474695518,17.5,35.0,-3.791737012516039,-2.639650492621548,14.167151759583419,False,False,False,True
2.0,32,btc_momentum,loose,loose_btc_momentum_hold32_lev2p0,2026-04,0.0688773268226901,48.0,24,-30.7908084374929,7.130478072582092,0.5,32.0,btc_momentum,strict,strict_btc_momentum_hold32_lev0p5,-0.0041811395935749,5.0,10.0,-4.666876538269671,-0.4172410799098136,7.547719152491906,False,True,False,True
1.0,64,hype_momentum,strict,strict_hype_momentum_hold64_lev1p0,2026-05,0.4466425292655396,31.0,31,-40.18497468666959,56.30554528260176,0.5,32.0,btc_momentum,strict,strict_btc_momentum_hold32_lev0p5,0.0076619645251938,16.5,33.0,-6.217294082730673,0.7691392486037341,55.53640603399803,False,False,True,False
1.0,32,hype_reversal,loose,loose_hype_reversal_hold32_lev1p0,2026-06,0.1737822265638959,71.0,69,-36.09899111935778,18.97964315479439,0.5,32.0,btc_momentum,strict,strict_btc_momentum_hold32_lev0p5,-0.0496426184038423,22.5,45.0,-8.227732584608638,-4.843056285573411,23.8226994403678,False,False,False,True
