action,best_static_2025_pct,best_static_2026_pct,best_static_max_drawdown_pct,candidate_count,avg_monthly_return_pct,positive_month_share,avg_drawdown_pct,oracle_months,strict_months
btc_momentum,31.05937155488645,11.133230541200875,-10.59837807155677,24,-1.5220737583857824,0.41346153846153844,-20.988869451860957,2.0,9.0
btc_reversal,-11.360613332801684,-1.2156144837351168,-27.22923788782775,24,-6.567634133778386,0.23076923076923078,-40.90421055403982,1.0,1.0
hype_momentum,562.2105418093919,157.26475804665597,-24.291798075059432,24,-1.3977745159906656,0.36538461538461536,-47.83320883918339,6.0,0.0
hype_reversal,87.0669679689539,104.15088385414518,-27.237019106788207,24,-0.9544780447418905,0.4519230769230769,-41.52047424075689,4.0,0.0
pair_momentum,21.28301977097835,15.88222797731924,-16.572344256917248,24,-5.096291051381608,0.25,-39.26686482727722,0.0,0.0
pair_reversal,-0.0832191269199089,5.20215567825284,-16.518438985731564,24,-3.31964591555108,0.3173076923076923,-24.73751945470064,0.0,2.0
